Year,NumberOfSuicide,Population,CrudeRate,AgeRestricted
2016,44965,323405935,13.9,13.41
2015,44193,321039839,13.77,13.28
2014,42826,318622525,13.44,12.96
2013,41149,316234505,13.01,12.56
2012,40600,313993272,12.93,12.53
2011,39518,311644280,12.68,12.32
2010,38364,308758105,12.43,12.08
2009,36909,306771529,12.03,11.75
2008,36035,304093966,11.85,11.6
2007,34598,301231207,11.49,11.27
2006,33300,298379912,11.16,10.97
2005,32637,295516599,11.04,10.9
2004,32439,292805298,11.08,10.97
2003,31484,290107933,10.85,10.77
2002,31655,287625193,11.01,10.95
2001,30622,284968955,10.75,10.71
2000,29350,282171936,10.4,10.4
1999,29199,279040238,10.46,10.48
1998,30575,275854116,11.08,11.12
1997,30535,272646932,11.2,11.24
1996,30903,269394291,11.47,11.53
