username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yeyee____;2018-12-21 21:29;0;0;"Sengaja salah biar di benerin , mas nya ga peka .";;;;"1076122596511371265";https://twitter.com/yeyee____/status/1076122596511371265
yeyee____;2018-12-20 06:47;0;0;"Ya coba sama mas @azis_bango ini, siapa tau ga di rijek kan. Maaf sekedar menyarankan wqwq";;@azis_bango;;"1075538266630156288";https://twitter.com/yeyee____/status/1075538266630156288
yeyee____;2018-12-19 22:55;0;0;"Jangan jahat2 mbaa";;;;"1075419251236728832";https://twitter.com/yeyee____/status/1075419251236728832
yeyee____;2018-12-17 21:39;0;0;"Tp kalian berdua terus. Ngerti perasaanku to mas";;;;"1074675375328747521";https://twitter.com/yeyee____/status/1074675375328747521
yeyee____;2018-12-17 21:33;0;0;"Kalian pacaran ato gimana ini sih? Kok dmn2 kalian terus , heraaan";;;;"1074674057667272704";https://twitter.com/yeyee____/status/1074674057667272704
yeyee____;2018-12-16 13:38;0;0;"Yadi sembako siapanya yadi timo ??";;;;"1074192139507007488";https://twitter.com/yeyee____/status/1074192139507007488
yeyee____;2018-12-16 11:51;0;0;"Sabar mbloo :(";;;;"1074165114821996545";https://twitter.com/yeyee____/status/1074165114821996545
yeyee____;2018-12-10 04:55;1;0;"Yang datang harus sarungan. https:// twitter.com/angganteeeng/s tatus/1071798724836245504 …";;;;"1071886058411806720";https://twitter.com/yeyee____/status/1071886058411806720
yeyee____;2018-12-08 21:49;0;0;"Terimakasih hati kau selalu berusaha kuat melawan arus yang menyakitkan. https:// twitter.com/wiranagara/sta tus/1071402672933105666 …";;;;"1071416428945858560";https://twitter.com/yeyee____/status/1071416428945858560
yeyee____;2018-12-08 18:37;0;0;"#prayforyounglex https:// twitter.com/gesgestay/stat us/1071357408729919488 …";;;#prayforyounglex;"1071368252486373376";https://twitter.com/yeyee____/status/1071368252486373376
yeyee____;2018-12-08 17:47;2;22;"Sampe rumah langsung buka wasap. Ngarep ada spam , eh tetep gaada. :(( https:// twitter.com/Penyejuk_TL/st atus/1071326281478754304 …";;;;"1071355675777785856";https://twitter.com/yeyee____/status/1071355675777785856
yeyee____;2018-12-06 15:58;0;0;"Ih https:// twitter.com/Haw_Nasywa/sta tus/1070574913096900608 …";;;;"1070603373269856256";https://twitter.com/yeyee____/status/1070603373269856256
