username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
whywidodo;2019-01-20 11:27;0;0;"Ohaus workshop balance & Scale. http://www. indolabware.com #indolabware #asialabware #jogjalabware #wahanahilabindonesia #wahanalabora #labmania #labpertanian #labfarmasi https://www. instagram.com/p/Bs0UvRUAG2_/ ?utm_source=ig_twitter_share&igshid=1igphngkzvy4o …";;;#indolabware #asialabware #jogjalabware #wahanahilabindonesia #wahanalabora #labmania #labpertanian #labfarmasi;"1086842586738905089";https://twitter.com/whywidodo/status/1086842586738905089
whywidodo;2019-01-17 10:05;0;0;"Jual Harga Promo Decon 90 Liquid Detergent https:// wahanahilabtech.wordpress.com/2019/01/17/jua l-harga-promo-decon-90-liquid-detergent/ …";;;;"1085734821886857216";https://twitter.com/whywidodo/status/1085734821886857216
whywidodo;2019-01-17 09:50;0;0;"Jual Harga Promo Funke Gerber Colony Counter ColonyStar 8500 https:// wahanahilabtech.wordpress.com/2019/01/17/jua l-harga-promo-funke-gerber-colony-counter-colonystar-8500/ … pic.twitter.com/DvRcszCejd";;;;"1085731170741112833";https://twitter.com/whywidodo/status/1085731170741112833
whywidodo;2019-01-17 09:32;0;0;"JUAL HARGA PROMO IKA RW 20 Digital Overhead Stirrer https:// wahanahilabtech.wordpress.com/2019/01/17/jua l-harga-promo-ika-rw-20-digital-overhead-stirrer/ … pic.twitter.com/ZRX4ph6qoX";;;;"1085726528225378304";https://twitter.com/whywidodo/status/1085726528225378304
whywidodo;2019-01-17 09:11;0;0;"JUAL HARGA PROMO OHAUS PA224 PIONEER PLUS ANALYTICAL https:// wahanahilabtech.wordpress.com/2019/01/17/jua l-harga-promo-ohaus-pa224-pioneer-plus-analytical/ … pic.twitter.com/hd735DpJCo";;;;"1085721134337798144";https://twitter.com/whywidodo/status/1085721134337798144
whywidodo;2019-01-15 17:56;0;0;"Inhouse training & Workshop Ohaus oleh Tim Alfascale Indonesia di WHI dengan materi Balance & Scale, Centrifuge, Moisture Analyzer, pH&Cond. #indolabware #jogjalabware #asialabware … https://www. instagram.com/p/BspxP3LgGfz/ ?utm_source=ig_twitter_share&igshid=eqw384b8098o …";;;#indolabware #jogjalabware #asialabware;"1085128685307482112";https://twitter.com/whywidodo/status/1085128685307482112
whywidodo;2019-01-10 17:45;0;0;"WHI Squad2019 #indolabware #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware #laboratorium #labbiologi #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware … https://www. instagram.com/p/Bsc39IzgrJw/ ?utm_source=ig_twitter_share&igshid=15t59qctvpcez …";;;#indolabware #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware #laboratorium #labbiologi #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware;"1083313840983625728";https://twitter.com/whywidodo/status/1083313840983625728
whywidodo;2019-01-04 13:16;0;0;"Pemasok barang kebutuhan laboratorium di Indonesia, percayakan kepada kami CV Wahana Hilab Indonesia http://www. indolabware.com #indolabware #asialabware #jogjalabware #wahanalaboratory … https://www. instagram.com/p/BsM8YbKACzS/ ?utm_source=ig_twitter_share&igshid=1f8efmzqn81yy …";;;#indolabware #asialabware #jogjalabware #wahanalaboratory;"1081071785393770497";https://twitter.com/whywidodo/status/1081071785393770497
whywidodo;2018-12-29 16:21;0;0;"Official store: indolabware, segera terbit :) http://www. indolabware.com #indolabware #jogjalabware #asialabware #laboratorium #labbiologi #labkimia #labmikrobiologi #labmania #labkimia … https://www. instagram.com/p/Br901mGAlMV/ ?utm_source=ig_twitter_share&igshid=18fo3d7iyrbg2 …";;;#indolabware #jogjalabware #asialabware #laboratorium #labbiologi #labkimia #labmikrobiologi #labmania #labkimia;"1078944121342054400";https://twitter.com/whywidodo/status/1078944121342054400
whywidodo;2018-12-21 09:44;0;0;"Pengiriman terakhir di penghujung 2018 item Ohaus Analytical Balance dan Cimarec+ Stirring Hotplate. Tak sabar untuk masuk 2019 :) http://www. indolabware.com #indolabware #asialabware … https://www. instagram.com/p/BrohAzIA4FM/ ?utm_source=ig_twitter_share&igshid=ubdm1kmzw6dk …";;;#indolabware #asialabware;"1075945039933493248";https://twitter.com/whywidodo/status/1075945039933493248
whywidodo;2018-12-21 07:21;0;0;"Uji fungsi Ohaus ST300 di LPP Yogyakarta www.indolabware.con #indolabware #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware #laboratorium #labbiologi #labkimia #labmikrobiologi … https://www. instagram.com/p/BroQnr2Ae4v/ ?utm_source=ig_twitter_share&igshid=nui1xkuvezql …";;;#indolabware #jogjalabware #jogjaupdate #wahanahilabindonesia #asialabware #laboratorium #labbiologi #labkimia #labmikrobiologi;"1075909017665499136";https://twitter.com/whywidodo/status/1075909017665499136
whywidodo;2018-12-20 16:18;0;0;"Uji fungsi Ohaus Centrifuge 12 x 15 ml, Ohaus DO Meter, Ohaus Cond., Ohaus pH karantina Ikan Yogyakarta http://www. indolabware.com #indolabware #asialabware #jogjalabware #wahanahilabindonesia … https://www. instagram.com/p/BrmpSwrAj27/ ?utm_source=ig_twitter_share&igshid=1c0u1kfm5cxl1 …";;;#indolabware #asialabware #jogjalabware #wahanahilabindonesia;"1075681779271364608";https://twitter.com/whywidodo/status/1075681779271364608
whywidodo;2018-12-19 12:49;0;0;"First look WHI new office #indolabware #jogjalabware #asialabware #wahanalaboratory #wahanahilabindonesia #labmania #laboratorium #labfarmasi #labkimia #labkultur #labmikrobiologi … https://www. instagram.com/p/Brjso75gZcL/ ?utm_source=ig_twitter_share&igshid=1gj2q5ox0b27r …";;;#indolabware #jogjalabware #asialabware #wahanalaboratory #wahanahilabindonesia #labmania #laboratorium #labfarmasi #labkimia #labkultur #labmikrobiologi;"1075266917483667456";https://twitter.com/whywidodo/status/1075266917483667456
