username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bulanstyngrhn_;2019-01-23 11:41;0;0;"Wuahahahaha ngakak njng";;;;"1087933424252448771";https://twitter.com/Bulanstyngrhn_/status/1087933424252448771
Bulanstyngrhn_;2019-01-23 11:41;0;0;"Anjir bener juga ni kalo ngomong";;;;"1087933227082358791";https://twitter.com/Bulanstyngrhn_/status/1087933227082358791
Bulanstyngrhn_;2019-01-14 15:32;0;0;"1. PEPPERMINT 2. OVERLOAD 3. PRODIGY 4. SUSPIRIA 5. GRINCH 6. BROLY 7. PIKACHU 8. POPPINS 9. ROMA 10. PETERLOO 11. CAPERNAUM #TTSTOMKINSBW gaesss ayokk ikutan siapa tau kita beruntunggg,aminn @Hanunsalsabila3 @Myself_diarpu @KhairaRuri";;@Hanunsalsabila3 @Myself_diarpu @KhairaRuri;#TTSTOMKINSBW;"1084729955227860993";https://twitter.com/Bulanstyngrhn_/status/1084729955227860993
Bulanstyngrhn_;2019-01-10 21:36;0;0;"Badakkkk";;;;"1083372019662503938";https://twitter.com/Bulanstyngrhn_/status/1083372019662503938
Bulanstyngrhn_;2019-01-10 21:33;0;0;"Sakit :(";;;;"1083371281133711360";https://twitter.com/Bulanstyngrhn_/status/1083371281133711360
Bulanstyngrhn_;2019-01-10 19:21;0;0;"Wkwkkw kalo gatel emang suka gini kak";;;;"1083337924526002188";https://twitter.com/Bulanstyngrhn_/status/1083337924526002188
Bulanstyngrhn_;2019-01-10 19:11;0;0;"Anjer wkwkwk sa ae lu";;;;"1083335560687566848";https://twitter.com/Bulanstyngrhn_/status/1083335560687566848
Bulanstyngrhn_;2019-01-10 12:15;0;0;"#butuhduit #butuhduit #butuhduit #butuhduit #butuhduit";;;#butuhduit #butuhduit #butuhduit #butuhduit #butuhduit;"1083230910340689920";https://twitter.com/Bulanstyngrhn_/status/1083230910340689920
Bulanstyngrhn_;2019-01-10 12:14;0;0;"No 1,pengen bangettt tasnya semoga beruntung aminnn";;;;"1083230626017243136";https://twitter.com/Bulanstyngrhn_/status/1083230626017243136
Bulanstyngrhn_;2019-01-10 11:26;0;0;"Mau gopay dong kak";;;;"1083218607608188928";https://twitter.com/Bulanstyngrhn_/status/1083218607608188928
Bulanstyngrhn_;2019-01-10 11:26;0;0;"Dah follow kak";;;;"1083218390049673216";https://twitter.com/Bulanstyngrhn_/status/1083218390049673216
Bulanstyngrhn_;2019-01-10 11:22;0;0;"Selamat datang di ttw manusia missqueennnnn";;;;"1083217456200466432";https://twitter.com/Bulanstyngrhn_/status/1083217456200466432
Bulanstyngrhn_;2019-01-10 11:21;0;0;"#LarutPagiLagiGabut";;;#LarutPagiLagiGabut;"1083217219197128704";https://twitter.com/Bulanstyngrhn_/status/1083217219197128704
Bulanstyngrhn_;2019-01-08 17:10;0;0;"#AndaiKetemuLarutPagi mungkin aku akan ngelap pulau kapukku karena larut pagi masih molorrr gue";;;#AndaiKetemuLarutPagi;"1082580229036494849";https://twitter.com/Bulanstyngrhn_/status/1082580229036494849
Bulanstyngrhn_;2019-01-08 08:31;0;0;"Semoga lancar semuanya kak,wish me luck";;;;"1082449708826583040";https://twitter.com/Bulanstyngrhn_/status/1082449708826583040
Bulanstyngrhn_;2019-01-08 08:30;0;0;"Udah follow dari kemaren,semoga menang pic.twitter.com/1YXQQtNNQQ";;;;"1082449542866321408";https://twitter.com/Bulanstyngrhn_/status/1082449542866321408
Bulanstyngrhn_;2019-01-08 08:27;0;0;"Aminnn";;;;"1082448628441014272";https://twitter.com/Bulanstyngrhn_/status/1082448628441014272
Bulanstyngrhn_;2019-01-07 17:47;0;0;"Semoga rejekinya lancar terus kak makasih udah ngadain giveaway ini semoga aku beruntung pic.twitter.com/e5ak9O9VGx";;;;"1082227145215115264";https://twitter.com/Bulanstyngrhn_/status/1082227145215115264
Bulanstyngrhn_;2019-01-07 17:45;0;0;"Wish me luckkkk pic.twitter.com/8JxChfJv14";;;;"1082226738183061505";https://twitter.com/Bulanstyngrhn_/status/1082226738183061505
Bulanstyngrhn_;2019-01-07 17:44;0;0;"Semoga aku menang daddd,pulsaku abis lagi misqueennn juga hadeuhh #GiveawayLarutpagi19";;;#GiveawayLarutpagi19;"1082226404677144576";https://twitter.com/Bulanstyngrhn_/status/1082226404677144576
Bulanstyngrhn_;2019-01-07 15:42;0;0;"Indosat";;;;"1082195649511092224";https://twitter.com/Bulanstyngrhn_/status/1082195649511092224
Bulanstyngrhn_;2019-01-07 15:16;0;0;"Done,wish me luck pic.twitter.com/sOMBCCmBQE";;;;"1082189219248758790";https://twitter.com/Bulanstyngrhn_/status/1082189219248758790
Bulanstyngrhn_;2019-01-07 15:11;0;0;"Semoga menang aminnn pic.twitter.com/RwQk5ZalAy";;;;"1082187985674678274";https://twitter.com/Bulanstyngrhn_/status/1082187985674678274
Bulanstyngrhn_;2019-01-07 15:11;0;0;"Udah follow semoga menang pic.twitter.com/ZjrCwHBtOA";;;;"1082187866011197442";https://twitter.com/Bulanstyngrhn_/status/1082187866011197442
Bulanstyngrhn_;2019-01-07 15:06;0;0;"Ngakakkk anjerr gue 14 taonn masih ingusan dekil omaigat";;;;"1082186816973750272";https://twitter.com/Bulanstyngrhn_/status/1082186816973750272
Bulanstyngrhn_;2019-01-07 14:03;0;0;"pic.twitter.com/fgWpCz9yzt";;;;"1082170870192234496";https://twitter.com/Bulanstyngrhn_/status/1082170870192234496
Bulanstyngrhn_;2019-01-07 14:02;0;0;"Boyolali,Jawa Tengah";;;;"1082170481325760512";https://twitter.com/Bulanstyngrhn_/status/1082170481325760512
Bulanstyngrhn_;2019-01-07 14:01;0;0;"Semoga menang aminnn";;;;"1082170323087220736";https://twitter.com/Bulanstyngrhn_/status/1082170323087220736
Bulanstyngrhn_;2019-01-07 14:01;0;0;"Semoga menangggg pic.twitter.com/mFLXaE7aXH";;;;"1082170227549454336";https://twitter.com/Bulanstyngrhn_/status/1082170227549454336
Bulanstyngrhn_;2019-01-07 13:59;0;0;"Semoga menang karena pulsanya buat beli kuota biar bisa main sosmed terutama twitt pic.twitter.com/5m2QAokrWx";;;;"1082169955246759937";https://twitter.com/Bulanstyngrhn_/status/1082169955246759937
Bulanstyngrhn_;2019-01-07 13:58;0;0;"Menang aminnn pic.twitter.com/KwSSXHnj7U";;;;"1082169529965326336";https://twitter.com/Bulanstyngrhn_/status/1082169529965326336
Bulanstyngrhn_;2019-01-07 13:57;0;0;"Wish me luck pic.twitter.com/Kfcs3XrB7B";;;;"1082169355821928449";https://twitter.com/Bulanstyngrhn_/status/1082169355821928449
Bulanstyngrhn_;2019-01-07 13:55;0;0;"Wish me luck pic.twitter.com/ss4YiemJLk";;;;"1082168952996777985";https://twitter.com/Bulanstyngrhn_/status/1082168952996777985
Bulanstyngrhn_;2019-01-07 13:55;0;0;"Udah followww semoga menangggg pic.twitter.com/BlkRI7hfRf";;;;"1082168834243477505";https://twitter.com/Bulanstyngrhn_/status/1082168834243477505
Bulanstyngrhn_;2019-01-07 13:54;0;0;"Menang amin pic.twitter.com/FzSnqaCIRX";;;;"1082168706006900736";https://twitter.com/Bulanstyngrhn_/status/1082168706006900736
