username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Cindygulla0;2019-01-23 20:45;12;71;"Asli ini seru banget nonton Mata Najwa yg ttg PSSI @TRANS7 @MataNajwa ada yg nonton juga?";;@TRANS7 @MataNajwa;;"1088070288397365253";https://twitter.com/Cindygulla0/status/1088070288397365253
Cindygulla0;2019-01-22 18:02;3;61;"Buanglah Mantan pada Tempatnya , eh sampah deh maksudnya maap maap https://www. instagram.com/p/Bs7zbu8nt9d/ ?utm_source=ig_twitter_share&igshid=4egw9hx7pyxr …";;;;"1087666760667619330";https://twitter.com/Cindygulla0/status/1087666760667619330
Cindygulla0;2019-01-21 18:15;1;46;"Cuacanya mendung ya.... jadi magerr https://www. instagram.com/p/Bs5QHvTn9ng/ ?utm_source=ig_twitter_share&igshid=6m435t5i51n9 …";;;;"1087307635320336385";https://twitter.com/Cindygulla0/status/1087307635320336385
Cindygulla0;2019-01-20 21:21;0;46;"Oke jadi salahnya adalah yg bawa mobil kurang ke kiri pas mau belok :") padahal gara2 ada bajajj jadi ga pas di jalur paling kirii , dalem batin aku kaget uga si ni polisi ga keliatan dimana wujudnya tb2 muncul dan nilang";;;;"1086992134090027008";https://twitter.com/Cindygulla0/status/1086992134090027008
Cindygulla0;2019-01-20 21:19;0;22;"Hmmm https:// twitter.com/AwanHerm93/sta tus/1086990392459878401 …";;;;"1086991720351379456";https://twitter.com/Cindygulla0/status/1086991720351379456
Cindygulla0;2019-01-20 21:06;1;56;"Wkwk terus aku bingung dong, ga ada larangan belok kiri, depan aku avanza belokk tapi ko ga dicegat dan hmmmmmmm hayo tebakk salah aku apa?";;;;"1086988458025836544";https://twitter.com/Cindygulla0/status/1086988458025836544
Cindygulla0;2019-01-20 21:03;0;40;"Nah terus maps kan suru belok kiri, ya uda aku belok kiri dong, ini tu di jalan yg deket kali gituu, jadi jalanannya gelapp , pas aku belok... tiba tiba disetopin polisi yang aku sendiri kaget entah dia munculnya dari manaaa plus bingung salah akunya dimanaa";;;;"1086987514286460928";https://twitter.com/Cindygulla0/status/1086987514286460928
Cindygulla0;2019-01-20 21:01;0;41;"Nah aku mo ceritain ni kronologis ditilangnya simak baik baik ya gais wkkwk, jadi aku kan lagi di jalan menuju GI nih, tapi dari CP nah jadi aku lewat cideng, sesuai kata om google";;;;"1086987022437253121";https://twitter.com/Cindygulla0/status/1086987022437253121
Cindygulla0;2019-01-20 20:52;3;77;"Pertama kali ditilang di taun ini wkakkaa ditilang terkocak sih, aku pas di samperin polisi bukan panik ketilang tapi panik bingung salah akunya dimana";;;;"1086984912010240000";https://twitter.com/Cindygulla0/status/1086984912010240000
Cindygulla0;2019-01-20 16:45;12;110;"Tebak aku yg manaaaaa? pic.twitter.com/MOek4cGniU";;;;"1086922613559980032";https://twitter.com/Cindygulla0/status/1086922613559980032
Cindygulla0;2019-01-20 08:48;3;74;"Niatnya mo bangun siang, tapi jam segini uda bangunn";;;;"1086802593492267008";https://twitter.com/Cindygulla0/status/1086802593492267008
Cindygulla0;2019-01-20 00:19;4;79;"Jam segini ngantuk ya";;;;"1086674615613546498";https://twitter.com/Cindygulla0/status/1086674615613546498
