username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Fidly_JKT48;2019-01-24 05:48;18;295;"masuknya jam 05:30 hahaha tapi skrng ga ngantuk, paling siang tidur di kelas :(";;;;"1088206961135386624";https://twitter.com/Fidly_JKT48/status/1088206961135386624
Fidly_JKT48;2019-01-24 05:44;40;420;"ini anak2 pd males apa guenya aja yg terlalu niat :( pic.twitter.com/sK4v6jy70U";;;;"1088205761216303105";https://twitter.com/Fidly_JKT48/status/1088205761216303105
Fidly_JKT48;2019-01-24 00:10;11;243;"lalachuu dah bobo blm ya? cmn mau bilang, oyasumi cantik";;;;"1088121869222404096";https://twitter.com/Fidly_JKT48/status/1088121869222404096
Fidly_JKT48;2019-01-24 00:04;13;223;"abis karaoke lagu favourite, kalo ga caya liat aja story ig~";;;;"1088120250086809600";https://twitter.com/Fidly_JKT48/status/1088120250086809600
Fidly_JKT48;2019-01-23 23:44;7;90;"yg motoin ga setia kawan";;;;"1088115168721088512";https://twitter.com/Fidly_JKT48/status/1088115168721088512
Fidly_JKT48;2019-01-23 23:41;13;230;"tadi abis theater makan dulu sama temen kantor di robady, roti bakar edgy hehe";;;;"1088114526208184322";https://twitter.com/Fidly_JKT48/status/1088114526208184322
Fidly_JKT48;2019-01-23 23:30;24;202;"Beyond this library of our mind You've found the shelf where our #FidList pic.twitter.com/Tcb6I3boNn";;;#FidList;"1088111805237387264";https://twitter.com/Fidly_JKT48/status/1088111805237387264
Fidly_JKT48;2019-01-23 22:23;13;232;"jenong";;;;"1088094763109117953";https://twitter.com/Fidly_JKT48/status/1088094763109117953
Fidly_JKT48;2019-01-23 15:03;13;184;"sampai jumpa di theater #TnMyPeach ~ pic.twitter.com/env69A5b1t";;;#TnMyPeach;"1087984224953610240";https://twitter.com/Fidly_JKT48/status/1087984224953610240
Fidly_JKT48;2019-01-23 13:04;16;165;"pic.twitter.com/MUexeFzTNX";;;;"1087954235642265601";https://twitter.com/Fidly_JKT48/status/1087954235642265601
Fidly_JKT48;2019-01-23 06:49;23;190;"good morning, pic.twitter.com/lHUgAK2ojv";;;;"1087859737553563648";https://twitter.com/Fidly_JKT48/status/1087859737553563648
Fidly_JKT48;2019-01-22 23:28;37;252;"so cut the bullsh and show me that you mean it when you tell me that you'll love me every day #FidList pic.twitter.com/S1P0nF2qxc";;;#FidList;"1087748806840528896";https://twitter.com/Fidly_JKT48/status/1087748806840528896
Fidly_JKT48;2019-01-22 22:44;16;290;"design 1Ndi3 tuh gimana kak? wkwkwk";;;;"1087737673689706496";https://twitter.com/Fidly_JKT48/status/1087737673689706496
Fidly_JKT48;2019-01-22 22:42;27;229;"udah ada referensi, yang pasti warna hitam! karena tahun kemaren too girly, jadi kasian kalo cowok pake hahahaha pic.twitter.com/prAThbDJjN";;;;"1087737351198040065";https://twitter.com/Fidly_JKT48/status/1087737351198040065
Fidly_JKT48;2019-01-22 22:39;12;199;"beb ak ga pernah nnton berbi ampe tamat";;;;"1087736549188325376";https://twitter.com/Fidly_JKT48/status/1087736549188325376
Fidly_JKT48;2019-01-22 22:38;18;291;"sedang memikirkan design untuk birthday t-shirt... gimana ya?";;;;"1087736344992919552";https://twitter.com/Fidly_JKT48/status/1087736344992919552
Fidly_JKT48;2019-01-22 17:31;22;302;"pengen gendut tapi hobi ga makan, gimana ya?";;;;"1087659108692447232";https://twitter.com/Fidly_JKT48/status/1087659108692447232
Fidly_JKT48;2019-01-22 15:57;17;285;"hari ini masih libur jeketiannn~ mau nnton series You abis itu mau belajar hahaha, how about u?";;;;"1087635271795920896";https://twitter.com/Fidly_JKT48/status/1087635271795920896
Fidly_JKT48;2019-01-22 11:35;15;148;"i woof u :* https:// twitter.com/polkawars/stat us/1087350103730356232 …";;;;"1087569311575638016";https://twitter.com/Fidly_JKT48/status/1087569311575638016
Fidly_JKT48;2019-01-22 11:34;25;269;"drtd ada petir... heh awan pasti anda kerjaannya ES TEROSSS";;;;"1087569103546531840";https://twitter.com/Fidly_JKT48/status/1087569103546531840
