username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Grclpnku;2019-01-23 22:58;0;0;"Kucingnya menang banyak jink :)";;;;"1088103752995790848";https://twitter.com/Grclpnku/status/1088103752995790848
Grclpnku;2019-01-22 20:59;0;0;"Dewan.. pic.twitter.com/KdezM95FpZ";;;;"1087711385625096193";https://twitter.com/Grclpnku/status/1087711385625096193
Grclpnku;2019-01-22 15:47;0;0;"Aku mah butuh duid";;;;"1087632823601623041";https://twitter.com/Grclpnku/status/1087632823601623041
Grclpnku;2019-01-22 15:41;0;0;"pic.twitter.com/BN1iummdhn";;;;"1087631403150278656";https://twitter.com/Grclpnku/status/1087631403150278656
Grclpnku;2019-01-20 21:01;0;0;"AAH LUCU BANGET";;;;"1086987006863785984";https://twitter.com/Grclpnku/status/1086987006863785984
Grclpnku;2019-01-20 20:53;0;0;"Humor gw cuma sebatas APPLE BOTTOM JEANS BOOTS WITH THE FURRRRR https:// twitter.com/yehbts/status/ 1086769645028368384 …";;;;"1086985027479453697";https://twitter.com/Grclpnku/status/1086985027479453697
Grclpnku;2019-01-20 20:35;0;0;"NO";;;;"1086980637263708160";https://twitter.com/Grclpnku/status/1086980637263708160
Grclpnku;2019-01-20 20:27;0;1;"#jeromereply kak aku pgn ketemu kakak:")";;;#jeromereply;"1086978521669357568";https://twitter.com/Grclpnku/status/1086978521669357568
Grclpnku;2019-01-20 20:21;0;0;"#jeromereply kak aku pgn ketemu kakak :")";;;#jeromereply;"1086977119358312448";https://twitter.com/Grclpnku/status/1086977119358312448
Grclpnku;2019-01-20 20:11;0;0;"Gw kira cowoknya gay";;;;"1086974490217594885";https://twitter.com/Grclpnku/status/1086974490217594885
Grclpnku;2019-01-20 20:09;0;0;"Itu sendernua cewek kan";;;;"1086974054970478592";https://twitter.com/Grclpnku/status/1086974054970478592
Grclpnku;2019-01-20 20:09;0;0;"Hah trs gimana";;;;"1086974041921994752";https://twitter.com/Grclpnku/status/1086974041921994752
Grclpnku;2019-01-20 20:06;0;0;"Cowok kamu suka sama cowok? Wtf";;;;"1086973138330480640";https://twitter.com/Grclpnku/status/1086973138330480640
Grclpnku;2019-01-20 19:59;0;0;"Wa";;;;"1086971474282311686";https://twitter.com/Grclpnku/status/1086971474282311686
Grclpnku;2019-01-20 12:57;0;0;"CONGRATULATIONS FOR DROPPED YOUR PHONE AND HAS TOOK BY JUNGKOOK pic.twitter.com/YDDNYxxT8A";;;;"1086865277277499392";https://twitter.com/Grclpnku/status/1086865277277499392
Grclpnku;2019-01-20 12:42;0;0;"Skuidwerd tenpoles kalo ngetwit suka butul :")";;;;"1086861618502193152";https://twitter.com/Grclpnku/status/1086861618502193152
Grclpnku;2019-01-20 09:16;0;0;"Anyongahseyo joneun bangtan sonyondan hwanggeum maknae jon jungkuk imnida";;;;"1086809664988184576";https://twitter.com/Grclpnku/status/1086809664988184576
Grclpnku;2019-01-20 08:47;0;0;"H..hah? https:// twitter.com/JeromePolin/st atus/1086655057255325696 …";;;;"1086802464974622720";https://twitter.com/Grclpnku/status/1086802464974622720
Grclpnku;2019-01-19 14:40;0;0;"Kalo kursinya terbang org mo duduk dimana";;;;"1086528763020554241";https://twitter.com/Grclpnku/status/1086528763020554241
Grclpnku;2019-01-18 22:02;0;0;"Ada di snapgramnya mega";;;;"1086277672571785216";https://twitter.com/Grclpnku/status/1086277672571785216
Grclpnku;2019-01-18 22:01;0;0;"Mantab anjer";;;;"1086277366727372811";https://twitter.com/Grclpnku/status/1086277366727372811
Grclpnku;2019-01-18 22:00;0;0;"Ini mega ya";;;;"1086277234518716421";https://twitter.com/Grclpnku/status/1086277234518716421
Grclpnku;2019-01-18 22:00;0;0;"BU ERNI HAHA";;;;"1086277175894892544";https://twitter.com/Grclpnku/status/1086277175894892544
Grclpnku;2019-01-17 19:15;0;0;"Imut bgt itu duluu";;;;"1085873344619044866";https://twitter.com/Grclpnku/status/1085873344619044866
Grclpnku;2019-01-16 19:04;0;0;"AHAHAH TUK DALANG https:// twitter.com/markyourlee/st atus/1085494789808635904 …";;;;"1085508173237182464";https://twitter.com/Grclpnku/status/1085508173237182464
Grclpnku;2019-01-16 19:04;0;0;"I'm 17 this February";;;;"1085508007021010944";https://twitter.com/Grclpnku/status/1085508007021010944
Grclpnku;2019-01-15 21:38;0;0;"YOYOYOYOYO WE SHOULD DO THIS @violinasvp";;@violinasvp;;"1085184480430645250";https://twitter.com/Grclpnku/status/1085184480430645250
Grclpnku;2019-01-15 17:01;0;0;"pic.twitter.com/lPE0Uap6Ag";;;;"1085114660683100162";https://twitter.com/Grclpnku/status/1085114660683100162
Grclpnku;2019-01-15 16:28;0;0;"Fufufufu";;;;"1085106520805625856";https://twitter.com/Grclpnku/status/1085106520805625856
Grclpnku;2019-01-15 16:24;0;0;"AAHAHAH https:// twitter.com/umcornell/stat us/1084852339494797314 …";;;;"1085105538671640578";https://twitter.com/Grclpnku/status/1085105538671640578
Grclpnku;2019-01-15 11:15;0;0;"Pansi jir kayak powerpoint https:// twitter.com/askmenfess/sta tus/1084876593627942912 …";;;;"1085027671753449472";https://twitter.com/Grclpnku/status/1085027671753449472
Grclpnku;2019-01-11 23:20;0;0;"@ivankacristinnt tolong jabarkan arti kata ngetot tu apa";;@ivankacristinnt;;"1083760521940090880";https://twitter.com/Grclpnku/status/1083760521940090880
Grclpnku;2019-01-11 23:19;0;0;"Nge tot ?";;;;"1083760386778660866";https://twitter.com/Grclpnku/status/1083760386778660866
Grclpnku;2019-01-11 23:17;0;0;"NGAAKKAKAKK";;;;"1083759916446146560";https://twitter.com/Grclpnku/status/1083759916446146560
Grclpnku;2019-01-11 23:16;0;0;"Aku ga cocok pake yg bawah..";;;;"1083759620525445120";https://twitter.com/Grclpnku/status/1083759620525445120
Grclpnku;2019-01-11 23:11;0;0;"ANU S-SEOKJIN GANTI WARNA RAMBUT KATANYA";;;;"1083758413400535041";https://twitter.com/Grclpnku/status/1083758413400535041
Grclpnku;2019-01-11 16:16;0;0;"Tosca abu2";;;;"1083653745945149440";https://twitter.com/Grclpnku/status/1083653745945149440
Grclpnku;2019-01-11 15:59;0;0;"Depok, jawa barat wml pic.twitter.com/arNcEVHcsa";;;;"1083649588123201536";https://twitter.com/Grclpnku/status/1083649588123201536
Grclpnku;2019-01-09 22:33;0;0;"Pernah nonton the nun, kiri kanan gw org pacaran. Pas jumpscare gw lompat sendiri ditempat duduk..";;;;"1083024075134390275";https://twitter.com/Grclpnku/status/1083024075134390275
Grclpnku;2019-01-09 02:42;0;0;"Brand new trending food = donat geprek";;;;"1082724194943565824";https://twitter.com/Grclpnku/status/1082724194943565824
Grclpnku;2019-01-09 02:39;0;0;"ASA BUTTERFIELD";;;;"1082723610282708992";https://twitter.com/Grclpnku/status/1082723610282708992
Grclpnku;2019-01-09 02:15;0;0;"Gendut bgttt";;;;"1082717457800781824";https://twitter.com/Grclpnku/status/1082717457800781824
Grclpnku;2019-01-09 02:07;0;0;"pic.twitter.com/2E5xXLOzWP";;;;"1082715456648048641";https://twitter.com/Grclpnku/status/1082715456648048641
Grclpnku;2019-01-08 01:49;0;0;"Daaaarkk";;;;"1082348418658234368";https://twitter.com/Grclpnku/status/1082348418658234368
Grclpnku;2019-01-08 01:42;0;0;"Nani the fuq";;;;"1082346823606358019";https://twitter.com/Grclpnku/status/1082346823606358019
Grclpnku;2019-01-08 01:40;0;2;"Her bobs is so big @cheolsenpai";;@cheolsenpai;;"1082346184486707200";https://twitter.com/Grclpnku/status/1082346184486707200
Grclpnku;2019-01-08 01:39;0;0;"Dtg telat aj ah";;;;"1082345976273063936";https://twitter.com/Grclpnku/status/1082345976273063936
Grclpnku;2019-01-08 01:32;0;0;".......";;;;"1082344318939975680";https://twitter.com/Grclpnku/status/1082344318939975680
Grclpnku;2019-01-08 01:30;0;0;"Kamu kenapa belom tidur :)";;;;"1082343784216547333";https://twitter.com/Grclpnku/status/1082343784216547333
Grclpnku;2019-01-08 01:27;0;0;"pic.twitter.com/0OIaFv8EcO";;;;"1082343065690370048";https://twitter.com/Grclpnku/status/1082343065690370048
Grclpnku;2019-01-07 04:27;0;0;"Laper";;;;"1082025975234232320";https://twitter.com/Grclpnku/status/1082025975234232320
Grclpnku;2019-01-07 04:26;0;0;"시 안징 ㅎㅎㅎㅎ";;;;"1082025669230354432";https://twitter.com/Grclpnku/status/1082025669230354432
Grclpnku;2019-01-03 18:12;0;0;"Siapa yang gamau kalo gratis mah...";;;;"1080783839750803456";https://twitter.com/Grclpnku/status/1080783839750803456
Grclpnku;2019-01-02 01:17;0;0;"Dada ayam jir";;;;"1080166198409449472";https://twitter.com/Grclpnku/status/1080166198409449472
Grclpnku;2019-01-01 17:05;0;0;"Btw kayak lightstick yak :')";;;;"1080042413983391744";https://twitter.com/Grclpnku/status/1080042413983391744
Grclpnku;2019-01-01 17:05;0;0;"Dulu gw punya yang bintang itu :")";;;;"1080042273214148609";https://twitter.com/Grclpnku/status/1080042273214148609
Grclpnku;2019-01-01 16:59;0;0;"Bukan kadang, tapi sering kalo gw :)";;;;"1080040778045448192";https://twitter.com/Grclpnku/status/1080040778045448192
Grclpnku;2019-01-01 16:57;0;0;"Solo lo lo lo your ass https:// twitter.com/datnvers/statu s/1079914457969508353 …";;;;"1080040297453674497";https://twitter.com/Grclpnku/status/1080040297453674497
Grclpnku;2019-01-01 12:18;0;0;"Amiin";;;;"1079970110327087105";https://twitter.com/Grclpnku/status/1079970110327087105
Grclpnku;2019-01-01 01:24;0;0;"Rahasia";;;;"1079805410150735872";https://twitter.com/Grclpnku/status/1079805410150735872
Grclpnku;2019-01-01 01:14;0;0;"For 2019, I hope … #HappyNewYear #2019Hopes SEMOGA DAPET PTN DAN JURUSAN YANG KUMAU HANYA ITU SADJA pic.twitter.com/9HfQQ9f7jO";;;#HappyNewYear #2019Hopes;"1079802882445041665";https://twitter.com/Grclpnku/status/1079802882445041665
Grclpnku;2018-12-31 00:21;0;0;"What song is that";;;;"1079427329217028097";https://twitter.com/Grclpnku/status/1079427329217028097
Grclpnku;2018-12-31 00:14;0;0;"MOUSTACHE";;;;"1079425388856565760";https://twitter.com/Grclpnku/status/1079425388856565760
Grclpnku;2018-12-30 22:07;0;0;"SOUNDS GOOD I LOVE IT";;;;"1079393668354588672";https://twitter.com/Grclpnku/status/1079393668354588672
Grclpnku;2018-12-30 22:07;0;0;"If the website can't be opened you guys can hear it on bts sound cloud pic.twitter.com/wcjPQBVghF";;;;"1079393614868824064";https://twitter.com/Grclpnku/status/1079393614868824064
Grclpnku;2018-12-30 22:04;0;0;"JIMIN WHY SO SUDDEN pic.twitter.com/rmJBQ7gUPY";;;;"1079392777295716352";https://twitter.com/Grclpnku/status/1079392777295716352
Grclpnku;2018-12-29 23:23;0;0;"UWUWUWUUW pic.twitter.com/vXqePVY0k9";;;;"1079050229435908096";https://twitter.com/Grclpnku/status/1079050229435908096
Grclpnku;2018-12-29 23:11;0;0;"Hominaa hominaa hominaa";;;;"1079047358292185088";https://twitter.com/Grclpnku/status/1079047358292185088
Grclpnku;2018-12-29 22:56;0;0;"Aku mau banget banget banget";;;;"1079043505048043520";https://twitter.com/Grclpnku/status/1079043505048043520
Grclpnku;2018-12-29 18:11;0;0;"Aku salfok ada suga dibelakang :")";;;;"1078971692892864513";https://twitter.com/Grclpnku/status/1078971692892864513
Grclpnku;2018-12-29 18:03;0;0;"Ini acara apaaa ??";;;;"1078969803241443329";https://twitter.com/Grclpnku/status/1078969803241443329
Grclpnku;2018-12-29 01:37;0;0;"WOW";;;;"1078721674197913601";https://twitter.com/Grclpnku/status/1078721674197913601
