username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
racheltjhia;2019-01-19 15:36;54;164;"Would you be my Player Two? pic.twitter.com/SPV3CDQUWV";;;;"1086542997972348929";https://twitter.com/racheltjhia/status/1086542997972348929
racheltjhia;2019-01-14 02:03;4;12;"Eh iya, kemarin aku nonton theater JKT48, tiba2 kepengen hahaha. Ketemu sama @C_MichelleJKT48 @F_FeniJKT48 sama @P_StefiJKT48 ^^ Kangen yaaaa";;@C_MichelleJKT48 @F_FeniJKT48 @P_StefiJKT48;;"1084526299991834625";https://twitter.com/racheltjhia/status/1084526299991834625
racheltjhia;2019-01-14 01:59;1;15;"Lagi pgn nonton yang genre thriller nih, ada rekomendasi kaah?";;;;"1084525446639702017";https://twitter.com/racheltjhia/status/1084525446639702017
racheltjhia;2019-01-14 01:59;1;7;"Baru selesai nonton Cam di Netflix, seru banget hahaha";;;;"1084525297209208832";https://twitter.com/racheltjhia/status/1084525297209208832
racheltjhia;2019-01-12 14:53;15;44;"Muka serius main PUBG di @hanyaHPuntukku pakai #OmenByHP pic.twitter.com/J23ZTd9iRk";;@hanyaHPuntukku;#OmenByHP;"1083995293572460545";https://twitter.com/racheltjhia/status/1083995293572460545
racheltjhia;2019-01-12 13:50;2;6;"Ada kak @TaraArtsGame di acaranya @hanyaHPuntukku pic.twitter.com/gZZuSU7Hi8";;@TaraArtsGame @hanyaHPuntukku;;"1083979579297939456";https://twitter.com/racheltjhia/status/1083979579297939456
racheltjhia;2019-01-12 13:09;0;7;"Diundang sama @hanyaHPuntukku #OmenByHP niih!!! Maw main PUBG!!! pic.twitter.com/Mi0rUJoho4";;@hanyaHPuntukku;#OmenByHP;"1083969219081826305";https://twitter.com/racheltjhia/status/1083969219081826305
racheltjhia;2019-01-12 01:37;1;6;"Baru nonton iniii, seru yaah! pic.twitter.com/JdV4ykU6fj";;;;"1083795133517115393";https://twitter.com/racheltjhia/status/1083795133517115393
racheltjhia;2019-01-11 21:12;28;99;"Twintail or not? pic.twitter.com/su5iUng5rL";;;;"1083728325200162817";https://twitter.com/racheltjhia/status/1083728325200162817
racheltjhia;2019-01-11 19:15;1;7;"Otw ke mana hayoo";;;;"1083698809207541761";https://twitter.com/racheltjhia/status/1083698809207541761
racheltjhia;2019-01-11 18:37;3;12;"Otw";;;;"1083689304277233665";https://twitter.com/racheltjhia/status/1083689304277233665
racheltjhia;2019-01-10 22:02;12;17;"Ini... kamu yang foto kan? #Nat9119 #NatHorror pic.twitter.com/LIiSdyhVxi";;;#Nat9119 #NatHorror;"1083378494115966977";https://twitter.com/racheltjhia/status/1083378494115966977
racheltjhia;2019-01-10 16:51;0;1;"https:// twitter.com/alvianrchmn/st atus/1083298770849165313 …";;;;"1083300199382974465";https://twitter.com/racheltjhia/status/1083300199382974465
racheltjhia;2019-01-10 15:33;14;14;"Hayo yang kemarin belum nonton, hari ini harus nonton yaaaaa https:// youtu.be/KzlVZ78Kfjw";;;;"1083280580475637760";https://twitter.com/racheltjhia/status/1083280580475637760
racheltjhia;2019-01-10 14:18;1;3;"https:// twitter.com/Iceztiq/status /1075148701734133760 …";;;;"1083261905601347586";https://twitter.com/racheltjhia/status/1083261905601347586
racheltjhia;2019-01-10 14:18;1;1;"https:// twitter.com/deru_d_deriel/ status/1083076505670832128 …";;;;"1083261800924106752";https://twitter.com/racheltjhia/status/1083261800924106752
racheltjhia;2019-01-09 22:41;1;0;"Oyasumiii >.<";;;;"1083026049439457283";https://twitter.com/racheltjhia/status/1083026049439457283
racheltjhia;2019-01-09 22:36;0;3;"Asyiikk, sang pemberani :3 https:// twitter.com/BangHamNes/sta tus/1083023708225073152 …";;;;"1083024763021217797";https://twitter.com/racheltjhia/status/1083024763021217797
racheltjhia;2019-01-09 22:24;0;3;"Tapi achel nya lucuk kaaan? https:// twitter.com/OakTheory/stat us/1083021307489308672 …";;;;"1083021613778427904";https://twitter.com/racheltjhia/status/1083021613778427904
racheltjhia;2019-01-09 22:23;0;0;"Makasiii";;;;"1083021453312704513";https://twitter.com/racheltjhia/status/1083021453312704513
racheltjhia;2019-01-09 22:23;1;1;"Ayo koooh kamu bisaaa https:// twitter.com/wsyld/status/1 083021143571804160 …";;;;"1083021373721595904";https://twitter.com/racheltjhia/status/1083021373721595904
racheltjhia;2019-01-09 22:17;1;1;"https:// twitter.com/fxmario/status /1083011345325289473 …";;;;"1083019926602899457";https://twitter.com/racheltjhia/status/1083019926602899457
racheltjhia;2019-01-09 22:16;1;1;"Gak boleh kendooor https:// twitter.com/Bijiganja/stat us/1083019117790035969 …";;;;"1083019785456119809";https://twitter.com/racheltjhia/status/1083019785456119809
racheltjhia;2019-01-09 22:13;24;41;"Sudah tayaaaang!!! Ayo tontoooon #Nat9119 #NatHorror https:// youtu.be/KzlVZ78Kfjw";;;#Nat9119 #NatHorror;"1083018896506941441";https://twitter.com/racheltjhia/status/1083018896506941441
racheltjhia;2019-01-09 19:31;2;6;"Bentar lagi #Nat9119 pic.twitter.com/pTjjDHgw4k";;;#Nat9119;"1082978061585309696";https://twitter.com/racheltjhia/status/1082978061585309696
