username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
KidMiddi;2019-01-24 05:47;0;0;"This is a fact You dummies listening up !!!! https://www. facebook.com/story.php?stor y_fbid=10218520181656238&id=1246361413 …";;;;"1088206621245927425";https://twitter.com/KidMiddi/status/1088206621245927425
KidMiddi;2019-01-24 03:03;1;2;"https:// youtu.be/zTcRNiRW_iI #Kidmiddispontaneous #KidMiddi #SexGODEmperor #SexGODEmperorKidMiddi #KoolKeith #Pinkeybizzness #UltramagneticMcs #HipHop #Junkadelicmusic #Middi #Rap #NewYork #Paris #UK #NewMusic #NewSongs #TotalOrgasm12345 #Totalorgasm5";;;#Kidmiddispontaneous #KidMiddi #SexGODEmperor #SexGODEmperorKidMiddi #KoolKeith #Pinkeybizzness #UltramagneticMcs #HipHop #Junkadelicmusic #Middi #Rap #NewYork #Paris #UK #NewMusic #NewSongs #TotalOrgasm12345 #Totalorgasm5;"1088165376624640000";https://twitter.com/KidMiddi/status/1088165376624640000
KidMiddi;2019-01-24 02:54;0;0;"BE FUCKING ADULTS FOR ONCE !! #PINKEYBIZZNESS https://www. facebook.com/story.php?stor y_fbid=10218519206631863&id=1246361413 …";;;#PINKEYBIZZNESS;"1088163025587179524";https://twitter.com/KidMiddi/status/1088163025587179524
KidMiddi;2019-01-24 02:48;0;0;"#KidMiddiSpontaneous #SexGODEmperor #SexGODEmperorKidMiddi #PINKEYBIZZNESS #Musicalartist #HipHop #Rap #RNB #NewYork #NEWMUSIC #Newrelease #Discovery https:// g.co/kgs/zWU6sY";;;#KidMiddiSpontaneous #SexGODEmperor #SexGODEmperorKidMiddi #PINKEYBIZZNESS #Musicalartist #HipHop #Rap #RNB #NewYork #NEWMUSIC #Newrelease #Discovery;"1088161494037135361";https://twitter.com/KidMiddi/status/1088161494037135361
KidMiddi;2019-01-24 02:45;0;0;"#KidMiddiSpontaneous #SexGODEmperor #SexGODEmperorKidMiddi #PINKEYBIZZNESS #Musicalartist #HipHop #Rap #RNB #NewYork #NEWMUSIC #Newrelease #Discovery https:// g.co/kgs/zWU6sY https:// g.co/kgs/zWU6sY";;;#KidMiddiSpontaneous #SexGODEmperor #SexGODEmperorKidMiddi #PINKEYBIZZNESS #Musicalartist #HipHop #Rap #RNB #NewYork #NEWMUSIC #Newrelease #Discovery;"1088160852279283712";https://twitter.com/KidMiddi/status/1088160852279283712
KidMiddi;2019-01-23 03:54;3;6;"#KidMiddiSpontaneous #SexGODEmperor #NewYork #HipHop #Rap #Sexmusic #Sex #porn #music #Middi #KidMiddi ( https:// g.co/kgs/orpSiy ) #PINKEYBIZZNESS pic.twitter.com/pHDBcS4g8l";;;#KidMiddiSpontaneous #SexGODEmperor #NewYork #HipHop #Rap #Sexmusic #Sex #porn #music #Middi #KidMiddi #PINKEYBIZZNESS;"1087815682832650242";https://twitter.com/KidMiddi/status/1087815682832650242
KidMiddi;2019-01-23 03:11;0;0;"https://www. facebook.com/story.php?stor y_fbid=10218510851382987&id=1246361413 …";;;;"1087805064935325702";https://twitter.com/KidMiddi/status/1087805064935325702
KidMiddi;2019-01-22 06:25;0;0;"https:// youtu.be/tR-Tn6veC1Q #KidMiddi #PINKEYBIZZNESS #NEWMUSIC #NewYork #RNB #SlowJams #SexGODEmperorKidMiddi #SexGODEmperor #KidMiddispontaneous .";;;#KidMiddi #PINKEYBIZZNESS #NEWMUSIC #NewYork #RNB #SlowJams #SexGODEmperorKidMiddi #SexGODEmperor #KidMiddispontaneous;"1087491499129036801";https://twitter.com/KidMiddi/status/1087491499129036801
KidMiddi;2019-01-22 04:25;0;0;"ANTI- WACKNESS WEBSITE FOR TGE LOVE .. I GOT MORE ON THE WAY... #PINKEYBIZZNESS";;;#PINKEYBIZZNESS;"1087461098838732803";https://twitter.com/KidMiddi/status/1087461098838732803
KidMiddi;2019-01-22 03:55;1;1;"#SexGODEmperorKidMiddi #PINKEYBIZZNESS #NewYork #Sex pic.twitter.com/fChdZ9jehA";;;#SexGODEmperorKidMiddi #PINKEYBIZZNESS #NewYork #Sex;"1087453544008028160";https://twitter.com/KidMiddi/status/1087453544008028160
