username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
marklutchman;2019-02-12 09:32;1553;7328;"This might sound weird, But I’m not offended from seeing “black face.” People need to stop getting offended over everything. Am I right?";;;;"1095148575233855488";https://twitter.com/marklutchman/status/1095148575233855488
layered_envy;2019-02-11 21:57;0;1;"おやすみなさい …　また明日も 遊んでくれる？";;;;"1094973785562705921";https://twitter.com/layered_envy/status/1094973785562705921
sensible56;2019-02-11 14:11;0;0;"#ModiLies #GoBackModi https:// twitter.com/NH_India/statu s/1094855164115197953 …";;;#ModiLies #GoBackModi;"1094856497152983040";https://twitter.com/sensible56/status/1094856497152983040
StreetPunkGirl;2019-02-09 00:29;0;2;"Totally followed cuz this looks fuckin nuts";;;;"1093924847481167872";https://twitter.com/StreetPunkGirl/status/1093924847481167872
bruninhoflavio_;2019-02-07 22:32;0;0;"Maior tempão q eu nn curto um eventinho black, mó sdd menor";;;;"1093533048388358144";https://twitter.com/bruninhoflavio_/status/1093533048388358144
halm1725;2019-02-07 20:20;0;0;"私が選んだのは「 #AIカメラ 」自撮りもAIで簡単キレイ。 @HUAWEI_Japan_PR をフォローしてから選んでツイートすると最新機種 #novalite3 が5名様に当たる #HUAWEIバレンタインキャンペーン https:// club-huawei.jp/profit/twitter _nova-lite3_201902cp/ …";;@HUAWEI_Japan_PR;#AI #novalite3 #HUAWEI;"1093499766976045056";https://twitter.com/halm1725/status/1093499766976045056
theoretictyler;2019-02-07 04:00;141;539;"new footage of the helsinki crowd! pic.twitter.com/RbtrLeDHJV";;;;"1093253186918465537";https://twitter.com/theoretictyler/status/1093253186918465537
euphorichaeyeon;2019-02-05 02:21;0;1;"HWA THW BREADK";;;;"1092503396299481088";https://twitter.com/euphorichaeyeon/status/1092503396299481088
joicehasselmann;2019-02-04 22:07;662;4398;"A Temperatura sobe. Canadá acaba de negar a entrada de jornalista de agência russa na reunião do Grupo de Lima q irá discutir a situação da Venezuela. O q esperar de Putin, Cuba e China q “bancam” a NARCODITADURA de Maduro?";;;;"1092439589103521797";https://twitter.com/joicehasselmann/status/1092439589103521797
nicolestockdale;2019-02-03 22:58;0;1;"Yes!! Let’s make it happen!";;;;"1092089897140203520";https://twitter.com/nicolestockdale/status/1092089897140203520
MartinusTito;2019-01-22 11:38;0;1;"Hadu";;;;"1087570094765428737";https://twitter.com/MartinusTito/status/1087570094765428737
MartinusTito;2019-01-22 10:54;0;0;"Bagus";;;;"1087558986021318657";https://twitter.com/MartinusTito/status/1087558986021318657
MartinusTito;2019-01-22 10:35;0;0;"Tom tolong lah jgn rusak mood tl gue. :((";;;;"1087554238849273856";https://twitter.com/MartinusTito/status/1087554238849273856
MartinusTito;2019-01-21 20:31;0;0;"Knp lu";;;;"1087342037626544129";https://twitter.com/MartinusTito/status/1087342037626544129
MartinusTito;2019-01-21 18:39;1;1;"Alkohol, engkau jahat tapi enak";;;;"1087313674253955072";https://twitter.com/MartinusTito/status/1087313674253955072
MartinusTito;2019-01-20 15:37;0;0;"HAHA, sebel bgt bacanya!";;;;"1086905669234511874";https://twitter.com/MartinusTito/status/1086905669234511874
MartinusTito;2019-01-16 00:57;0;0;"Tipu";;;;"1085234446322655233";https://twitter.com/MartinusTito/status/1085234446322655233
MartinusTito;2019-01-15 01:51;24;5;"Visi 2019 pic.twitter.com/bAZS7WMpYN";;;;"1084885635582717952";https://twitter.com/MartinusTito/status/1084885635582717952
MartinusTito;2019-01-10 21:01;0;0;"Bulan sabit di langit Jakarta";;;;"1083363082628325378";https://twitter.com/MartinusTito/status/1083363082628325378
MartinusTito;2018-12-26 22:01;0;0;"Terbaik. pic.twitter.com/WoG8Db4OXl";;;;"1077942508972195841";https://twitter.com/MartinusTito/status/1077942508972195841
MartinusTito;2018-12-25 23:17;0;0;"Deym.. nyomot secolek dua colek punya orang bisa berarti penghematan buat diri mereka sendiri ya.. haha";;;;"1077599124957028352";https://twitter.com/MartinusTito/status/1077599124957028352
MartinusTito;2018-12-25 23:11;0;0;"Hoo itu ysl dkk sering liat gue dikotak mua2 kawakan";;;;"1077597746566029312";https://twitter.com/MartinusTito/status/1077597746566029312
MartinusTito;2018-12-23 22:38;0;0;"Iya dagu saya ga simetris. Tengs";;;;"1076864755950747649";https://twitter.com/MartinusTito/status/1076864755950747649
MartinusTito;2018-12-23 21:31;0;1;"Untung no mention.";;;;"1076847854646259712";https://twitter.com/MartinusTito/status/1076847854646259712
MartinusTito;2018-12-22 15:42;0;0;"Kacaw men";;;;"1076397559885656064";https://twitter.com/MartinusTito/status/1076397559885656064
MartinusTito;2018-12-22 15:42;0;0;"Parah. Ga kuat hati ini. :"";;;;"1076397507700092928";https://twitter.com/MartinusTito/status/1076397507700092928
MartinusTito;2018-12-22 14:10;0;0;"pic.twitter.com/7qzLCtIrr0";;;;"1076374524529041409";https://twitter.com/MartinusTito/status/1076374524529041409
MartinusTito;2018-12-21 23:12;0;0;"Terbaiq";;;;"1076148304742801418";https://twitter.com/MartinusTito/status/1076148304742801418
MartinusTito;2018-12-20 15:12;0;0;"Oke tengs";;;;"1075665235493539840";https://twitter.com/MartinusTito/status/1075665235493539840
