username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Ronnamaraya;2019-01-24 00:28;0;0;"b aja";;;;"1088126268204171264";https://twitter.com/Ronnamaraya/status/1088126268204171264
Ronnamaraya;2019-01-23 20:39;0;3;"lah iya genah maksudku kayak kue sg penting wetengku wareg.";;;;"1088068582301257729";https://twitter.com/Ronnamaraya/status/1088068582301257729
Ronnamaraya;2019-01-23 18:45;0;0;"EHEHEHEHE";;;;"1088040140444917760";https://twitter.com/Ronnamaraya/status/1088040140444917760
Ronnamaraya;2019-01-23 18:44;1;0;"love shoot ah";;;;"1088039678983323649";https://twitter.com/Ronnamaraya/status/1088039678983323649
Ronnamaraya;2019-01-23 17:20;0;4;"anzzzzinkkkkkk";;;;"1088018565825933312";https://twitter.com/Ronnamaraya/status/1088018565825933312
Ronnamaraya;2019-01-23 14:47;0;0;"lollll";;;;"1087980113751408640";https://twitter.com/Ronnamaraya/status/1087980113751408640
Ronnamaraya;2019-01-23 10:59;0;0;"biruuuuuuuuu biru";;;;"1087922841629020160";https://twitter.com/Ronnamaraya/status/1087922841629020160
Ronnamaraya;2019-01-23 07:54;2;15;"temen q di grup isi nya cuma pamer pamer pamer pamer pamer pamer pamer pAMEERRRRRRRRRRRRRRRRRR";;;;"1087876088036974592";https://twitter.com/Ronnamaraya/status/1087876088036974592
Ronnamaraya;2019-01-22 14:01;0;1;"begini bgt dah temlen q";;;;"1087606085324664833";https://twitter.com/Ronnamaraya/status/1087606085324664833
Ronnamaraya;2019-01-22 00:57;0;0;"SKAKAKAKAKAKAKAA";;;;"1087408789010038784";https://twitter.com/Ronnamaraya/status/1087408789010038784
Ronnamaraya;2019-01-21 23:38;0;1;"detik mas";;;;"1087388891982704640";https://twitter.com/Ronnamaraya/status/1087388891982704640
Ronnamaraya;2019-01-21 22:17;0;0;"lah";;;;"1087368576581885952";https://twitter.com/Ronnamaraya/status/1087368576581885952
Ronnamaraya;2019-01-21 21:48;0;0;"KEBALIK BWAMMBANKKK";;;;"1087361205444853761";https://twitter.com/Ronnamaraya/status/1087361205444853761
Ronnamaraya;2019-01-21 21:47;0;0;"lah ya allah angga";;;;"1087360981179613186";https://twitter.com/Ronnamaraya/status/1087360981179613186
Ronnamaraya;2019-01-21 18:58;0;0;"lah";;;;"1087318461649346561";https://twitter.com/Ronnamaraya/status/1087318461649346561
Ronnamaraya;2019-01-21 18:55;0;0;"";;;;"1087317875977707520";https://twitter.com/Ronnamaraya/status/1087317875977707520
Ronnamaraya;2019-01-21 18:42;0;0;"wkwkwkwk";;;;"1087314400971640834";https://twitter.com/Ronnamaraya/status/1087314400971640834
Ronnamaraya;2019-01-21 18:35;2;8;"<---- new ava naks tuiiiter dulu kalo ava nya baru ganti.";;;;"1087312725112324097";https://twitter.com/Ronnamaraya/status/1087312725112324097
Ronnamaraya;2019-01-21 18:31;0;1;"lah emng iya babi https:// twitter.com/Ronnamaraya/st atus/533236767210475520 …";;;;"1087311819830571008";https://twitter.com/Ronnamaraya/status/1087311819830571008
Ronnamaraya;2019-01-21 18:21;0;0;"tai anjing";;;;"1087309173165981696";https://twitter.com/Ronnamaraya/status/1087309173165981696
Ronnamaraya;2019-01-21 10:15;0;0;":(((((((";;;;"1087187008785547264";https://twitter.com/Ronnamaraya/status/1087187008785547264
Ronnamaraya;2019-01-20 21:56;0;0;"lah ko lu sirik si nder wkwk";;;;"1087000894325977088";https://twitter.com/Ronnamaraya/status/1087000894325977088
Ronnamaraya;2019-01-20 19:24;0;1;"https:// open.spotify.com/track/6luU1WV5 2yrZW2QLBXaV4M?context=spotify%3Auser%3Aspotify%3Aplaylist%3A37i9dQZF1DWXaRIedRPCEO&si=-c8cobDERnu0HFacjLNSfg …";;;;"1086962613185966080";https://twitter.com/Ronnamaraya/status/1086962613185966080
Ronnamaraya;2019-01-20 17:10;1;3;"sampah";;;;"1086928866654863360";https://twitter.com/Ronnamaraya/status/1086928866654863360
Ronnamaraya;2019-01-20 12:02;0;0;"https:// open.spotify.com/track/5kIYyeGw lDKCFUN2SFofGd?context=spotify%3Auser%3Aspotify%3Aplaylist%3A37i9dQZF1DWXaRIedRPCEO&si=2a2tbpgmQtyO_cT8xCwZaA …";;;;"1086851391040045056";https://twitter.com/Ronnamaraya/status/1086851391040045056
Ronnamaraya;2019-01-20 08:10;0;0;"lah kok lu nyamber aeeee si dsr cilacap";;;;"1086792957976444929";https://twitter.com/Ronnamaraya/status/1086792957976444929
Ronnamaraya;2019-01-19 23:03;0;1;"lh iya ya mirip fahmi wkwkwkwk";;;;"1086655316501004288";https://twitter.com/Ronnamaraya/status/1086655316501004288
Ronnamaraya;2019-01-19 20:43;0;19;"AKU MALAM MINGGUAN COKKKK pic.twitter.com/NC93hW19Ka";;;;"1086620121160810496";https://twitter.com/Ronnamaraya/status/1086620121160810496
Ronnamaraya;2019-01-19 19:12;0;4;"G JELAS BGT";;;;"1086597259842600962";https://twitter.com/Ronnamaraya/status/1086597259842600962
Ronnamaraya;2019-01-19 16:15;0;0;"lahhhhh";;;;"1086552662814801921";https://twitter.com/Ronnamaraya/status/1086552662814801921
Ronnamaraya;2019-01-19 15:14;0;0;"lah iya ya";;;;"1086537336794472449";https://twitter.com/Ronnamaraya/status/1086537336794472449
Ronnamaraya;2019-01-19 11:19;1;6;"gua keluar kamar kalo makan doang.";;;;"1086478339991203841";https://twitter.com/Ronnamaraya/status/1086478339991203841
Ronnamaraya;2019-01-19 08:48;0;3;"mukanya indy empuk keknya enak buat bantalan";;;;"1086440261108940800";https://twitter.com/Ronnamaraya/status/1086440261108940800
Ronnamaraya;2019-01-19 00:14;0;0;"tai";;;;"1086310906940669953";https://twitter.com/Ronnamaraya/status/1086310906940669953
Ronnamaraya;2019-01-18 23:39;0;0;"tai";;;;"1086302058272059392";https://twitter.com/Ronnamaraya/status/1086302058272059392
Ronnamaraya;2019-01-17 21:00;0;0;"ini pada ngapa dah";;;;"1085899662983229446";https://twitter.com/Ronnamaraya/status/1085899662983229446
Ronnamaraya;2019-01-17 16:38;0;0;"woi apaan gua anak nusakambangan nieeeeee";;;;"1085833647125540864";https://twitter.com/Ronnamaraya/status/1085833647125540864
Ronnamaraya;2019-01-17 12:25;0;1;"mbak ya allah wkwkw";;;;"1085769977666297857";https://twitter.com/Ronnamaraya/status/1085769977666297857
Ronnamaraya;2019-01-17 12:02;0;0;"prabowo";;;;"1085764357961613313";https://twitter.com/Ronnamaraya/status/1085764357961613313
Ronnamaraya;2019-01-17 11:44;1;7;"tiba-tiba ngebayangin bung fiersa besari debat ma vicky prasetyo.";;;;"1085759742473981954";https://twitter.com/Ronnamaraya/status/1085759742473981954
Ronnamaraya;2019-01-17 09:49;0;8;"gini aja bnyk yg rituittttt";;;;"1085730722286002176";https://twitter.com/Ronnamaraya/status/1085730722286002176
Ronnamaraya;2019-01-17 07:32;0;0;"wkwkwk";;;;"1085696387965059073";https://twitter.com/Ronnamaraya/status/1085696387965059073
Ronnamaraya;2019-01-17 07:23;0;2;"ngntd anjg";;;;"1085694130154434561";https://twitter.com/Ronnamaraya/status/1085694130154434561
Ronnamaraya;2019-01-16 23:10;2;3;"mau boker nga da headset jd mls.";;;;"1085569937794510848";https://twitter.com/Ronnamaraya/status/1085569937794510848
Ronnamaraya;2019-01-16 22:58;0;1;"kencot";;;;"1085566916062732288";https://twitter.com/Ronnamaraya/status/1085566916062732288
Ronnamaraya;2019-01-15 15:28;0;0;"WTF";;;;"1085091378344808448";https://twitter.com/Ronnamaraya/status/1085091378344808448
Ronnamaraya;2019-01-15 11:08;3;15;"lullll pic.twitter.com/8z8X4fJsAe";;;;"1085025937576550400";https://twitter.com/Ronnamaraya/status/1085025937576550400
Ronnamaraya;2019-01-14 23:26;2;2;"gua lg jarang bgt sambat, iyalah org lagi gak gaber. gatau besok, liat ae.";;;;"1084849332182896645";https://twitter.com/Ronnamaraya/status/1084849332182896645
Ronnamaraya;2019-01-14 19:45;0;0;"ya rabb";;;;"1084793558580715520";https://twitter.com/Ronnamaraya/status/1084793558580715520
Ronnamaraya;2019-01-14 07:14;1;4;"love only with passion.";;;;"1084604732717461504";https://twitter.com/Ronnamaraya/status/1084604732717461504
Ronnamaraya;2019-01-12 17:39;0;2;":)";;;;"1084037247899336706";https://twitter.com/Ronnamaraya/status/1084037247899336706
Ronnamaraya;2019-01-12 11:02;0;0;"jhat bgt yawloh";;;;"1083937334226182144";https://twitter.com/Ronnamaraya/status/1083937334226182144
Ronnamaraya;2019-01-12 10:22;1;0;"bahaya nih https:// twitter.com/masxbam/status /1083545347916349441 …";;;;"1083927073796714496";https://twitter.com/Ronnamaraya/status/1083927073796714496
Ronnamaraya;2019-01-12 10:19;0;0;"wkwkwkkw";;;;"1083926529065791488";https://twitter.com/Ronnamaraya/status/1083926529065791488
Ronnamaraya;2019-01-12 09:06;0;0;"bertemu";;;;"1083908156852301825";https://twitter.com/Ronnamaraya/status/1083908156852301825
Ronnamaraya;2019-01-12 08:02;0;2;"pasti nih pasti saya merasakan jadi mbak mbaknya.";;;;"1083892036762103809";https://twitter.com/Ronnamaraya/status/1083892036762103809
Ronnamaraya;2019-01-10 21:25;0;0;"ember";;;;"1083369365490159616";https://twitter.com/Ronnamaraya/status/1083369365490159616
Ronnamaraya;2019-01-10 19:07;0;3;"ini dulu waktu dikaaa blm terkenal keknya dah https:// twitter.com/Ronnamaraya/st atus/424524554623385600 …";;;;"1083334447498289152";https://twitter.com/Ronnamaraya/status/1083334447498289152
Ronnamaraya;2019-01-10 12:54;0;0;"kusut bgt idupnya ampun";;;;"1083240548675153920";https://twitter.com/Ronnamaraya/status/1083240548675153920
Ronnamaraya;2019-01-10 09:30;0;0;"ada. selebtwit";;;;"1083189425708748800";https://twitter.com/Ronnamaraya/status/1083189425708748800
Ronnamaraya;2019-01-09 21:07;0;0;"wtfffffff";;;;"1083002263080062976";https://twitter.com/Ronnamaraya/status/1083002263080062976
Ronnamaraya;2019-01-09 20:56;0;1;"ya allah oca:'(";;;;"1082999611747328000";https://twitter.com/Ronnamaraya/status/1082999611747328000
Ronnamaraya;2019-01-09 00:49;0;3;"pic.twitter.com/Vr4rCcc2xg";;;;"1082695893390774272";https://twitter.com/Ronnamaraya/status/1082695893390774272
Ronnamaraya;2019-01-08 19:32;0;1;"mbak alisnyaaaa :(((((";;;;"1082616060115771398";https://twitter.com/Ronnamaraya/status/1082616060115771398
Ronnamaraya;2019-01-08 18:19;0;0;"lollll";;;;"1082597578741403648";https://twitter.com/Ronnamaraya/status/1082597578741403648
Ronnamaraya;2019-01-08 14:46;2;9;"tidak perlu banyak menjelaskan segala sesuatu ketika tidak di hargai.";;;;"1082543937330372609";https://twitter.com/Ronnamaraya/status/1082543937330372609
Ronnamaraya;2019-01-08 08:40;0;0;"beda aja lah ama ga megang hape";;;;"1082451864732356608";https://twitter.com/Ronnamaraya/status/1082451864732356608
Ronnamaraya;2019-01-08 08:06;5;8;"boker ga megang hp + musikan sunyi bgt ya allah sumpah.";;;;"1082443421720051712";https://twitter.com/Ronnamaraya/status/1082443421720051712
Ronnamaraya;2019-01-07 20:08;0;2;"kemana-mana ga lupa beli fremilt.";;;;"1082262669791354880";https://twitter.com/Ronnamaraya/status/1082262669791354880
Ronnamaraya;2019-01-07 17:58;1;0;"pic.twitter.com/DOEjMUpJ7A";;;;"1082229863002435584";https://twitter.com/Ronnamaraya/status/1082229863002435584
Ronnamaraya;2019-01-07 09:37;1;6;"pic.twitter.com/A2SzF79L1Y";;;;"1082103927422636034";https://twitter.com/Ronnamaraya/status/1082103927422636034
Ronnamaraya;2019-01-06 19:27;2;11;"pic.twitter.com/VC21yksHER";;;;"1081889940902838273";https://twitter.com/Ronnamaraya/status/1081889940902838273
Ronnamaraya;2019-01-05 15:41;0;0;"Haaaaa";;;;"1081470789533093891";https://twitter.com/Ronnamaraya/status/1081470789533093891
Ronnamaraya;2019-01-05 13:24;0;0;"Suwun mas sudah memberi inspirasi bagaiamana caranya mengeluarkan sebuah ekspresi antara sedih Dan sabar terima yaudah iya mksh y";;;;"1081436272814546945";https://twitter.com/Ronnamaraya/status/1081436272814546945
Ronnamaraya;2019-01-05 11:20;0;0;"Kgn yaa";;;;"1081405110301863936";https://twitter.com/Ronnamaraya/status/1081405110301863936
Ronnamaraya;2019-01-05 09:43;0;1;"Masturbate follback";;;;"1081380754209140736";https://twitter.com/Ronnamaraya/status/1081380754209140736
Ronnamaraya;2019-01-05 09:33;0;0;"Anjir wkwkwk";;;;"1081378031237771269";https://twitter.com/Ronnamaraya/status/1081378031237771269
Ronnamaraya;2019-01-05 07:47;0;3;"gabisa ngomong apa2";;;;"1081351424791830528";https://twitter.com/Ronnamaraya/status/1081351424791830528
Ronnamaraya;2019-01-04 17:51;1;4;"Even if the mind forgets, the heart still remembers.";;;;"1081141112855654400";https://twitter.com/Ronnamaraya/status/1081141112855654400
Ronnamaraya;2019-01-04 17:45;0;2;":(:";;;;"1081139433196335104";https://twitter.com/Ronnamaraya/status/1081139433196335104
Ronnamaraya;2019-01-04 03:38;0;0;"Dungu lu";;;;"1080926500793180160";https://twitter.com/Ronnamaraya/status/1080926500793180160
Ronnamaraya;2019-01-04 03:33;41;23;"waktu indonesia bagian ngerenungin hidup gini gini aja.";;;;"1080925191654404096";https://twitter.com/Ronnamaraya/status/1080925191654404096
Ronnamaraya;2019-01-03 23:23;0;1;"Ambil motivasinya dari twitter. Update nya di instastory.";;;;"1080862144999055360";https://twitter.com/Ronnamaraya/status/1080862144999055360
Ronnamaraya;2019-01-03 19:01;0;4;"pic.twitter.com/g9q5dBvjss";;;;"1080796327896698881";https://twitter.com/Ronnamaraya/status/1080796327896698881
Ronnamaraya;2019-01-03 18:29;0;1;"pic.twitter.com/hXKFXTrsCf";;;;"1080788231203868678";https://twitter.com/Ronnamaraya/status/1080788231203868678
Ronnamaraya;2019-01-03 13:43;0;0;"Lol";;;;"1080716353944895488";https://twitter.com/Ronnamaraya/status/1080716353944895488
Ronnamaraya;2019-01-03 12:44;0;0;"Napa y gua klo liat gambar beginian pgn gua hancurin";;;;"1080701473871130624";https://twitter.com/Ronnamaraya/status/1080701473871130624
Ronnamaraya;2019-01-03 12:09;0;0;"Twitter for Android https:// twitter.com/howtodressvvel l/status/1080690806518734848 …";;;;"1080692597536972800";https://twitter.com/Ronnamaraya/status/1080692597536972800
Ronnamaraya;2019-01-03 11:53;0;1;":(:";;;;"1080688561135861761";https://twitter.com/Ronnamaraya/status/1080688561135861761
Ronnamaraya;2019-01-03 07:17;0;0;"Sotoi bgt";;;;"1080619076525817857";https://twitter.com/Ronnamaraya/status/1080619076525817857
Ronnamaraya;2019-01-02 19:59;0;0;"Aq mau mba";;;;"1080448574456946688";https://twitter.com/Ronnamaraya/status/1080448574456946688
Ronnamaraya;2019-01-02 12:45;0;0;"Lol bgt";;;;"1080339357968478208";https://twitter.com/Ronnamaraya/status/1080339357968478208
Ronnamaraya;2019-01-02 12:29;0;0;"Thxxxxx";;;;"1080335188314353666";https://twitter.com/Ronnamaraya/status/1080335188314353666
Ronnamaraya;2019-01-02 12:26;0;0;"Lagi bang yg bnyk";;;;"1080334453816213504";https://twitter.com/Ronnamaraya/status/1080334453816213504
Ronnamaraya;2019-01-01 21:55;0;0;"ok";;;;"1080115213335068672";https://twitter.com/Ronnamaraya/status/1080115213335068672
Ronnamaraya;2019-01-01 20:07;0;1;"Yaiyalah tuh bantal sama pic.twitter.com/DsVVlWp9mO";;;;"1080088006155919360";https://twitter.com/Ronnamaraya/status/1080088006155919360
Ronnamaraya;2019-01-01 20:05;0;0;"Alhamdulilah wkwkw jgn sprti yg lain mbak";;;;"1080087681759993856";https://twitter.com/Ronnamaraya/status/1080087681759993856
Ronnamaraya;2019-01-01 20:00;0;1;"gatau tiba2 rame";;;;"1080086475918561280";https://twitter.com/Ronnamaraya/status/1080086475918561280
Ronnamaraya;2019-01-01 19:36;0;6;"suka heran aja, kok di foto bersih kinclong gitu, pas ketemu... rahasianya apa? Kameranya apa?";;;;"1080080406152527872";https://twitter.com/Ronnamaraya/status/1080080406152527872
Ronnamaraya;2019-01-01 19:34;0;1;"Lol";;;;"1080079735726604289";https://twitter.com/Ronnamaraya/status/1080079735726604289
Ronnamaraya;2019-01-01 19:12;0;0;"Punya suami/istri lah";;;;"1080074331277844481";https://twitter.com/Ronnamaraya/status/1080074331277844481
Ronnamaraya;2019-01-01 18:58;0;0;"bodo";;;;"1080070772847083520";https://twitter.com/Ronnamaraya/status/1080070772847083520
Ronnamaraya;2019-01-01 18:57;0;3;"Dewahoya sambatnya "sambat" terus di twitter gelee.";;;;"1080070462124679168";https://twitter.com/Ronnamaraya/status/1080070462124679168
Ronnamaraya;2019-01-01 18:12;5;5;"aduh klean ni, mksudnya tuh pemikiran yg sempit berubah jadi luas di 2019 elahhh gt ja kaga tai";;;;"1080059105497075713";https://twitter.com/Ronnamaraya/status/1080059105497075713
Ronnamaraya;2019-01-01 12:34;0;0;"Sskakakaakakak";;;;"1079974010195140608";https://twitter.com/Ronnamaraya/status/1079974010195140608
Ronnamaraya;2019-01-01 10:48;0;1;"SKAKAKA";;;;"1079947468467449857";https://twitter.com/Ronnamaraya/status/1079947468467449857
Ronnamaraya;2019-01-01 09:56;0;0;"Lol";;;;"1079934378052972545";https://twitter.com/Ronnamaraya/status/1079934378052972545
Ronnamaraya;2019-01-01 09:43;0;0;"maaf itu otak kita kak";;;;"1079930972802506752";https://twitter.com/Ronnamaraya/status/1079930972802506752
Ronnamaraya;2019-01-01 09:42;0;0;"maap anda sp ya?";;;;"1079930871820369920";https://twitter.com/Ronnamaraya/status/1079930871820369920
Ronnamaraya;2019-01-01 08:58;0;1;"iya mbak";;;;"1079919650295566336";https://twitter.com/Ronnamaraya/status/1079919650295566336
Ronnamaraya;2019-01-01 08:57;0;3;"Bahagia tu lu yg bikin ros. bukn org lain";;;;"1079919418375720960";https://twitter.com/Ronnamaraya/status/1079919418375720960
Ronnamaraya;2019-01-01 08:49;5;7;"Ngga kerasa 365 hari lagi 2020";;;;"1079917568121425921";https://twitter.com/Ronnamaraya/status/1079917568121425921
Ronnamaraya;2019-01-01 08:41;1;2;"pemikirian yg sempit jadi luas kak";;;;"1079915473783779331";https://twitter.com/Ronnamaraya/status/1079915473783779331
Ronnamaraya;2019-01-01 08:38;0;0;"Maksudnya itu pemikiran yg sempit jadi luas kak";;;;"1079914839516958720";https://twitter.com/Ronnamaraya/status/1079914839516958720
Ronnamaraya;2019-01-01 08:14;0;5;"hadeh ni org2 pikiran nya kotor semuaa dah";;;;"1079908565622509569";https://twitter.com/Ronnamaraya/status/1079908565622509569
Ronnamaraya;2019-01-01 01:57;1;3;"sembelit pertama di 2019";;;;"1079813891599654916";https://twitter.com/Ronnamaraya/status/1079813891599654916
Ronnamaraya;2018-12-31 16:56;0;1;"Jaman skrng mah";;;;"1079677684475523074";https://twitter.com/Ronnamaraya/status/1079677684475523074
Ronnamaraya;2018-12-31 14:54;0;0;"Gada yg mau seteam elahhhh lol";;;;"1079646882270371840";https://twitter.com/Ronnamaraya/status/1079646882270371840
Ronnamaraya;2018-12-31 14:53;0;0;"Lol";;;;"1079646602518614016";https://twitter.com/Ronnamaraya/status/1079646602518614016
Ronnamaraya;2018-12-31 13:24;0;0;"Niat bgt yaaa";;;;"1079624304210239488";https://twitter.com/Ronnamaraya/status/1079624304210239488
Ronnamaraya;2018-12-31 13:22;0;0;"Sosis peler maksudnya";;;;"1079623849614831616";https://twitter.com/Ronnamaraya/status/1079623849614831616
Ronnamaraya;2018-12-31 13:19;0;1;"yha yha ok lah";;;;"1079622986041221121";https://twitter.com/Ronnamaraya/status/1079622986041221121
Ronnamaraya;2018-12-31 12:02;0;0;"alhamdulilah ya allah temanku";;;;"1079603795246477317";https://twitter.com/Ronnamaraya/status/1079603795246477317
Ronnamaraya;2018-12-31 11:59;0;1;"Kan anda yg jomblo. Saya mah sudah ada suami";;;;"1079602799233531905";https://twitter.com/Ronnamaraya/status/1079602799233531905
Ronnamaraya;2018-12-31 11:34;1;5;"gabole ngerayaain malam th baruuuuu di islam, yaudah kalo gitu main malem aja nanti.";;;;"1079596694428278784";https://twitter.com/Ronnamaraya/status/1079596694428278784
Ronnamaraya;2018-12-31 09:22;0;0;"Uwiiiiii";;;;"1079563428094607362";https://twitter.com/Ronnamaraya/status/1079563428094607362
Ronnamaraya;2018-12-31 09:22;0;0;"Ngeri";;;;"1079563303095943168";https://twitter.com/Ronnamaraya/status/1079563303095943168
Ronnamaraya;2018-12-30 20:13;0;9;"Ni temen2 w yg kaga pake twitter, pada baru heboh video bodoamat bacotamat, SKAKAKAKAKAKA";;;;"1079364842526433280";https://twitter.com/Ronnamaraya/status/1079364842526433280
Ronnamaraya;2018-12-29 23:10;0;0;"pling kocak mang nihh";;;;"1079047029697896448";https://twitter.com/Ronnamaraya/status/1079047029697896448
Ronnamaraya;2018-12-29 23:01;0;2;"Ya allah akhirnya mbak mbak bibit unggul mulai lg dramanya";;;;"1079044723262648321";https://twitter.com/Ronnamaraya/status/1079044723262648321
Ronnamaraya;2018-12-29 20:22;0;0;"";;;;"1079004802397290497";https://twitter.com/Ronnamaraya/status/1079004802397290497
Ronnamaraya;2018-12-29 17:08;0;2;"lah lucu bgt si";;;;"1078956033639247872";https://twitter.com/Ronnamaraya/status/1078956033639247872
Ronnamaraya;2018-12-29 15:01;0;0;"Jorok bgt astaga";;;;"1078923858843860992";https://twitter.com/Ronnamaraya/status/1078923858843860992
Ronnamaraya;2018-12-29 12:23;0;3;"kgn suami";;;;"1078884209324769280";https://twitter.com/Ronnamaraya/status/1078884209324769280
Ronnamaraya;2018-12-28 23:13;0;0;"36mm";;;;"1078685271992881157";https://twitter.com/Ronnamaraya/status/1078685271992881157
Ronnamaraya;2018-12-28 20:12;0;0;"Ya allah dik, baru kambek udah ngajak gelut";;;;"1078639800888872961";https://twitter.com/Ronnamaraya/status/1078639800888872961
Ronnamaraya;2018-12-28 19:35;1;2;"Tolollllll Seberapa Bajingan Kamu Berdasarkan Foto Profilmu? https:// id.vonvon.me/7RSjV #vonvon_id #SeberapaBajinganKamuBerdasarkanFotoProfilmu";;;#vonvon_id #SeberapaBajinganKamuBerdasarkanFotoProfilmu;"1078630422093881345";https://twitter.com/Ronnamaraya/status/1078630422093881345
Ronnamaraya;2018-12-28 19:32;0;0;"Dikkk astaga dik udah makan belum dik";;;;"1078629694113632261";https://twitter.com/Ronnamaraya/status/1078629694113632261
Ronnamaraya;2018-12-28 18:18;0;0;"https:// twitter.com/Recehin_Aja/st atus/1078586331142340608 …";;;;"1078611232637108225";https://twitter.com/Ronnamaraya/status/1078611232637108225
Ronnamaraya;2018-12-28 16:35;0;0;"";;;;"1078585287578513408";https://twitter.com/Ronnamaraya/status/1078585287578513408
Ronnamaraya;2018-12-28 16:16;1;9;"Want to sale original daniel wellington, mumpung masih th 2018 IDR 550k. kelengkapan: jam,box 2,paper bag,pen eject,manual book. more info bisa dm. pic.twitter.com/jyAcWOIB5G";;;;"1078580478343434240";https://twitter.com/Ronnamaraya/status/1078580478343434240
Ronnamaraya;2018-12-28 14:55;1;2;"Mbak saya setan nya ya mbak:(";;;;"1078559984948924416";https://twitter.com/Ronnamaraya/status/1078559984948924416
Ronnamaraya;2018-12-28 11:31;0;0;"Seneng ya liatnya";;;;"1078508700715823104";https://twitter.com/Ronnamaraya/status/1078508700715823104
