username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SantriPop;2019-01-23 13:57;0;0;"أما ترى الأسد تخشى وهي صامتة، والكلب يخسي لعمري وهو نباح Singa ditakuti meski Ia sedang diam. Anjing dilempari sebab menggonggong. - Imam Syafi'i -";;;;"1087967464917471234";https://twitter.com/SantriPop/status/1087967464917471234
SantriPop;2019-01-23 11:02;0;0;"Bye #HPJadul , kini dengan TAU Lite6 kamu bisa punya HP kekinian dengan paket internetan Rp10 tiap bulan @Telkomsel";;@Telkomsel;#HPJadul;"1087923510859706368";https://twitter.com/SantriPop/status/1087923510859706368
SantriPop;2019-01-23 09:51;0;1;"Ternyata saya ada di level Muslim, yai.";;;;"1087905613563060224";https://twitter.com/SantriPop/status/1087905613563060224
SantriPop;2019-01-23 06:51;0;1;"Jadi lebih baik mukmin, Muslim, atau mukhsin, yai?";;;;"1087860445820538880";https://twitter.com/SantriPop/status/1087860445820538880
SantriPop;2019-01-21 14:48;0;0;"Kamu Gak Tahu Betapa Sakitnya Aku @Pulau Seribu https://www. instagram.com/p/Bs44VkiHpt0/ ?utm_source=ig_twitter_share&igshid=1dt5jkl6avkhr …";;@Pulau;;"1087255519742504960";https://twitter.com/SantriPop/status/1087255519742504960
SantriPop;2019-01-21 10:20;0;0;"1 Kebaikan 1 Hari https://www. instagram.com/p/Bs4ZvNXn7hJ/ ?utm_source=ig_twitter_share&igshid=xquk2h2tj2y8 …";;;;"1087188157991247872";https://twitter.com/SantriPop/status/1087188157991247872
SantriPop;2019-01-21 10:07;0;0;"One Day in Sempur @Lapangan Sempur, Istana Bogor https://www. instagram.com/p/Bs4YOQGnqvL/ ?utm_source=ig_twitter_share&igshid=191lrpp0xz2tt …";;@Lapangan;;"1087184916759146496";https://twitter.com/SantriPop/status/1087184916759146496
SantriPop;2019-01-20 15:27;0;0;"Alhamdulilah saat ini sdh dipulangkan sampai rumah nya";;;;"1086903035505201155";https://twitter.com/SantriPop/status/1086903035505201155
SantriPop;2019-01-20 12:40;0;0;"On tolong sebarkan ke followernya Sapa tau Ada yg bisa bantu. Terimakasih. @kurawa @Wariman_ @gusdurianbogor";;@kurawa @Wariman_ @gusdurianbogor;;"1086860974433267712";https://twitter.com/SantriPop/status/1086860974433267712
SantriPop;2019-01-20 12:37;2;1;"Twitter do your magic!! Minta tlg kpd siapa saja yg berlokasi di Bogor Kota, aku lagi sama Jejen yg terganggu mentalnya. Pihak keluarga sdh tdk peduli. Aku mau bawa dia ke rumahnya tp gada satupun kendaraan yg bersedia bawa. Mohon bantuan kendaraan agar aku bisa bawa pulang. Thx.";;;;"1086860346659299328";https://twitter.com/SantriPop/status/1086860346659299328
SantriPop;2019-01-19 20:23;0;0;"Lebih dari yang Orang orang kira https://www. instagram.com/p/Bs0VBodH4o3/ ?utm_source=ig_twitter_share&igshid=j6qk29ug0a2k …";;;;"1086615122368442368";https://twitter.com/SantriPop/status/1086615122368442368
SantriPop;2019-01-19 09:51;0;0;"Enjoy Your Life @Sempur Park Bogor https://www. instagram.com/p/BszMkmxHcAG/ ?utm_source=ig_twitter_share&igshid=1jlq7cwhwclwu …";;@Sempur;;"1086456088613085184";https://twitter.com/SantriPop/status/1086456088613085184
SantriPop;2019-01-19 09:18;0;0;"Enjoy Your Life @Sempur Park Bogor https://www. instagram.com/p/BszInhtHvIQ/ ?utm_source=ig_twitter_share&igshid=wvscjnze7wvr …";;@Sempur;;"1086447726160736256";https://twitter.com/SantriPop/status/1086447726160736256
SantriPop;2019-01-16 14:59;0;0;"Terimakasih, yai....";;;;"1085446473272020993";https://twitter.com/SantriPop/status/1085446473272020993
SantriPop;2019-01-16 06:57;0;0;"Itu di kitab apa, yai?";;;;"1085325012716777472";https://twitter.com/SantriPop/status/1085325012716777472
SantriPop;2019-01-16 00:17;1;0;"Akan datang suatu saat Kau akan dipertemukan dengan sosok yang tepat Yang hadirnya untuk menetap Bukan hanya ingin lewat sesaat #FatwaRindu #PuisiMalam #SantriBerpuisi #SelamatMenunaikanIbadahPuisi";;;#FatwaRindu #PuisiMalam #SantriBerpuisi #SelamatMenunaikanIbadahPuisi;"1085224394757070848";https://twitter.com/SantriPop/status/1085224394757070848
SantriPop;2019-01-15 14:26;0;0;"Pada suatu hari, Yahya bin Muadz melihat seseorang sedang mencium anaknya yang masih kecil. Ditanya oleh beliau, "Apakah kamu menyayanginya?" Jwbnya, "Ya" "Kalo kamu sangat menyayanginya pdhl kamu skdr melahirkannya, maka bgmn dgn sayangnya Allah yg menciptakannya" jelas beliau.";;;;"1085075647926398976";https://twitter.com/SantriPop/status/1085075647926398976
SantriPop;2019-01-15 09:36;0;0;"Karena tidur adalah Ibadah...";;;;"1085002777674244096";https://twitter.com/SantriPop/status/1085002777674244096
SantriPop;2019-01-14 13:26;0;0;"Wa laqad karramna bani Adam (Dan sungguh telah Kami muliakan keturunan Adam) - QS 17:70. Dalam al-Qur’an, semua manusia (bani Adam) telah dimuliakan —apapun agama, status sosial, etnik dan bangsanya. Kalau ini saja belum paham, gak usah bicara RUU Pemuliaan Alim Ulama deh";;;;"1084698191218364416";https://twitter.com/SantriPop/status/1084698191218364416
SantriPop;2019-01-14 13:24;0;0;"Selamat mas @erickthohir";;@erickthohir;;"1084697777794240514";https://twitter.com/SantriPop/status/1084697777794240514
SantriPop;2019-01-13 19:21;1;0;"Meski Cinta telah selesai, Benci janganlah dimulai. Biarkan Rindu berdamai dengan masa lalu. #FatwaRindu #PuisiMalam #SantriBerpuisi #SelamatMenunaikanIbadahPuisi";;;#FatwaRindu #PuisiMalam #SantriBerpuisi #SelamatMenunaikanIbadahPuisi;"1084425143848382464";https://twitter.com/SantriPop/status/1084425143848382464
SantriPop;2019-01-13 05:30;0;0;"https:// islami.co/kenapa-sih-mem akai-celana-di-bawah-mata-kaki-isbal-dilarang-pada-masa-rasulullah-saw/ …";;;;"1084216134168006656";https://twitter.com/SantriPop/status/1084216134168006656
SantriPop;2019-01-12 21:33;0;1;"Kalau kau tak mampu bersyukur atas cobaan, plg tdk bersabarlah, jgn mengeluh! Kalau mau mengeluh juga, ketuklah "pintu"Nya, sampaikan "keluhanmu" lwt doa kpdNya. Dia yg menimpakan, Dia jg yg kuasa mengangkatnya. Jgn hinakan dirimu dgn mengeluh kpd org yg juga makhluk sepertimu.";;;;"1084096008303214592";https://twitter.com/SantriPop/status/1084096008303214592
SantriPop;2019-01-12 10:26;0;0;"Yuhuuuu.....";;;;"1083928282691596288";https://twitter.com/SantriPop/status/1083928282691596288
SantriPop;2019-01-11 21:08;1;0;"Tapi apabila ia berkata (dg penuh penyesalan), "Ya Robbi, aku telah menzalimi diriku sendiri dg kebodohanku." Tuhan menghadap kepadanya dan berfirman, "Hai hmbaKu, aku yg menentukan & menaqdirkan itu kepadaMu, (hapuslah airmatamu), sungguh dosamu kututupi, kumaafkan & kuampuni."";;;;"1083727282152206336";https://twitter.com/SantriPop/status/1083727282152206336
SantriPop;2019-01-11 21:06;0;0;"Apabila seseorang yg melakukan maksiat berkata, "Ya Robbi, ini ketentuanMu, kehendakMu dan keputusanMu." Tuhan marah dan berfirman, "Hai hambaKu, tapi kamu kan yg memilih melakukan itu? kamu kan yg jahil itu? kamu kan yg durhaka itu?"";;;;"1083726793603932161";https://twitter.com/SantriPop/status/1083726793603932161
