username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
TMCPoldaMetro;2019-01-24 06:16;2;4;"06:12 Lalulintas #Tol_Janger arah tomang terpantau masih ramai lancar lancar.Harap hati2 banyak lubang pada lajur lambat mulai Km 18 sd Meruya @warjono5 pic.twitter.com/BYZgPuwz0t";;@warjono5;#Tol_Janger;"1088213808630292480";https://twitter.com/TMCPoldaMetro/status/1088213808630292480
TMCPoldaMetro;2019-01-24 06:12;10;14;"LOKASI PELAYANAN #SIMKELILING Kamis, 24 Januari 2019 Jakpus : Kantor Pos & Giro Lap. Banteng Jakut : depan Pospol Teluk Intan Penjaringan Jakbar : Mall Ciputra Grogol Jaksel : Kampus Trilogi Kalibata Jaktim : Dealer Honda Jl Dewi Sartika pic.twitter.com/4VoamuFmpi";;;#SIMKELILING;"1088212966112079872";https://twitter.com/TMCPoldaMetro/status/1088212966112079872
TMCPoldaMetro;2019-01-24 05:45;3;3;"05:45 LOKASI PELAYANAN #SIMKELILING Kamis, 24 Januari 2019 Jakpus : Kantor Pos & Giro Lap. Banteng Jakut : depan Pospol Teluk Intan Penjaringan Jakbar : Mall Ciputra Grogol Jaksel : Kampus Trilogi Kalibata Jaktim : Dealer Honda Jl Dewi Sartika";;;#SIMKELILING;"1088206121276301313";https://twitter.com/TMCPoldaMetro/status/1088206121276301313
TMCPoldaMetro;2019-01-24 05:37;11;11;"05:34 Telah hilang Toyota Avanza B 1085 TRF warna Silver di wilayah Duren sawit Jakarta Timur,apabila melihat /menemukan bisamenghubungi Polsek terdekat. @odyseventh";;@odyseventh;;"1088204000384540673";https://twitter.com/TMCPoldaMetro/status/1088204000384540673
TMCPoldaMetro;2019-01-24 04:39;5;4;"04:28 Kecelakaan Truk B 9724 NCA menabrak pembatas di dpn RS. Dharmais Jl. S. Parman Jakbar & msh penanganan Polri. pic.twitter.com/Fh1tq9iHdD – bei Direktorat Sabhara Polda Metro Jaya";;;;"1088189386422857728";https://twitter.com/TMCPoldaMetro/status/1088189386422857728
TMCPoldaMetro;2019-01-24 04:10;2;3;"01:26 Kecelakaan Truk B 9040 CEN dan Pemotor Suzuki AE 5766 QL di dpn Satelindo Jl. Daan Mogot Jakbar, korban tutup usia 1 orang & sdh dlm penanganan Polri. pic.twitter.com/6YLdqzMBme – bei TMC Polda Metro Jaya";;;;"1088182123951927297";https://twitter.com/TMCPoldaMetro/status/1088182123951927297
TMCPoldaMetro;2019-01-24 04:04;0;5;"01:24 Kecelakaan Truk B 9556 BYW dan Toyota Yaris B 1608 BIU di KM 29 Tol Cengkareng (arah ke Bandara Soekarno-Hatta), korban tutup usia 1 orang & msh penanganan Polri. pic.twitter.com/9BjhMaTd4Y – bei TMC Regu B Ditlantas PMJ";;;;"1088180599573995520";https://twitter.com/TMCPoldaMetro/status/1088180599573995520
TMCPoldaMetro;2019-01-24 01:52;18;22;"Menemukan kebakaran, tawuran, kecelakaan, bencana alam, pohon tumbang, ormas anarkis, ODMK (Orang Dengan Masalah Kejiwaan), KDRT, balap liar, begal, jambret, todong dan rampas di wilayah DKI Jakarta hub telp: 112. #JakartaSiaga pic.twitter.com/ZSRjfBibm0";;;#JakartaSiaga;"1088147544109010944";https://twitter.com/TMCPoldaMetro/status/1088147544109010944
TMCPoldaMetro;2019-01-24 01:51;6;6;"Touring Road Safety Millenial Festival pic.twitter.com/HEHv5xiOQ2";;;;"1088147230014398464";https://twitter.com/TMCPoldaMetro/status/1088147230014398464
TMCPoldaMetro;2019-01-24 01:22;0;6;"01.22 Apel Cipta kondusif polres Jakut dilanjutkan patroli kewilayahan guna mencegah gangguan kamtibmas. pic.twitter.com/pG2NaNjWUd";;;;"1088139895267184640";https://twitter.com/TMCPoldaMetro/status/1088139895267184640
TMCPoldaMetro;2019-01-23 18:12;1;4;"18.12 Situasi lalin di pertigaan Cilincing Jakut terpantau ramai lancar pic.twitter.com/vGqLBWWMlX";;;;"1088031783445098497";https://twitter.com/TMCPoldaMetro/status/1088031783445098497
TMCPoldaMetro;2019-01-23 18:10;2;3;"18.10 Situasi lalin Tl. Karet Bivak Jakpus terpantau ramai cenderung padat pic.twitter.com/a3eLpiPqlL";;;;"1088031221517434880";https://twitter.com/TMCPoldaMetro/status/1088031221517434880
TMCPoldaMetro;2019-01-23 18:09;3;4;"18.09 Situasi lalin didpn Kampus UKI Cawang arah Ps Rebo terpantau ramai lancar pic.twitter.com/XHX1JSp1wv";;;;"1088030858194214913";https://twitter.com/TMCPoldaMetro/status/1088030858194214913
TMCPoldaMetro;2019-01-23 17:54;2;3;"17.54 Situasi lalin di Tl. Halim arah Kalimalang Duren Sawit terpantau ramai lancar pic.twitter.com/vVCLCkT6bd";;;;"1088027117688741888";https://twitter.com/TMCPoldaMetro/status/1088027117688741888
TMCPoldaMetro;2019-01-23 17:53;34;132;"17.52 Polri pengaturan & penindakan dgn tilang kpd pengendara sepeda motor yg tidak mematuhi aturan lalu lintas di Bundaran Lapiaza Kelapa Gading Jakut, mari kita sama-sama tertib berlalu lintas dijalan pic.twitter.com/5zF0RIEVYp";;;;"1088026876331749376";https://twitter.com/TMCPoldaMetro/status/1088026876331749376
