username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
irfanmahendra_;2019-01-06 03:37;0;0;"pertama kali pas kesana musim ujan alhamdulillah nya nanjak kuat hahaha";;;;"1081650994738413568";https://twitter.com/irfanmahendra_/status/1081650994738413568
irfanmahendra_;2019-01-02 21:17;0;0;"Udah gamuat itu";;;;"1080468038971883521";https://twitter.com/irfanmahendra_/status/1080468038971883521
irfanmahendra_;2019-01-02 20:01;0;0;"Ada aja hiburan ndan";;;;"1080449064913666048";https://twitter.com/irfanmahendra_/status/1080449064913666048
irfanmahendra_;2019-01-02 19:08;0;0;"Parah hahaha";;;;"1080435587985813504";https://twitter.com/irfanmahendra_/status/1080435587985813504
irfanmahendra_;2019-01-02 02:54;0;0;"Kayanya beda";;;;"1080190539956244481";https://twitter.com/irfanmahendra_/status/1080190539956244481
irfanmahendra_;2018-12-31 14:46;0;0;"@JNECare 140170029692818 om tolong cekin status resinya ya";;@JNECare;;"1079644992740634624";https://twitter.com/irfanmahendra_/status/1079644992740634624
irfanmahendra_;2018-12-31 13:26;0;0;"@JNECare 140170029692818 om tolong cekin resi ini yah";;@JNECare;;"1079624744947929089";https://twitter.com/irfanmahendra_/status/1079624744947929089
irfanmahendra_;2018-12-30 16:16;0;0;"Kumahasia garpu siomay";;;;"1079305160378048512";https://twitter.com/irfanmahendra_/status/1079305160378048512
irfanmahendra_;2018-12-30 01:10;0;0;"Iya benar, bgtu kan?";;;;"1079077114341519360";https://twitter.com/irfanmahendra_/status/1079077114341519360
irfanmahendra_;2018-12-29 18:58;0;0;"Katanya tidak dikenakan biaya?";;;;"1078983478580895744";https://twitter.com/irfanmahendra_/status/1078983478580895744
irfanmahendra_;2018-12-29 14:19;0;0;"Kalo bukunya sudah ilang gimana? Tapi masih ada fotonya";;;;"1078913327760195586";https://twitter.com/irfanmahendra_/status/1078913327760195586
irfanmahendra_;2018-12-29 14:02;0;0;"Bisa bantu blokir dari sini ka? Atau via DM, tadi udh tlp pulsanya abis nah ga ada uang cash uangnya di atm semua";;;;"1078909172354232321";https://twitter.com/irfanmahendra_/status/1078909172354232321
irfanmahendra_;2018-12-29 13:31;0;0;"Ka saya barusan transaksi transfer terus udah selesai ko Atm saya malah ke telen ya di mesinnya? Bisa dibantu?";;;;"1078901343664758784";https://twitter.com/irfanmahendra_/status/1078901343664758784
irfanmahendra_;2018-12-29 13:29;0;0;"Min saya barusan transaksi transfer terus udah selesai ko Atm saya malah ke telen ya di mesinnya? Bisa dibantu?";;;;"1078900910468689920";https://twitter.com/irfanmahendra_/status/1078900910468689920
irfanmahendra_;2018-12-29 13:29;1;0;"Min saya barusan transaksi transfer terus udah selesai ko Atm saya malah ke telen ya di mesinnya? Bisa dibantu?";;;;"1078900727974481922";https://twitter.com/irfanmahendra_/status/1078900727974481922
irfanmahendra_;2018-12-28 18:43;0;0;"Antara sotau dan bloon";;;;"1078617490731585537";https://twitter.com/irfanmahendra_/status/1078617490731585537
irfanmahendra_;2018-12-28 11:12;0;0;"-_-";;;;"1078503939941625856";https://twitter.com/irfanmahendra_/status/1078503939941625856
irfanmahendra_;2018-12-28 10:04;0;0;"Cenggoh";;;;"1078486715629588480";https://twitter.com/irfanmahendra_/status/1078486715629588480
irfanmahendra_;2018-12-27 21:38;0;0;"Orang sekarang gitu ya, ga nolong tapi malah dijadikan bahan sosmednya wkwk";;;;"1078299047432089600";https://twitter.com/irfanmahendra_/status/1078299047432089600
irfanmahendra_;2018-12-27 21:36;0;0;"Ada aja hiburan malem malem";;;;"1078298655319150593";https://twitter.com/irfanmahendra_/status/1078298655319150593
irfanmahendra_;2018-12-27 21:10;0;7;"ADMINNYA DEJEK -Dadang asli cicaheum 37th-";;;;"1078292160653320192";https://twitter.com/irfanmahendra_/status/1078292160653320192
irfanmahendra_;2018-12-27 13:02;0;0;"Mending amat pake krim, pake terigu karambol";;;;"1078169194988941313";https://twitter.com/irfanmahendra_/status/1078169194988941313
irfanmahendra_;2018-12-26 20:17;0;0;"Ratu moal ini?";;;;"1077916379393679360";https://twitter.com/irfanmahendra_/status/1077916379393679360
irfanmahendra_;2018-12-22 21:53;0;0;"Fix gobloknya udah bawaan";;;;"1076490794419216389";https://twitter.com/irfanmahendra_/status/1076490794419216389
irfanmahendra_;2018-12-20 01:30;1;0;"BUAYA GORENGAN";;;;"1075458288647430144";https://twitter.com/irfanmahendra_/status/1075458288647430144
irfanmahendra_;2018-12-20 00:08;1;0;"Terlalu mojokin klub lain, lah klub lau aje tinggal TRING hahahahaha";;;;"1075437696036696064";https://twitter.com/irfanmahendra_/status/1075437696036696064
irfanmahendra_;2018-12-19 23:09;0;0;"STOP LAU TERIAK MAFIA, TERIAK GORENGAN AJA BUAYA";;;;"1075422788201017345";https://twitter.com/irfanmahendra_/status/1075422788201017345
irfanmahendra_;2018-12-19 22:40;0;0;"Tawain bang, dari kemaren pasukan gorengan teriak teriak mafia aja hahahaha";;;;"1075415703866421248";https://twitter.com/irfanmahendra_/status/1075415703866421248
irfanmahendra_;2018-12-19 21:27;0;0;"Masih gw teropong ndan";;;;"1075397141852348416";https://twitter.com/irfanmahendra_/status/1075397141852348416
irfanmahendra_;2018-12-16 19:37;0;0;"Real champions? YG SOPAN WOI";;;;"1074282346554114048";https://twitter.com/irfanmahendra_/status/1074282346554114048
irfanmahendra_;2018-12-16 13:06;0;0;"Yg begini jadi admin, bikin malu aja lu. Hobby si ngumbar ke goblokan";;;;"1074183899217940480";https://twitter.com/irfanmahendra_/status/1074183899217940480
irfanmahendra_;2018-12-16 12:35;0;0;"Yg bgtu jadi admin ndan";;;;"1074176216851050496";https://twitter.com/irfanmahendra_/status/1074176216851050496
irfanmahendra_;2018-12-16 09:03;0;0;"Karma is real mbah, yg sopan ya";;;;"1074122698467373056";https://twitter.com/irfanmahendra_/status/1074122698467373056
irfanmahendra_;2018-12-16 06:20;0;0;"YANG SOPAN YA";;;;"1074081779655438336";https://twitter.com/irfanmahendra_/status/1074081779655438336
irfanmahendra_;2018-12-15 22:59;0;0;"Brangkat";;;;"1073970762074091520";https://twitter.com/irfanmahendra_/status/1073970762074091520
irfanmahendra_;2018-12-15 22:49;0;0;"Beli SABAR di shopee lagi diskon";;;;"1073968355025903617";https://twitter.com/irfanmahendra_/status/1073968355025903617
irfanmahendra_;2018-12-15 22:49;0;0;"Iyeee kalo ada ga mungkin ngungkapin di twitter kn? Eh";;;;"1073968201636016128";https://twitter.com/irfanmahendra_/status/1073968201636016128
irfanmahendra_;2018-12-15 22:46;0;0;"Tag nih orangnya tag";;;;"1073967606913060867";https://twitter.com/irfanmahendra_/status/1073967606913060867
irfanmahendra_;2018-12-15 22:31;0;0;"Nyari SABAR di shopee";;;;"1073963726707949568";https://twitter.com/irfanmahendra_/status/1073963726707949568
irfanmahendra_;2018-12-15 22:26;0;1;"Gw ulang terus nih video biar pegel yg ngejengkang";;;;"1073962517095804928";https://twitter.com/irfanmahendra_/status/1073962517095804928
irfanmahendra_;2018-12-15 22:23;0;0;"START "0"";;;;"1073961818693890048";https://twitter.com/irfanmahendra_/status/1073961818693890048
irfanmahendra_;2018-12-15 22:21;0;0;"Gasss ah";;;;"1073961360638111745";https://twitter.com/irfanmahendra_/status/1073961360638111745
irfanmahendra_;2018-12-15 21:09;0;0;"Prit! Gaboleh mendahului bro";;;;"1073943215013654528";https://twitter.com/irfanmahendra_/status/1073943215013654528
irfanmahendra_;2018-12-15 21:02;0;0;"Legend, si kekar";;;;"1073941249759952897";https://twitter.com/irfanmahendra_/status/1073941249759952897
irfanmahendra_;2018-12-15 21:01;0;0;"Gajadi berarti gocengnya";;;;"1073941030418866176";https://twitter.com/irfanmahendra_/status/1073941030418866176
irfanmahendra_;2018-12-15 20:57;0;0;"Jadi apa terusnya?";;;;"1073940059760410624";https://twitter.com/irfanmahendra_/status/1073940059760410624
irfanmahendra_;2018-12-15 20:53;0;0;"Ga itungan, cuman ngitungin";;;;"1073939164188442624";https://twitter.com/irfanmahendra_/status/1073939164188442624
irfanmahendra_;2018-12-15 20:50;0;0;"Buat beli tolak angin lumayan";;;;"1073938396593119232";https://twitter.com/irfanmahendra_/status/1073938396593119232
irfanmahendra_;2018-12-15 20:30;0;0;"Tambahin goceng, deal";;;;"1073933277675675648";https://twitter.com/irfanmahendra_/status/1073933277675675648
irfanmahendra_;2018-12-15 20:15;0;0;"Iya hasilnya bagi 2 ya";;;;"1073929575657164801";https://twitter.com/irfanmahendra_/status/1073929575657164801
irfanmahendra_;2018-12-15 19:53;0;0;"Yah ini dah pemenangnya";;;;"1073923883697201152";https://twitter.com/irfanmahendra_/status/1073923883697201152
irfanmahendra_;2018-12-14 11:14;0;0;"Apalagi isunya yg berperan penting di permainan persija -__-";;;;"1073430932403585024";https://twitter.com/irfanmahendra_/status/1073430932403585024
irfanmahendra_;2018-12-13 11:16;0;0;"Way ngapa orangnya yang itu si";;;;"1073069076174450688";https://twitter.com/irfanmahendra_/status/1073069076174450688
irfanmahendra_;2018-12-13 05:18;0;0;"Langsung ngomong ke orangnya mbak, masa ke sosmed";;;;"1072978930947117058";https://twitter.com/irfanmahendra_/status/1072978930947117058
irfanmahendra_;2018-12-10 23:46;0;0;"Banyak omong, sok paham lo";;;;"1072170603413532672";https://twitter.com/irfanmahendra_/status/1072170603413532672
irfanmahendra_;2018-12-08 21:51;0;0;"Biar keliatan dramatis ndan";;;;"1071416911743791110";https://twitter.com/irfanmahendra_/status/1071416911743791110
irfanmahendra_;2018-12-08 17:22;1;1;"Gila, mau naek hj";;;;"1071349256882012160";https://twitter.com/irfanmahendra_/status/1071349256882012160
irfanmahendra_;2018-12-08 16:50;0;0;"Suakit";;;;"1071341309250625536";https://twitter.com/irfanmahendra_/status/1071341309250625536
irfanmahendra_;2018-12-08 09:23;0;0;"udeh kaya panci, besok harga naek";;;;"1071228703898660864";https://twitter.com/irfanmahendra_/status/1071228703898660864
irfanmahendra_;2018-12-08 00:14;0;0;"Ga ada abisnya ndan, ngga media nya engga orangnya engga suporternya sibuk banget ngurusin dapur orang Haha";;;;"1071090581856694272";https://twitter.com/irfanmahendra_/status/1071090581856694272
irfanmahendra_;2018-12-07 20:03;0;0;"Hahahaha";;;;"1071027493375602688";https://twitter.com/irfanmahendra_/status/1071027493375602688
irfanmahendra_;2018-12-07 20:03;1;0;"Cukup kecewa si sama yg makan sodara sendiri llie, entahlah.";;;;"1071027302513860608";https://twitter.com/irfanmahendra_/status/1071027302513860608
irfanmahendra_;2018-12-07 19:22;0;0;"Udeh pergi jauh sampe tempat tujuan ternyata ga bawa dompet";;;;"1071017002947375105";https://twitter.com/irfanmahendra_/status/1071017002947375105
irfanmahendra_;2018-12-07 19:21;0;0;"Ketutupan kali";;;;"1071016789952258048";https://twitter.com/irfanmahendra_/status/1071016789952258048
irfanmahendra_;2018-12-07 17:56;0;0;"Wah buruan om haha";;;;"1070995556397285376";https://twitter.com/irfanmahendra_/status/1070995556397285376
irfanmahendra_;2018-12-07 08:34;0;0;"Aneeeeeeeeeee legend";;;;"1070853907918684160";https://twitter.com/irfanmahendra_/status/1070853907918684160
irfanmahendra_;2018-12-07 07:09;0;0;"DAPET TIKET BUAT NONTON, BUKAN BUAT DI MANFAATIN.";;;;"1070832649604816896";https://twitter.com/irfanmahendra_/status/1070832649604816896
irfanmahendra_;2018-12-06 16:04;0;0;"Dm harga";;;;"1070604976437653506";https://twitter.com/irfanmahendra_/status/1070604976437653506
irfanmahendra_;2018-12-06 15:33;0;0;"Bisa aja celengan kelomang";;;;"1070597197865963520";https://twitter.com/irfanmahendra_/status/1070597197865963520
irfanmahendra_;2018-12-06 15:12;0;0;"Mencari kesempatan";;;;"1070591869246009344";https://twitter.com/irfanmahendra_/status/1070591869246009344
irfanmahendra_;2018-12-05 21:42;0;3;"Piala presiden 2018 juara, piala Malaysia juara, AFC 2018 bisa melesat jauh. Udah liat gimana persija? Ada bantuan wasit disana? Udah liat pertandingan terakhir psm? Hhahaha";;;;"1070327681495982080";https://twitter.com/irfanmahendra_/status/1070327681495982080
irfanmahendra_;2018-12-05 19:18;3;0;"Yang teriak mafia yang timnya lagi terpuruk doang, kalo menang? Ilang itu katakata.";;;;"1070291361721606145";https://twitter.com/irfanmahendra_/status/1070291361721606145
irfanmahendra_;2018-12-05 19:17;0;0;"NGACA LU BUNGKUS SEBLAK, Akhlak tah bersihan biar ga ngumbar Fitnah sana sini buat benci Jakarta. Mojokin si ngajak ngajak yg laen LOL";;;;"1070290975426146304";https://twitter.com/irfanmahendra_/status/1070290975426146304
