username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
indartopratama1;2019-01-16 16:26;0;0;"omdo....";;;;"1085468337675497473";https://twitter.com/indartopratama1/status/1085468337675497473
indartopratama1;2019-01-16 11:48;0;0;"saya di sektaran itu";;;;"1085398381739065344";https://twitter.com/indartopratama1/status/1085398381739065344
indartopratama1;2019-01-15 18:30;0;0;"kurang tebal";;;;"1085137179150409729";https://twitter.com/indartopratama1/status/1085137179150409729
indartopratama1;2019-01-15 18:29;0;0;"ini baru tebal...pass";;;;"1085136959847059456";https://twitter.com/indartopratama1/status/1085136959847059456
indartopratama1;2019-01-11 12:04;0;0;"coba sedikit lbh tebal....kurangbtebal dikit mas";;;;"1083590568272261120";https://twitter.com/indartopratama1/status/1083590568272261120
indartopratama1;2019-01-10 09:12;0;0;"ayuk mas mau......wa ya.....085713939565";;;;"1083184780508708864";https://twitter.com/indartopratama1/status/1083184780508708864
indartopratama1;2019-01-08 22:44;0;1;"085713939565";;;;"1082664327004545024";https://twitter.com/indartopratama1/status/1082664327004545024
indartopratama1;2018-12-31 23:52;0;0;"sagan";;;;"1079782381454675972";https://twitter.com/indartopratama1/status/1079782381454675972
indartopratama1;2018-12-31 23:52;0;0;"mas dmn?";;;;"1079782359912787968";https://twitter.com/indartopratama1/status/1079782359912787968
indartopratama1;2018-12-31 20:09;0;0;"mau";;;;"1079726163704999936";https://twitter.com/indartopratama1/status/1079726163704999936
indartopratama1;2018-12-24 12:10;0;0;"wa 085713939565 saya di jogja pure bottom";;;;"1077068856588304384";https://twitter.com/indartopratama1/status/1077068856588304384
indartopratama1;2018-12-12 07:12;0;1;"aku gak bisa dm mas....boleh minta wa nya? pic.twitter.com/CWlHqinPvg";;;;"1072645216664997888";https://twitter.com/indartopratama1/status/1072645216664997888
indartopratama1;2018-12-12 07:11;0;0;"mas boleh minta wa nya?";;;;"1072644984300556290";https://twitter.com/indartopratama1/status/1072644984300556290
indartopratama1;2018-12-04 21:14;0;0;"aku bot";;;;"1069958074830532608";https://twitter.com/indartopratama1/status/1069958074830532608
