username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
imajineshon;2018-12-29 10:23;3;4;"HBD @N_LalaJKT48 wish you all the best. Semoga sukses di karir maupun pendidikan-nya pic.twitter.com/v55Fjyd9ff";;@N_LalaJKT48;;"1078854044234350592";https://twitter.com/imajineshon/status/1078854044234350592
imajineshon;2018-12-25 23:48;13;24;"Met ultah @M_DesyJKT48 Semoga saya jd org terakhir yg ngucapin pic.twitter.com/EPcup8ZmmV";;@M_DesyJKT48;;"1077607049859522561";https://twitter.com/imajineshon/status/1077607049859522561
imajineshon;2018-12-25 14:55;1;0;"Pada liburan kemana nih kalo boleh tau?";;;;"1077472841920987136";https://twitter.com/imajineshon/status/1077472841920987136
imajineshon;2018-12-25 14:54;1;0;"2018 udah mau abis, baru upload 5 video :)) https:// twitter.com/imajineshon/st atus/951800647489224707 …";;;;"1077472712690298883";https://twitter.com/imajineshon/status/1077472712690298883
imajineshon;2018-12-25 11:33;16;34;"Berdiri-nya tegap amat neng @A_ZeeJKT48 , dah kek ABRI #imjn #JKT48SakaAgariHSF pic.twitter.com/KPjOXmvEQK";;@A_ZeeJKT48;#imjn #JKT48SakaAgariHSF;"1077421981580947456";https://twitter.com/imajineshon/status/1077421981580947456
imajineshon;2018-12-25 11:28;18;43;""Khukhukhukhu....tidak semudah itu Ferguso" - @A_ZeeJKT48 - #imjn #JKT48SakaAgariHSF pic.twitter.com/DQvKCkHjWD";;@A_ZeeJKT48;#imjn #JKT48SakaAgariHSF;"1077420908128550912";https://twitter.com/imajineshon/status/1077420908128550912
imajineshon;2018-12-25 11:11;24;39;"Senyuman kamu kyk baking soda deh @N_LalaJKT48 Bikin senyumku ikutan mengembang :3 #imjn #JKT48SakaAgariHSF pic.twitter.com/3lNjq2nUdU";;@N_LalaJKT48;#imjn #JKT48SakaAgariHSF;"1077416484303921152";https://twitter.com/imajineshon/status/1077416484303921152
imajineshon;2018-12-25 11:03;43;66;"Jalan2 ke Siberia Tidak lupa membawa Bakpia Oh ini yg nama-nya neng @N_LalaJKT48 Melihatnya saja membuat hati bahagia ^^ #imjn #JKT48SakaAgariHSF pic.twitter.com/8Dj5wuElIK";;@N_LalaJKT48;#imjn #JKT48SakaAgariHSF;"1077414630434136064";https://twitter.com/imajineshon/status/1077414630434136064
imajineshon;2018-12-24 09:53;15;12;"Ini @A_MutheJKT48 katanya mirip Momo? Gak mirip ah menurut mimin mah #imjn #JKT48SakaAgariHSF pic.twitter.com/NCgOjdaTWI";;@A_MutheJKT48;#imjn #JKT48SakaAgariHSF;"1077034581461590016";https://twitter.com/imajineshon/status/1077034581461590016
imajineshon;2018-12-24 09:43;14;14;"Gemash banget yaaaa pic.twitter.com/6RszKZkhQs";;;;"1077031864647315456";https://twitter.com/imajineshon/status/1077031864647315456
imajineshon;2018-12-24 09:34;23;41;"Umur brp kah kalian sewaktu dek @A_YoriJKT48 lahir? #imjn #JKT48SakaAgariHSF pic.twitter.com/FEszrrDhJa";;@A_YoriJKT48;#imjn #JKT48SakaAgariHSF;"1077029683600842756";https://twitter.com/imajineshon/status/1077029683600842756
