username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
addiems;2019-01-24 00:48;224;753;"Tercengang baca kesaksian reporter ini soal Pak Jokowi. https://www. facebook.com/55206052856020 0/posts/552111188555134/ …";;;;"1088131458269556736";https://twitter.com/addiems/status/1088131458269556736
addiems;2019-01-23 22:39;8;63;"Terima kasih, @vinasiahaya . Majulah, @ojkindonesia ! https:// twitter.com/vinasiahaya/st atus/1088095891280424961 …";;@vinasiahaya @ojkindonesia;;"1088098831739236352";https://twitter.com/addiems/status/1088098831739236352
addiems;2019-01-23 21:03;1140;3692;"Welcome home, BTP...! @basuki_btp pic.twitter.com/ePz6lcJ3Zi";;@basuki_btp;;"1088074842899853314";https://twitter.com/addiems/status/1088074842899853314
addiems;2019-01-23 20:51;582;1668;"Sering menyalahkan orang lain tidak membuat kita lebih benar. Malah makin menampakkan kesalahan kita sendiri.";;;;"1088071704679612416";https://twitter.com/addiems/status/1088071704679612416
addiems;2019-01-23 14:40;199;844;"Turut prihatin dan berduka cita atas musibah banjir yang melanda Sulawesi Selatan. Semoga para warga diberikan kesabaran dan kekuatan. #PrayForSulsel";;;#PrayForSulsel;"1087978305138114561";https://twitter.com/addiems/status/1087978305138114561
addiems;2019-01-23 07:56;74;507;"Terima kasih, @_TNIAU . Salut dgn upaya sosialisasi Mars TNI AU melalui lomba cover ini. Aku akan upload video konser TNI kemarin. https:// twitter.com/_TNIAU/status/ 1087847602660360192 …";;@_TNIAU;;"1087876639390760960";https://twitter.com/addiems/status/1087876639390760960
addiems;2019-01-23 06:01;5;57;"https:// m.jawapos.com/entertainment/ 19/01/2019/addie-ms-berisi-kisah-perjuangan-sang-musisi-bermusik/ …";;;;"1087847806771949569";https://twitter.com/addiems/status/1087847806771949569
addiems;2019-01-23 05:50;37;280;"https:// m.detik.com/hot/book/43928 57/ada-testimoni-david-foster-dalam-buku-biografi-addie-ms …";;;;"1087844928837713920";https://twitter.com/addiems/status/1087844928837713920
addiems;2019-01-23 03:15;534;1782;"#01jokowilagi #2019TetapJokowi #JokowiPresidenku #JokowiMantapBetul pic.twitter.com/VYHIklvR9l";;;#01jokowilagi #2019TetapJokowi #JokowiPresidenku #JokowiMantapBetul;"1087806094724853765";https://twitter.com/addiems/status/1087806094724853765
addiems;2019-01-22 22:43;383;881;"Alhamdulillah. pic.twitter.com/Kx43WYtYjF";;;;"1087737477664665600";https://twitter.com/addiems/status/1087737477664665600
addiems;2019-01-22 15:30;23;179;"Marsekal (Purn.) Chappy Hakim di peluncuran bio-ku. @chappyhakim https:// idstory.ucnews.ucweb.com/story/20031794 16213699 …";;@chappyhakim;;"1087628574671040512";https://twitter.com/addiems/status/1087628574671040512
addiems;2019-01-22 12:51;25;169;"http:// m.tribunnews.com/seleb/2019/01/ 19/40-tahun-berkarya-addie-ms-luncurkan-buku-biografi …";;;;"1087588601108426752";https://twitter.com/addiems/status/1087588601108426752
addiems;2019-01-22 12:03;23;512;"Ngadem bentar. pic.twitter.com/8ntYoRhaKb";;;;"1087576469058908161";https://twitter.com/addiems/status/1087576469058908161
addiems;2019-01-22 09:02;34;202;"https://www. viva.co.id/showbiz/gosip/ 1113305-luncurkan-buku-biografi-addie-ms-dapat-testimoni-dari-david-foster …";;;;"1087530804698243072";https://twitter.com/addiems/status/1087530804698243072
addiems;2019-01-22 08:47;1433;3088;"https:// m.liputan6.com/bisnis/read/38 75831/rupiah-jadi-mata-uang-terbaik-nomor-2-di-dunia …";;;;"1087527037605040128";https://twitter.com/addiems/status/1087527037605040128
addiems;2019-01-22 00:18;1;7;"Hatiku belum seburuk itu, nak. Aku tak merasa tertipu, justru bersyukur. Alhamdulillah.";;;;"1087399032194924549";https://twitter.com/addiems/status/1087399032194924549
addiems;2019-01-21 22:47;882;3289;"Pemimpin yang memimpin dengan cinta dan kesabaran. #01JokowiLagi #2019TetapJokowi @jokowi pic.twitter.com/d4r5RUO0T3";;@jokowi;#01JokowiLagi #2019TetapJokowi;"1087376243824111616";https://twitter.com/addiems/status/1087376243824111616
addiems;2019-01-21 15:04;78;578;"https:// m.kumparan.com/achmad-rafiq/a ddie-ms-bangga-buku-biografinya-dapat-testimoni-dari-david-foster-1547881045924930006 …";;;;"1087259652134322176";https://twitter.com/addiems/status/1087259652134322176
addiems;2019-01-20 20:44;265;1831;"Tgl 19-1-19 kemarin, buku biografiku diluncurkan. Buku yg ditulis Evariny Andriana dan diterbitkan oleh BIP Gramedia ini dibuat dalam rangka 40 tahun aku berkarya di musik Indonesia. Akan tersedia di Gramedia mulai tgl 28 Januari nanti. pic.twitter.com/13aNj0ckpM";;;;"1086982821934026753";https://twitter.com/addiems/status/1086982821934026753
addiems;2019-01-19 09:33;8;99;"LAKON https:// youtu.be/yWpovaND-v8";;;;"1086451652448550913";https://twitter.com/addiems/status/1086451652448550913
addiems;2019-01-19 01:00;101;292;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/w5uoC8Kfxu";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086322511489331200";https://twitter.com/addiems/status/1086322511489331200
addiems;2019-01-19 01:00;77;266;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/OWJvcTggBg";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086322369067606016";https://twitter.com/addiems/status/1086322369067606016
addiems;2019-01-19 00:59;73;262;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/39VudxtqFh";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086322297231704064";https://twitter.com/addiems/status/1086322297231704064
addiems;2019-01-19 00:59;62;186;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/lJ9mez5AM2";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086322179023691777";https://twitter.com/addiems/status/1086322179023691777
addiems;2019-01-19 00:58;45;135;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/NvtY2RbEsW";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086322024576823296";https://twitter.com/addiems/status/1086322024576823296
addiems;2019-01-19 00:58;54;168;"#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI pic.twitter.com/is18plIPty";;;#10YearsChallenge #01JokowiLagi #2019JokowiPresidenRI;"1086321883979558912";https://twitter.com/addiems/status/1086321883979558912
addiems;2019-01-18 23:02;215;682;"Aku dimention utk foto ini. Sebenarnya yg dilingkari itu maksudnya apa ya? https:// twitter.com/abdi0510/statu s/1086279359013412865 …";;;;"1086292836356521984";https://twitter.com/addiems/status/1086292836356521984
addiems;2019-01-18 17:44;902;5391;"Cerah bersama TGB yang mencerahkan pic.twitter.com/jBLG8kPKv0";;;;"1086212830271959040";https://twitter.com/addiems/status/1086212830271959040
addiems;2019-01-18 03:45;2;15;"Ini aku capture. pic.twitter.com/Ioz5FNQZHU";;;;"1086001694645710848";https://twitter.com/addiems/status/1086001694645710848
addiems;2019-01-18 02:00;794;3129;"Benci sekali dan kagum sekali, sama2 tidak baik. Tapi kalau harus memilih, aku pilih kagum sekali. Aku kagum pada Jokowi. #01jokowilagi #2019JokowiPresidenRI #DebatKemenanganJokowi #JokowiAminMenangDebat @jokowi";;@jokowi;#01jokowilagi #2019JokowiPresidenRI #DebatKemenanganJokowi #JokowiAminMenangDebat;"1085975070512562177";https://twitter.com/addiems/status/1085975070512562177
addiems;2019-01-18 01:37;441;587;"Tanah Abang....Nasibmu kini... https:// twitter.com/agungwirawan10 0/status/1085814260616257536 …";;;;"1085969303935938561";https://twitter.com/addiems/status/1085969303935938561
addiems;2019-01-18 01:25;38;130;"Kalo aku, Aku tidak pilih Capres yang salah data terus.";;;;"1085966435610877952";https://twitter.com/addiems/status/1085966435610877952
