username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
apiipp;2019-01-23 14:37;0;2;"wiiih makasih banyak loh, bagusss!!!";;;;"1087977613480652801";https://twitter.com/apiipp/status/1087977613480652801
apiipp;2019-01-23 14:37;0;3;"jangan rindu, berat";;;;"1087977576914739202";https://twitter.com/apiipp/status/1087977576914739202
apiipp;2019-01-23 08:52;2;130;"Mencoba black and white pic.twitter.com/qUfnWHoXYw";;;;"1087890703961579520";https://twitter.com/apiipp/status/1087890703961579520
apiipp;2019-01-22 21:01;0;1;"AKWKWKWK ANJER DI DELETE";;;;"1087711799753900032";https://twitter.com/apiipp/status/1087711799753900032
apiipp;2019-01-22 18:43;0;3;"Emang udahan?";;;;"1087677100272738304";https://twitter.com/apiipp/status/1087677100272738304
apiipp;2019-01-22 12:45;0;1;"Duh ada selebtwit :(";;;;"1087587113321750528";https://twitter.com/apiipp/status/1087587113321750528
apiipp;2019-01-22 12:33;0;1;"WKWKWKKWKWKWKWKKWK";;;;"1087584117732958209";https://twitter.com/apiipp/status/1087584117732958209
apiipp;2019-01-22 07:29;0;2;"Besoknya kamis tuh.";;;;"1087507557634064384";https://twitter.com/apiipp/status/1087507557634064384
apiipp;2019-01-22 07:28;2;74;"Hari ini hari selasa , cuma mau ngasih tau ajah.";;;;"1087507380818989057";https://twitter.com/apiipp/status/1087507380818989057
apiipp;2019-01-22 07:28;1;8;"Lg di era emosi lebih penting dr logika, krena dulu pernah pake logika tapi nyatanya di telantarkan begitu saja. *eh maap curhat*";;;;"1087507287839629312";https://twitter.com/apiipp/status/1087507287839629312
apiipp;2019-01-22 07:26;6;33;"SYID https:// twitter.com/MbaJenNih/stat us/1086611908793327616 …";;;;"1087506698493804544";https://twitter.com/apiipp/status/1087506698493804544
apiipp;2019-01-22 07:25;0;1;"Jadi pen eek gua njir . Gelay.";;;;"1087506525457809408";https://twitter.com/apiipp/status/1087506525457809408
apiipp;2019-01-20 11:19;3;200;"Katanya kita bedua mirip. Emang iya? pic.twitter.com/sVZBEx1Jcg";;;;"1086840733061939202";https://twitter.com/apiipp/status/1086840733061939202
apiipp;2019-01-20 11:19;0;1;"Kebanyakan nonton ftv lu beraaakkk!";;;;"1086840530779029504";https://twitter.com/apiipp/status/1086840530779029504
apiipp;2019-01-20 11:18;0;8;"Bangga guah njir";;;;"1086840310611599360";https://twitter.com/apiipp/status/1086840310611599360
apiipp;2019-01-19 22:55;0;1;"Kadang susah ngelupain bayang jennie.";;;;"1086653460425060352";https://twitter.com/apiipp/status/1086653460425060352
apiipp;2019-01-19 22:55;0;2;"Ya Allah recehnya followers ku, bangga aku tuh";;;;"1086653326828044290";https://twitter.com/apiipp/status/1086653326828044290
apiipp;2019-01-19 22:31;0;2;"Sedikit..";;;;"1086647279992287232";https://twitter.com/apiipp/status/1086647279992287232
apiipp;2019-01-19 22:31;1;2;"Iya ni menyedihkan";;;;"1086647262556508160";https://twitter.com/apiipp/status/1086647262556508160
apiipp;2019-01-19 22:20;0;6;"Ngakak bangsat wkwk";;;;"1086644616340811778";https://twitter.com/apiipp/status/1086644616340811778
apiipp;2019-01-19 22:14;2;106;"Hari ini blackpink konser, oh okay :”)";;;;"1086642966020517890";https://twitter.com/apiipp/status/1086642966020517890
apiipp;2019-01-19 22:13;0;1;"Wkwk apa urusannye ujan ama gelud njirrr";;;;"1086642799175393283";https://twitter.com/apiipp/status/1086642799175393283
apiipp;2019-01-19 09:42;1;14;"Doble enak, indomie goreng";;;;"1086453716675260418";https://twitter.com/apiipp/status/1086453716675260418
apiipp;2019-01-17 19:46;0;2;"Uwuu";;;;"1085881095646674945";https://twitter.com/apiipp/status/1085881095646674945
apiipp;2019-01-17 19:19;0;2;"Oh iya juga, lupa saya tuh ada “teks” bukan “text” terima kasih sudah mengingatkan";;;;"1085874247694598144";https://twitter.com/apiipp/status/1085874247694598144
apiipp;2019-01-17 19:17;31;100;"Nyatanya sebuah pesan text “aku kangen” bisa buat kamu senyum-senyum sendiri.";;;;"1085873730390188035";https://twitter.com/apiipp/status/1085873730390188035
apiipp;2019-01-17 19:12;0;2;"Pen eek baca nya :(";;;;"1085872419401650177";https://twitter.com/apiipp/status/1085872419401650177
apiipp;2019-01-17 19:09;1;18;"Duh typo, mau ngomong saja malah jdi sana.";;;;"1085871847336402944";https://twitter.com/apiipp/status/1085871847336402944
apiipp;2019-01-17 19:09;5;73;"Mereka tidak percaya kalau muka saya masih jerawatan, jadi saya berikan ini sana. Filter instagram itu emang bagus si, jerawat aja bisa ilang. pic.twitter.com/IjOxRkpEjZ";;;;"1085871796719501312";https://twitter.com/apiipp/status/1085871796719501312
apiipp;2019-01-17 09:08;1;3;"Pernah wkwkkwkwkwkk";;;;"1085720468282236929";https://twitter.com/apiipp/status/1085720468282236929
apiipp;2019-01-17 07:49;28;135;"Jangan terlambat peka, nyesel ntar ujungnya.";;;;"1085700547926052869";https://twitter.com/apiipp/status/1085700547926052869
apiipp;2019-01-14 14:41;0;145;"Jagain 3 ponakan.. pic.twitter.com/tK7MaoGAMv";;;;"1084717044245753856";https://twitter.com/apiipp/status/1084717044245753856
apiipp;2019-01-13 09:52;0;9;"Yang penting #YaQueen";;;#YaQueen;"1084281990323437569";https://twitter.com/apiipp/status/1084281990323437569
apiipp;2019-01-10 19:10;3;60;"#SmackQueen #YaQueen";;;#SmackQueen #YaQueen;"1083335153328504832";https://twitter.com/apiipp/status/1083335153328504832
apiipp;2019-01-10 00:09;0;3;"karena gk mau di kasih liat aja wkwk";;;;"1083048072488181760";https://twitter.com/apiipp/status/1083048072488181760
apiipp;2019-01-10 00:08;0;70;"Creep";;;;"1083047979039117312";https://twitter.com/apiipp/status/1083047979039117312
apiipp;2019-01-09 23:15;0;4;"Padahal itu udah lama bgt";;;;"1083034463267840000";https://twitter.com/apiipp/status/1083034463267840000
apiipp;2019-01-09 21:00;19;88;"Semua itu ada “waktu” nya. Kesempatan itu ada, kadang suka lupa kalo udah di kasih kesempatan itu. Tp di lepas gitu aja. Dan lebih sedihnya lagi, kesempatan itu gak datang untuk yang kedua kalinya(biasanya). pic.twitter.com/ZIpQLMDYfL";;;;"1083000538097057792";https://twitter.com/apiipp/status/1083000538097057792
apiipp;2019-01-06 19:46;0;65;"Cukup2 wkwk livestreaming aja yuk";;;;"1081894660082065408";https://twitter.com/apiipp/status/1081894660082065408
apiipp;2019-01-06 19:27;0;3;"Bukan permasalahn jomblo atau engga jomblo si ini padahal mah -.-";;;;"1081889895096868864";https://twitter.com/apiipp/status/1081889895096868864
apiipp;2019-01-06 19:17;0;1;"Ini bagus dong berarti";;;;"1081887543610683392";https://twitter.com/apiipp/status/1081887543610683392
apiipp;2019-01-06 19:15;0;1;"Iya bahaya banget malah WKWKKWKW";;;;"1081886856973709312";https://twitter.com/apiipp/status/1081886856973709312
apiipp;2019-01-06 19:06;3;39;"Yes. https:// twitter.com/lindamayanthi/ status/1081883786814484482 …";;;;"1081884650513952768";https://twitter.com/apiipp/status/1081884650513952768
apiipp;2019-01-06 19:04;2;5;"Saya pun belum punya jawabannya. yang biasa saya lakukan, diam. Dan berpura2 semua gk ada masalah dan gk ada yang saya mau dari orang lain. Alias membohongi diri dan membohongi orang lain dengan senyum";;;;"1081884236695535617";https://twitter.com/apiipp/status/1081884236695535617
apiipp;2019-01-06 19:03;0;2;"Ah sa aeee wkwk";;;;"1081883879265296385";https://twitter.com/apiipp/status/1081883879265296385
apiipp;2019-01-06 19:02;0;2;"Bener juga ya";;;;"1081883824781352960";https://twitter.com/apiipp/status/1081883824781352960
apiipp;2019-01-06 19:00;1;2;"Saya tau rasanya wkwk, kadang terlalu baik juga gk baik. Tapi, gk bisa berhenti baik? Gimana dong?";;;;"1081883258147594240";https://twitter.com/apiipp/status/1081883258147594240
apiipp;2019-01-06 18:57;0;1;"Mati emang bikin semuanya selesai ya? Iya si gk ada lagi yang bakalan di perjuangkan, tp kalo kamu mati, orang tua mu gimana? Kamu nyaman di alam yang baru, tapi orang tua mu bakalan sedih setiap hari dan mungkin stres karena kamu bunuh diri.";;;;"1081882541810831361";https://twitter.com/apiipp/status/1081882541810831361
apiipp;2019-01-06 18:57;14;116;"Jujur saja ya, saya dulu salah satu orang yang sangat gak peduli dan cuek. Dan berubah ke yang “sangat peduli” wah ini gak enak ternyata ya wkwk dari yang hanya memikirkan diri sendiri. Jadi orang yang lebih mikirin orang lain daripada diri sendiri.";;;;"1081882344359743488";https://twitter.com/apiipp/status/1081882344359743488
apiipp;2019-01-06 18:55;0;1;"Mati bunuh diri?";;;;"1081881861666689024";https://twitter.com/apiipp/status/1081881861666689024
apiipp;2019-01-06 18:52;0;3;"Berak";;;;"1081881107463729152";https://twitter.com/apiipp/status/1081881107463729152
apiipp;2019-01-06 18:52;1;2;"Kalo di bilang kenapa kamu cuek, mungkin kurang bisa percaya orang dan kurang peduli juga sama sekitar. Kayak “ahsudahlah cuma...”";;;;"1081881084730564608";https://twitter.com/apiipp/status/1081881084730564608
apiipp;2019-01-06 18:51;3;5;"Pernah terlalu cuek, dan benar2 rindu pas kayak gitu untuk sekarang";;;;"1081880893420011520";https://twitter.com/apiipp/status/1081880893420011520
apiipp;2019-01-06 18:51;1;2;"Well, kalo kyak gini caranya si cuma satu. Ingat ke orang tua, kalo telat bangkit berarti nambah semester, kalo nambah semester nambah biaya, kalo nambah biaya, makin nyusahin orang tua. Moga2 aja dengan itu jd semangat. Biar orang tua gk kebeban.";;;;"1081880813350793219";https://twitter.com/apiipp/status/1081880813350793219
apiipp;2019-01-06 18:49;0;5;"INI NIH SAMA!";;;;"1081880475575013376";https://twitter.com/apiipp/status/1081880475575013376
apiipp;2019-01-06 18:49;0;2;"Jangan kan kamu, saya pun seperti itu. Kadang kasur juga bisa mengikat kita karena diberi sebuah kenyamanan.";;;;"1081880377801621504";https://twitter.com/apiipp/status/1081880377801621504
apiipp;2019-01-06 18:48;0;2;"Jadi kayak introvert gitu ya? Saya ngerasain pas smp si ini. Gk pernah bisa berbaur";;;;"1081880204807565312";https://twitter.com/apiipp/status/1081880204807565312
apiipp;2019-01-06 18:38;6;122;"Pernahkah kalian benci sifat kalian yang baru? Ceritain deh kek apa. Ngobrol yuk";;;;"1081877665995317248";https://twitter.com/apiipp/status/1081877665995317248
apiipp;2019-01-06 02:33;6;102;"Jauuuh tapi deket, deket tapi jauh. Bingungkan u. Sama.";;;;"1081634832122241024";https://twitter.com/apiipp/status/1081634832122241024
apiipp;2019-01-05 15:00;0;2;"Pasti ada wkwk";;;;"1081460366071160833";https://twitter.com/apiipp/status/1081460366071160833
apiipp;2019-01-05 15:00;0;2;"Record kok wkwk";;;;"1081460294402990080";https://twitter.com/apiipp/status/1081460294402990080
apiipp;2019-01-05 14:40;2;106;"Hari ini ada pamali lagi ya, malem minggu nya saya kasih horror-horror lagi.";;;;"1081455383057584128";https://twitter.com/apiipp/status/1081455383057584128
apiipp;2019-01-04 17:06;1;40;"Saya menambahkan video ke playlist @YouTube http:// youtu.be/WKFJmcN_0MY?a Pamali #1";;@YouTube;#1;"1081129682957946881";https://twitter.com/apiipp/status/1081129682957946881
apiipp;2019-01-04 11:23;13;228;"Jadi hari ini dia sakit, dan gk bisa nganterin dia ke rumah sakit. Jdi nemenin anak ini video call sampe tidur , selamat tidur @gmarthagraciela . pic.twitter.com/7j6tXsXFeO";;@gmarthagraciela;;"1081043489691885569";https://twitter.com/apiipp/status/1081043489691885569
apiipp;2019-01-01 18:47;0;1;"Gak!!";;;;"1080067959396003840";https://twitter.com/apiipp/status/1080067959396003840
apiipp;2019-01-01 18:34;1;66;"Starbucks ada masalah kah? Hmm";;;;"1080064837302927360";https://twitter.com/apiipp/status/1080064837302927360
apiipp;2019-01-01 18:34;1;2;"Hehehe heiii";;;;"1080064692054192128";https://twitter.com/apiipp/status/1080064692054192128
apiipp;2019-01-01 18:30;1;58;"Ternyata terakhir tweet itu 23 Desember 2018. Kalo gitu “hallo 2019”";;;;"1080063753394184192";https://twitter.com/apiipp/status/1080063753394184192
apiipp;2019-01-01 18:30;6;90;"Ingin buat video pamali lagi si, tapi gak suka hawa rumah nya. Mengingatkan tentang rumah mbah di Jawa.";;;;"1080063594358665216";https://twitter.com/apiipp/status/1080063594358665216
apiipp;2019-01-01 18:29;53;112;"Bersikap layaknya tidak tau apa-apa, Lebih menyenangkan ternyata.";;;;"1080063369422430209";https://twitter.com/apiipp/status/1080063369422430209
