username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
aulyaad_;2019-01-21 08:05;1;6;"Karena mimpi jadi pilot tadi malam, hatiku jadi terketuk untuk mewujudkan mimpi yang belum terwujud; yaitu miara ikan cupang :)";;;;"1087154289665925121";https://twitter.com/aulyaad_/status/1087154289665925121
aulyaad_;2019-01-17 21:54;1;5;"L e l a h";;;;"1085913353262788608";https://twitter.com/aulyaad_/status/1085913353262788608
aulyaad_;2019-01-13 08:23;1;4;"Ngakak dong ya https:// twitter.com/ridwanaffandi0 7/status/1084093200246046720 …";;;;"1084259675132948481";https://twitter.com/aulyaad_/status/1084259675132948481
aulyaad_;2019-01-13 00:27;1;4;"Jangan lagi:(";;;;"1084139911563735040";https://twitter.com/aulyaad_/status/1084139911563735040
aulyaad_;2019-01-10 20:25;2;7;":') pic.twitter.com/uywga5ReEc";;;;"1083354165349298176";https://twitter.com/aulyaad_/status/1083354165349298176
aulyaad_;2019-01-10 15:23;1;4;"Kau adalah bagian kebetulan yang sangat menyenangkan .";;;;"1083278078929907713";https://twitter.com/aulyaad_/status/1083278078929907713
aulyaad_;2019-01-09 19:38;2;9;"Terima kasih telah menemani malam malam panjangku belakangan ini Tetap menjaga pun kala aku sedang berkelana dalam mimpi Kau berbeda , aku suka Kau sosok yang cukup sempurna Aku mencintaimu, sungguh .";;;;"1082979937441636352";https://twitter.com/aulyaad_/status/1082979937441636352
aulyaad_;2019-01-09 19:33;1;3;"Kau harus baik , agar aku merasa baik . Dan kita menjadi baik baik saja";;;;"1082978622556626944";https://twitter.com/aulyaad_/status/1082978622556626944
aulyaad_;2019-01-09 19:30;1;3;"Tak ada puisi rindu untukmu malam ini Aku kesal, puisi itu kian menumpuk dan belum ada yang terbayar.";;;;"1082977827207573509";https://twitter.com/aulyaad_/status/1082977827207573509
aulyaad_;2019-01-09 18:43;0;0;"Menyempil diantara kau dan bayang bayang masalalumu";;;;"1082966199212793856";https://twitter.com/aulyaad_/status/1082966199212793856
aulyaad_;2019-01-08 23:42;1;5;"Ibbaalllll caprukkk";;;;"1082678858413879297";https://twitter.com/aulyaad_/status/1082678858413879297
aulyaad_;2019-01-07 00:52;0;0;"Sampai habis kak tak terbentuk";;;;"1081971678022750208";https://twitter.com/aulyaad_/status/1081971678022750208
aulyaad_;2019-01-07 00:51;1;6;"Saya pernah mencintai sampai layar ponsel saya adalah gambar nya . Tapi sayang sampai sekarang kasihku tak sampai .";;;;"1081971499437715456";https://twitter.com/aulyaad_/status/1081971499437715456
aulyaad_;2019-01-07 00:49;0;6;"Ingin ku tidur malam ini Sayangnya suara anjing terngiang di telinga Minta di berontak Harus yang mana lagi ? Bahkan sekarang aku tak punya apa-apa.";;;;"1081971116837466114";https://twitter.com/aulyaad_/status/1081971116837466114
aulyaad_;2019-01-07 00:47;0;5;"Mampus kau dikoyak-koyak gengsi";;;;"1081970485565435904";https://twitter.com/aulyaad_/status/1081970485565435904
aulyaad_;2019-01-06 10:16;1;6;"Sesuatu yang diawali karna terpaksa sampe kapanpun gaakan berjalan baik :)";;;;"1081751371718639616";https://twitter.com/aulyaad_/status/1081751371718639616
aulyaad_;2019-01-06 10:12;1;5;"Yahh :)";;;;"1081750221841780736";https://twitter.com/aulyaad_/status/1081750221841780736
aulyaad_;2019-01-03 19:10;0;0;"Ngapa sih oll";;;;"1080798433751908355";https://twitter.com/aulyaad_/status/1080798433751908355
aulyaad_;2019-01-03 05:42;1;5;"Njer";;;;"1080595201385627648";https://twitter.com/aulyaad_/status/1080595201385627648
aulyaad_;2019-01-02 11:30;0;0;"Nyed";;;;"1080320408950173696";https://twitter.com/aulyaad_/status/1080320408950173696
aulyaad_;2019-01-01 19:14;1;6;"Boker pertama di 2019 . Apasih anjeng kok gitchuu :')";;;;"1080074830274166784";https://twitter.com/aulyaad_/status/1080074830274166784
aulyaad_;2019-01-01 19:13;0;3;"Makan sayur asem pertama di 2019 :')";;;;"1080074506998231041";https://twitter.com/aulyaad_/status/1080074506998231041
aulyaad_;2019-01-01 19:12;0;3;"Cuci dosa pertama di 2019 :)";;;;"1080074226214723584";https://twitter.com/aulyaad_/status/1080074226214723584
aulyaad_;2018-12-31 20:23;0;2;"Selamat tinggal 2018 yang konyol . Selamat datang 2019 , saya siap hidup seperti larry ! pic.twitter.com/K3YcSk5Hp7";;;;"1079729864876253186";https://twitter.com/aulyaad_/status/1079729864876253186
aulyaad_;2018-12-31 20:18;2;4;": lu mau kuliah ? : iya tahun depan , ngape ? : besoklah : maksudnya ? : besok kan tahun depan . Ya elahh gimana sih lu ? : ....... ( ga salah sih ) :')";;;;"1079728559369801728";https://twitter.com/aulyaad_/status/1079728559369801728
aulyaad_;2018-12-31 12:02;0;0;"Saya suka dengn keributan kwkw";;;;"1079603684273664002";https://twitter.com/aulyaad_/status/1079603684273664002
aulyaad_;2018-12-31 10:59;0;5;"Instastory penuh harapan dan pengalaman di 2018 ? Hah bilang aja ga liburan makanya instastory penuh gituan . Hehehhee";;;;"1079587917561966592";https://twitter.com/aulyaad_/status/1079587917561966592
aulyaad_;2018-12-31 10:54;0;4;"Selamat tahun baru ya Jangan lupa titipkan salam ke mama";;;;"1079586589041340418";https://twitter.com/aulyaad_/status/1079586589041340418
aulyaad_;2018-12-30 21:28;2;4;"Ekspetasi : Tahun baru , hari baru , resolusi baru Realita : dari tahun ke tahun hari gua sama aja , resolusi juga dari tahun ke tahun kaga ada yang kelar :')";;;;"1079383779637026818";https://twitter.com/aulyaad_/status/1079383779637026818
aulyaad_;2018-12-30 13:24;0;0;"Hahaha iya teh sedihhh";;;;"1079261899148029953";https://twitter.com/aulyaad_/status/1079261899148029953
aulyaad_;2018-12-30 09:41;0;3;"Happy holiday - senang liburan :)";;;;"1079205874281762816";https://twitter.com/aulyaad_/status/1079205874281762816
aulyaad_;2018-12-30 09:38;5;6;"Hal paling bersejarah di hidup gua selama jadi pengangguran di 2018 . 1. Waktunya orang bangun gua baru tidur 2. Main game sambil di cas 3. Baringan terus di kamar 4. Liatin foto orang liburan 5. Liatin foto orang liburan 6. Liatin foto orang liburan :)";;;;"1079205061564149760";https://twitter.com/aulyaad_/status/1079205061564149760
aulyaad_;2018-12-30 09:33;1;3;"Pas di tempat makan . : nah kamu itu bagus dirumah pake bahasa ingrris kan jadi terlatih . : ( diam dan mendengarkan dengan khusyuk ) : timbang pake bahasa tumbuhan aku aja gaakan ngerti . Coba bayangin gimana kita komunikasinya . : hiyahiyahiya";;;;"1079203880150360064";https://twitter.com/aulyaad_/status/1079203880150360064
aulyaad_;2018-12-29 16:32;0;0;"Hahaha masnya bisa aja :)";;;;"1078946793390403589";https://twitter.com/aulyaad_/status/1078946793390403589
aulyaad_;2018-12-29 16:30;2;7;"Susahnya menjadi orang yang sulit percaya. Saya hanya mempercayai segelintir orang di kehidupan saya, sampai terkadang saya lupa jikalau mereka-pun punya kehidupan. Ketika akhirnya mereka memutuskan pergi, menghilangkan ketergantungan kepada mereka tak semudah tepok jidat. :)";;;;"1078946460828221440";https://twitter.com/aulyaad_/status/1078946460828221440
aulyaad_;2018-12-29 16:08;1;4;"Maaf telah menyusahkan";;;;"1078940711859347456";https://twitter.com/aulyaad_/status/1078940711859347456
aulyaad_;2018-12-29 00:34;6;17;"Allah maha mendengar Kamu maha mengabaikan";;;;"1078705853451055104";https://twitter.com/aulyaad_/status/1078705853451055104
aulyaad_;2018-12-21 22:10;1;6;"Untuk di kenang";;;;"1076132805476642816";https://twitter.com/aulyaad_/status/1076132805476642816
aulyaad_;2018-12-21 22:08;1;4;"Ingat aku bila kau terasing dalam gelap keramaian kota";;;;"1076132318966820864";https://twitter.com/aulyaad_/status/1076132318966820864
aulyaad_;2018-12-21 22:08;1;4;"Barisan puisi ini adalah yang aku punya mungkin akan kau lupakan atau untuk di kenang";;;;"1076132235198193664";https://twitter.com/aulyaad_/status/1076132235198193664
aulyaad_;2018-12-21 10:37;2;3;"Haha sial , rindu macam apa ini ?";;;;"1075958455171567617";https://twitter.com/aulyaad_/status/1075958455171567617
aulyaad_;2018-12-20 16:20;0;0;"Iya nurut ya sama guru kasunade";;;;"1075682298765295616";https://twitter.com/aulyaad_/status/1075682298765295616
aulyaad_;2018-12-20 16:13;1;5;"Udah lempeng rasanya sembuh , malah sok sok jatuh cinta lagi , akhirnya disakiti lagi. Ngerasain lagi hal yang sama sampe sembuh lagi. Hahaha masi yo rek wong kok bahlul demen";;;;"1075680657546723328";https://twitter.com/aulyaad_/status/1075680657546723328
aulyaad_;2018-12-20 16:07;1;5;"Haha bodo emang";;;;"1075679068698206208";https://twitter.com/aulyaad_/status/1075679068698206208
aulyaad_;2018-12-20 16:02;1;5;"Sungguh tak penting";;;;"1075677896902041600";https://twitter.com/aulyaad_/status/1075677896902041600
aulyaad_;2018-12-20 12:52;1;3;"Curhat curhat, tanya solusi sembuh . Yaelah masalah cinta nanya aku , percintaan ku aja gagal terus";;;;"1075629905235197952";https://twitter.com/aulyaad_/status/1075629905235197952
aulyaad_;2018-12-19 12:59;0;0;"Bacot mu nak";;;;"1075269300821274625";https://twitter.com/aulyaad_/status/1075269300821274625
aulyaad_;2018-12-19 12:58;0;0;"Semoga segera";;;;"1075269082398638081";https://twitter.com/aulyaad_/status/1075269082398638081
aulyaad_;2018-12-19 11:12;0;5;"Terpampang nyata, memang benar adanya kau hanya ilusi ku semata .";;;;"1075242331144474625";https://twitter.com/aulyaad_/status/1075242331144474625
aulyaad_;2018-12-19 11:09;1;3;"Mo mati Alah jangan dulu lah , malas nyumbang";;;;"1075241569207238656";https://twitter.com/aulyaad_/status/1075241569207238656
aulyaad_;2018-12-19 10:53;1;3;"Bayang mu abadi di kepala ini . Terima kasih , kasih .";;;;"1075237713287118848";https://twitter.com/aulyaad_/status/1075237713287118848
aulyaad_;2018-12-17 16:14;0;0;"Sedih akutuh :')";;;;"1074593742672162816";https://twitter.com/aulyaad_/status/1074593742672162816
aulyaad_;2018-12-17 09:05;0;0;"Muka cowonya ganteng :')";;;;"1074485780779696128";https://twitter.com/aulyaad_/status/1074485780779696128
aulyaad_;2018-12-16 22:28;0;0;"Ah sa aje lu putu bambu";;;;"1074325298844381184";https://twitter.com/aulyaad_/status/1074325298844381184
aulyaad_;2018-12-16 14:24;0;0;"Silahkan dm mas";;;;"1074203677164879872";https://twitter.com/aulyaad_/status/1074203677164879872
aulyaad_;2018-12-16 14:05;0;1;"Maunya gitu mas";;;;"1074198786115723265";https://twitter.com/aulyaad_/status/1074198786115723265
aulyaad_;2018-12-16 14:04;1;7;"Aplikasi traveloka sebelahan sama app twitter . Jadi suka salah pijit aku tuh ;') pic.twitter.com/Inl0ebRuUr";;;;"1074198666896826369";https://twitter.com/aulyaad_/status/1074198666896826369
aulyaad_;2018-12-16 14:01;0;1;"Saya belum mas ;')";;;;"1074197774277603328";https://twitter.com/aulyaad_/status/1074197774277603328
aulyaad_;2018-12-16 13:54;1;7;"Silahkan keluar jika tak betah Pintu akan ku buka-kan Lagi pula rumah ku sudah hancur berantakan";;;;"1074196143502852101";https://twitter.com/aulyaad_/status/1074196143502852101
aulyaad_;2018-12-16 13:53;0;1;"Aelah sa aaee lu putu bambu";;;;"1074195799582507009";https://twitter.com/aulyaad_/status/1074195799582507009
aulyaad_;2018-12-16 13:49;2;3;"Bulan depan tahun depan . Resolusi tahun ketahun tak kunjung tercapa ;')";;;;"1074194873559900160";https://twitter.com/aulyaad_/status/1074194873559900160
aulyaad_;2018-12-08 16:23;0;0;"Belom mulai mas . Udh mundur aja";;;;"1071334406818693121";https://twitter.com/aulyaad_/status/1071334406818693121
aulyaad_;2018-12-08 14:56;1;5;"Sudah berusaha jujur, dan hanya di balas senyum . Waktunya kau mundurr";;;;"1071312486165401600";https://twitter.com/aulyaad_/status/1071312486165401600
aulyaad_;2018-12-07 21:22;0;2;"Tanpa sengaja ku dengar lagu kesukaanmu sewaktu dulu .....";;;;"1071047403984175109";https://twitter.com/aulyaad_/status/1071047403984175109
aulyaad_;2018-12-06 23:25;1;4;"Mempersiapkan diri serta jiwa raga . Untuk menghadapi big sale tahun baru diman mana . Tapi sama saja gaakan kebeli juga karna uang gaada ;')";;;;"1070715849982406657";https://twitter.com/aulyaad_/status/1070715849982406657
aulyaad_;2018-12-06 21:17;1;2;"Terima kasih Tuhan ... dan terima kasih tampan";;;;"1070683558509826048";https://twitter.com/aulyaad_/status/1070683558509826048
aulyaad_;2018-12-04 15:27;0;0;"Kok ngegas :')";;;;"1069870723961769985";https://twitter.com/aulyaad_/status/1069870723961769985
