username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bennysiauw89;2019-01-23 19:42;2;3;"Penting, gengs! https:// twitter.com/jiemiardian/st atus/1088051484124602368 …";;;;"1088054307293782016";https://twitter.com/bennysiauw89/status/1088054307293782016
bennysiauw89;2019-01-23 19:40;2;0;"Semoga media kita di Indonesia dapat memiliki pedoman pemberitaan bunuh diri yang baik dan benar setelah ini. Demi kesehatan jiwa bersama kita. https:// twitter.com/TirtoID/status /1087983272611569664 …";;;;"1088053862848618497";https://twitter.com/bennysiauw89/status/1088053862848618497
bennysiauw89;2019-01-23 01:21;0;0;"Orang yang ditulis maksudnya, dok Jiem? Efek nesis nih kebanyakan nulis";;;;"1087777374119157760";https://twitter.com/bennysiauw89/status/1087777374119157760
bennysiauw89;2019-01-09 17:57;1;2;"https:// bmcpsychiatry.biomedcentral.com/articles/10.11 86/s12888-018-1995-1 … A nice #guideline for #SuicideCrisis response in emergency department and acute settings. @IntoTheLightID #Suicide #Crisis #Prevention";;@IntoTheLightID;#guideline #SuicideCrisis #Suicide #Crisis #Prevention;"1082954527303561216";https://twitter.com/bennysiauw89/status/1082954527303561216
bennysiauw89;2019-01-02 14:23;1;3;"For every survivors out there! You are awesome. https:// twitter.com/IntoTheLightID /status/1080028093274705920 …";;;;"1080363830314598400";https://twitter.com/bennysiauw89/status/1080363830314598400
bennysiauw89;2018-12-31 13:13;0;0;"Sama-sama, dok Jiem, yang terus kece! https:// twitter.com/jiemiardian/st atus/1079619734377660416 …";;;;"1079621654836170752";https://twitter.com/bennysiauw89/status/1079621654836170752
bennysiauw89;2018-12-30 14:03;2;0;"Dah tidak ada tweetnya. Saya skeptis sih yang ngetweet akan sadar tapi semoga jadi belajar yah, kalo justru ucapan dia ini salah satu alasan kenapa orang bisa begitu tidak berdaya utk cari bantuan dan diperkosa berulang kali. Stigmanya. Reviktimisasinya. Budaya pemerkosaannya. https:// twitter.com/AdminUsam/stat us/1079216822891687937 …";;;;"1079271791447556098";https://twitter.com/bennysiauw89/status/1079271791447556098
bennysiauw89;2018-12-30 11:07;1;0;"Kalo dulu hidup tak semuda cocote motivator, sekarang ada juga diagnosis kejiwaan tak semudah cocote doi https:// twitter.com/pedalbejo/stat us/1079137770822483968 …";;;;"1079227338611539968";https://twitter.com/bennysiauw89/status/1079227338611539968
bennysiauw89;2018-12-29 08:55;2;1;""Suffering gives faces to compassion" (Radley, 2014)";;;;"1078831945914568705";https://twitter.com/bennysiauw89/status/1078831945914568705
bennysiauw89;2018-12-28 23:30;5;5;"Roy Kiyoshi ngediagnosis orang BPD di acaranya. Hanya dalam itungan menit pake kekuatan ajaibnya. Ditambah ada gangguan gaib ini itu. Ini orang instal DSM versi ghoib di kepalanya kali yah? Bentar2 diagnosis gangguan jiwa ditambah gangguan ghoib.";;;;"1078689749408215041";https://twitter.com/bennysiauw89/status/1078689749408215041
bennysiauw89;2018-12-28 09:43;66;50;"Hidup penuh naik turun, penderitaan dan kebahagiaan datang silih berganti. Jd lemah n butuh bantuan adalah bgn dari khidupan sbg manusia. Semakin cepat kita memahami n menerima ini, semakin mudah kita berbuat baik pada diri sendiri. May we all be compassionate enough to ourself! https:// twitter.com/jiemiardian/st atus/1078264232536428544 …";;;;"1078481627817242624";https://twitter.com/bennysiauw89/status/1078481627817242624
bennysiauw89;2018-12-27 19:07;3;5;"Ini kenapa butuh self care dan keahlian khusus dari pendengar supaya bisa kelola diri dalam proses mendengarkan. Butuh latihan khusus dan terus-menerus latih diri dalam pengalamannya. :) https:// twitter.com/lelakisantai/s tatus/1078238535998558208 …";;;;"1078261135504097282";https://twitter.com/bennysiauw89/status/1078261135504097282
bennysiauw89;2018-12-27 15:06;3;5;"So much thanks for addressing the issue and listening as always, dok. I believe, together we can do better than this. We should do better than this. Love and light to all of us. May all living beings be free from suffering!";;;;"1078200318679080960";https://twitter.com/bennysiauw89/status/1078200318679080960
bennysiauw89;2018-12-27 15:03;5;7;"Kita butuh lebih banyak informasi dlm bentuk kultweet @jiemiardian serta bnyk pihak lainnya. Kita butuh lebih bnyk anggota masyarakat yg teredukasi. Tapi lebih daripada itu semua, kita juga butuh hati yg terbuka, siap mendengar dan bergerak.";;@jiemiardian;;"1078199615156113408";https://twitter.com/bennysiauw89/status/1078199615156113408
bennysiauw89;2018-12-27 14:59;47;38;"Plus, seberapa siap kita untuk menambah pengetahuan, kemampuan dan pengalaman kita dalam menjadi pendengar yang baik. Karena yah, ada juga yg berusaha utk mendengar, tapi malah membesarkan ego dalam relasi menolong. Ini yg bikin orang akhirnya malas bercerita dan cari bantuan.";;;;"1078198696272060416";https://twitter.com/bennysiauw89/status/1078198696272060416
bennysiauw89;2018-12-27 14:56;143;129;"Setiap kali ada kasus bunuh diri beruntun, kita semua langsung ramai2 membicarakannya di media sosial dan percakapan sehari2, entah dlm nada negatif ataupun suportif. Pertanyaan sesungguhnya adalah sebrp bnyk dari kita yang mau mendengar alih2 sekedar berbicara untuk sekitar? https:// twitter.com/jiemiardian/st atus/1077901855206899712 …";;;;"1078197831922462720";https://twitter.com/bennysiauw89/status/1078197831922462720
bennysiauw89;2018-12-26 15:19;2;3;"Bagus lah kalau bisa bersyukur atas yang dipunya. Tapi, tolong deh jangan pernah merasa bersyukur atas penderitaan orang lain. Hitungi aja berkatmu sendiri, jangan hitungin penderitaan orang lain. Sekian omelan saya. pic.twitter.com/jfzQKbXhke";;;;"1077841315281289216";https://twitter.com/bennysiauw89/status/1077841315281289216
bennysiauw89;2018-12-26 15:19;2;3;"Dan iya, kalau kamu cuma mau #selfies pasca bencana dan menggunakan #bersyukur sebagai justifikasi. Mungkin, kamu butuh lebih banyak empati daripada rasa bersyukur. pic.twitter.com/8gncdNWtN6";;;#selfies #bersyukur;"1077841303348506624";https://twitter.com/bennysiauw89/status/1077841303348506624
bennysiauw89;2018-12-26 15:19;3;2;"Atau kamu mau keliatan relijius karna bersyukur pada Tuhan atas penderitaan orang lain? Udah lah. Agama ngajarin kita untuk welas asih. Mungkin perlu dicek tuh egonya, udah nunggangin yang diyakini sehingga menjadi pembenaran untuk bersyukur atas penderitaan orang lain. pic.twitter.com/NtrBV6YKxz";;;;"1077841291734466562";https://twitter.com/bennysiauw89/status/1077841291734466562
bennysiauw89;2018-12-26 15:19;1;1;"Atau mungkin pertanyaan yang tepatnya adalah : Hidupmu seberapa menyedihkannya sih sampai harus menggunakan penderitaan orang lain untuk bersyukur atas hidupmu sendiri? pic.twitter.com/2FTJnVjdYE";;;;"1077841277402546176";https://twitter.com/bennysiauw89/status/1077841277402546176
bennysiauw89;2018-12-26 15:19;2;3;"Itu sakit banget untuk melihat penderitaan orang lain dan berpikir bahwa penderitaan itu adalah alat untuk kamu merasa kamu dalam kondisi lebih tinggi dan baik. Hati macam apa yang dimiliki olehmu untuk merasa bersyukur atas penderitaan orang lain? pic.twitter.com/VHWLstqGZp";;;;"1077841266304475136";https://twitter.com/bennysiauw89/status/1077841266304475136
bennysiauw89;2018-12-26 15:19;1;1;"Saya percaya orang yang sungguh bersyukur dalam hidup mereka tidak akan melihat pada penderitaan orang lain dan mengambil "hikmah/pembelajaran berharga" darinya. pic.twitter.com/0tOQzSO8KU";;;;"1077841253360750594";https://twitter.com/bennysiauw89/status/1077841253360750594
