username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
bismilahpasrah;2019-01-23 18:30;7;2;"Makanya di vaksin buibu pic.twitter.com/NQaPFvQxSa";;;;"1088036275133722624";https://twitter.com/bismilahpasrah/status/1088036275133722624
bismilahpasrah;2019-01-23 14:49;0;1;"Kesel banget gue";;;;"1087980578182443008";https://twitter.com/bismilahpasrah/status/1087980578182443008
bismilahpasrah;2019-01-22 14:37;0;0;"Muldrota apanya mudhorot";;;;"1087615251267256320";https://twitter.com/bismilahpasrah/status/1087615251267256320
bismilahpasrah;2019-01-22 11:54;0;0;"pic.twitter.com/sjNyesu6iB";;;;"1087574226804994048";https://twitter.com/bismilahpasrah/status/1087574226804994048
bismilahpasrah;2019-01-22 11:32;37;23;"E.. EXODIAAAAARGHHHH!! pic.twitter.com/fXJj4RnckQ";;;;"1087568586661519360";https://twitter.com/bismilahpasrah/status/1087568586661519360
bismilahpasrah;2019-01-22 08:49;0;0;"Hmm";;;;"1087527731581992960";https://twitter.com/bismilahpasrah/status/1087527731581992960
bismilahpasrah;2019-01-20 11:39;0;0;"Adu mb gadot";;;;"1086845548118761472";https://twitter.com/bismilahpasrah/status/1086845548118761472
bismilahpasrah;2019-01-20 10:36;5;7;"Ada yahud dalam yahudi";;;;"1086829892698656768";https://twitter.com/bismilahpasrah/status/1086829892698656768
bismilahpasrah;2019-01-19 07:37;6;1;"Egar apa kabar ya pic.twitter.com/SglGpD5zPo";;;;"1086422297517281280";https://twitter.com/bismilahpasrah/status/1086422297517281280
bismilahpasrah;2019-01-18 14:03;5;1;"Hayyaalaalsholaaaaah https:// twitter.com/SpecialForm12/ status/1086156245600485379 …";;;;"1086157083253268480";https://twitter.com/bismilahpasrah/status/1086157083253268480
bismilahpasrah;2019-01-18 08:24;8;7;"Modusin cewe di club pic.twitter.com/eoghop25KC";;;;"1086071756652130305";https://twitter.com/bismilahpasrah/status/1086071756652130305
bismilahpasrah;2019-01-18 05:30;0;0;"Kurang tepaaat";;;;"1086028044156919808";https://twitter.com/bismilahpasrah/status/1086028044156919808
bismilahpasrah;2019-01-18 05:30;1;0;"Dua juta rupiaaahhhh";;;;"1086027928767365120";https://twitter.com/bismilahpasrah/status/1086027928767365120
bismilahpasrah;2019-01-17 19:54;22;12;"Orang debat kok malah ditonton, harusnya didamaikan saja biar tidak debat lagi";;;;"1085883010665213959";https://twitter.com/bismilahpasrah/status/1085883010665213959
bismilahpasrah;2019-01-11 19:37;0;0;"Tugas kita sebagai generasi muda";;;;"1083704474592411648";https://twitter.com/bismilahpasrah/status/1083704474592411648
bismilahpasrah;2019-01-11 19:34;14;18;"Apakah lagu2 hit jika diputar bisa membunuh nyamuk";;;;"1083703636058763264";https://twitter.com/bismilahpasrah/status/1083703636058763264
bismilahpasrah;2019-01-11 14:06;10;10;"terlalu banyak mengkonsumsi mi instan, jenazah mengeluarkan bau ayam bawang";;;;"1083621106034954241";https://twitter.com/bismilahpasrah/status/1083621106034954241
bismilahpasrah;2019-01-10 18:35;342;188;"Indonesia cocoknya dibikinin pembangkit listrik tenaga kebencian aja kali ya";;;;"1083326565025439744";https://twitter.com/bismilahpasrah/status/1083326565025439744
bismilahpasrah;2019-01-09 12:36;20;16;""buruan asar bro, udah mau maghrib" pic.twitter.com/bWa5vH4qSP";;;;"1082873777673756673";https://twitter.com/bismilahpasrah/status/1082873777673756673
bismilahpasrah;2019-01-08 13:33;14;23;"Hard mode pic.twitter.com/ksYE79N34q";;;;"1082525675263651845";https://twitter.com/bismilahpasrah/status/1082525675263651845
bismilahpasrah;2019-01-08 08:22;3;4;"80 juta bisa 40 juta buat kopi 40 juta buat udut #priority";;;#priority;"1082447462227357697";https://twitter.com/bismilahpasrah/status/1082447462227357697
bismilahpasrah;2019-01-08 08:20;0;0;"Terus coklat2 udah bekas debu sama oli";;;;"1082446846528675840";https://twitter.com/bismilahpasrah/status/1082446846528675840
bismilahpasrah;2019-01-08 06:36;1;0;"Gini nih kalo serat kanebo dikasih nyawa";;;;"1082420731265216513";https://twitter.com/bismilahpasrah/status/1082420731265216513
bismilahpasrah;2019-01-07 11:27;0;0;"astagfirullah itu syirik mb";;;;"1082131701390692353";https://twitter.com/bismilahpasrah/status/1082131701390692353
bismilahpasrah;2019-01-07 11:20;109;74;"emangnya twitter dukun apa, dikit dikit do your magic";;;;"1082129792890109954";https://twitter.com/bismilahpasrah/status/1082129792890109954
bismilahpasrah;2019-01-03 20:44;15;6;"Ranking 1 gojek aja sombong, gue dong.. pic.twitter.com/mtE7cFj9hc";;;;"1080822084421341184";https://twitter.com/bismilahpasrah/status/1080822084421341184
bismilahpasrah;2019-01-03 15:43;10;3;"pic.twitter.com/odAwzRJfMr";;;;"1080746416564129792";https://twitter.com/bismilahpasrah/status/1080746416564129792
bismilahpasrah;2019-01-02 17:46;0;1;"Hacing";;;;"1080414940454764544";https://twitter.com/bismilahpasrah/status/1080414940454764544
bismilahpasrah;2019-01-02 16:53;0;5;"Ingin post IG takuy feed rusak";;;;"1080401673338540032";https://twitter.com/bismilahpasrah/status/1080401673338540032
bismilahpasrah;2019-01-02 05:52;11;10;"Ya dibenerin dong bambank! pic.twitter.com/cZf0ewxT1Y";;;;"1080235442102890496";https://twitter.com/bismilahpasrah/status/1080235442102890496
bismilahpasrah;2018-12-30 15:37;9;16;"Hari kebangkitan pic.twitter.com/2mOTdI0hqa";;;;"1079295396785020928";https://twitter.com/bismilahpasrah/status/1079295396785020928
bismilahpasrah;2018-12-28 13:50;0;1;"Rejected digimon concept";;;;"1078543627066822660";https://twitter.com/bismilahpasrah/status/1078543627066822660
bismilahpasrah;2018-12-28 13:02;865;498;"digimon terkuat pic.twitter.com/SaZNVN6sAx";;;;"1078531660042235909";https://twitter.com/bismilahpasrah/status/1078531660042235909
bismilahpasrah;2018-12-28 06:52;74;57;"Cikendiner pic.twitter.com/N1vfndpg4m";;;;"1078438473051172864";https://twitter.com/bismilahpasrah/status/1078438473051172864
bismilahpasrah;2018-12-27 14:35;0;0;"I added a video to a @YouTube playlist http:// youtu.be/gPwqZVAYvTs?a godzilla: king of the monsters - official trailer 2 erection";;@YouTube;;"1078192745418838017";https://twitter.com/bismilahpasrah/status/1078192745418838017
bismilahpasrah;2018-12-26 13:17;5;3;"Giliran wik wik wik cepet bet viral, enang rang indo paling gercep kalo masalah slengki";;;;"1077810648946401280";https://twitter.com/bismilahpasrah/status/1077810648946401280
bismilahpasrah;2018-12-24 18:11;22;10;"Kerukunan antar ras, agama & budaya yang sejati hanya bisa ditemukan disini pic.twitter.com/fBmmWqy03z";;;;"1077159738343714816";https://twitter.com/bismilahpasrah/status/1077159738343714816
bismilahpasrah;2018-12-21 19:21;6;1;"Hotman Paris paling suka jajan ke Lawson.. Soalnya dia anak hukum";;;;"1076090279671738371";https://twitter.com/bismilahpasrah/status/1076090279671738371
bismilahpasrah;2018-12-21 08:38;8;5;"Anime Hollywood Remake pic.twitter.com/5ckPaXjNFN";;;;"1075928577462362112";https://twitter.com/bismilahpasrah/status/1075928577462362112
bismilahpasrah;2018-12-19 19:12;1;4;"Ketagihan nonton blue film pic.twitter.com/Hw2KQjdBBt";;;;"1075363164429025280";https://twitter.com/bismilahpasrah/status/1075363164429025280
bismilahpasrah;2018-12-19 13:30;2;3;"HHHMMMORTAL KOMBAAAATTTT TUTUTITUUTUTUT TUTUTIT TUTUUTITU TUUTUITUT NJENGNJENGNJENGNJENGNJENGNJENGNJENG JENG JENG NJENGNJENGNJENGNJENGNJENGNJENGNJENG JENG JENG";;;;"1075277199857479681";https://twitter.com/bismilahpasrah/status/1075277199857479681
bismilahpasrah;2018-12-18 14:45;0;0;"tidak termasuk tapi tidak disarankan karena zina";;;;"1074933534165413888";https://twitter.com/bismilahpasrah/status/1074933534165413888
bismilahpasrah;2018-12-18 14:31;15;3;"pic.twitter.com/TgAwlYjxV2";;;;"1074930067166261249";https://twitter.com/bismilahpasrah/status/1074930067166261249
bismilahpasrah;2018-12-18 11:26;0;2;"Jauhi frisek";;;;"1074883538971840512";https://twitter.com/bismilahpasrah/status/1074883538971840512
bismilahpasrah;2018-12-17 13:40;0;1;"Stop..";;;;"1074554800040116224";https://twitter.com/bismilahpasrah/status/1074554800040116224
bismilahpasrah;2018-12-15 11:36;2;9;"pic.twitter.com/VP0POJeooI";;;;"1073798952930037762";https://twitter.com/bismilahpasrah/status/1073798952930037762
bismilahpasrah;2018-12-14 18:54;0;1;"pic.twitter.com/B6IZBt4vSl";;;;"1073546859308736513";https://twitter.com/bismilahpasrah/status/1073546859308736513
bismilahpasrah;2018-12-14 12:49;14;5;"Aquaman end credit scene pic.twitter.com/NON0UJKZzB";;;;"1073455038096273408";https://twitter.com/bismilahpasrah/status/1073455038096273408
bismilahpasrah;2018-12-14 12:42;1;1;"Kalo mau lebih cepet tinggal mati aja";;;;"1073453212613529600";https://twitter.com/bismilahpasrah/status/1073453212613529600
bismilahpasrah;2018-12-13 17:46;15;5;"Ingin hemat kuota malah mendapat pelajaran hidup pic.twitter.com/J3FCvoYJnw";;;;"1073167239119917056";https://twitter.com/bismilahpasrah/status/1073167239119917056
bismilahpasrah;2018-12-13 17:40;0;0;"HEUU.. *gesture mau nonjok";;;;"1073165818672775173";https://twitter.com/bismilahpasrah/status/1073165818672775173
bismilahpasrah;2018-12-13 15:16;0;1;"Jastop";;;;"1073129573204676609";https://twitter.com/bismilahpasrah/status/1073129573204676609
bismilahpasrah;2018-12-13 14:39;2;1;"jafar kalo punya adek namanya janear";;;;"1073120192551477249";https://twitter.com/bismilahpasrah/status/1073120192551477249
bismilahpasrah;2018-12-12 11:32;0;0;"Saya tidak sombong orangnya";;;;"1072710725456453632";https://twitter.com/bismilahpasrah/status/1072710725456453632
bismilahpasrah;2018-12-09 08:50;7;1;"Urusai pic.twitter.com/YUCuyTSW3E";;;;"1071582754305847296";https://twitter.com/bismilahpasrah/status/1071582754305847296
bismilahpasrah;2018-12-08 17:11;1;2;"Wudhu https:// twitter.com/Eno_Bening/sta tus/1071055150335160329 …";;;;"1071346640571650049";https://twitter.com/bismilahpasrah/status/1071346640571650049
bismilahpasrah;2018-12-06 16:32;6;3;"*solat jamaah* : "waladhooliiim.." : "aaamiiin" : "yaaasinn.." : ⠀ ⠀⠀⠀ /)─―ヘ 　　＿／　　　＼ ／ ｜ ▼ | ｜　 　　亠 ノ U￣U￣￣￣U￣U";;;;"1070611920015712261";https://twitter.com/bismilahpasrah/status/1070611920015712261
bismilahpasrah;2018-12-06 14:57;20;14;"Yang sukar dihadapi dalam hidup • perbuatan dosa • musibah • perpisahan • "pake duit lu dulu dong"";;;;"1070587960234455041";https://twitter.com/bismilahpasrah/status/1070587960234455041
bismilahpasrah;2018-12-06 10:45;0;0;"14 juta";;;;"1070524588553981953";https://twitter.com/bismilahpasrah/status/1070524588553981953
bismilahpasrah;2018-12-04 18:05;0;0;"Terkutuklah drone & seliruh operatornya";;;;"1069910456096055297";https://twitter.com/bismilahpasrah/status/1069910456096055297
bismilahpasrah;2018-12-04 17:46;0;1;"Hey";;;;"1069905731174846464";https://twitter.com/bismilahpasrah/status/1069905731174846464
