username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
brrunchbabe;2019-01-19 23:25;0;0;"Me rn pic.twitter.com/zI54kSrOhf";;;;"1086661043525316608";https://twitter.com/brrunchbabe/status/1086661043525316608
brrunchbabe;2019-01-19 23:15;0;0;"pic.twitter.com/IIQE5JR97b";;;;"1086658365562839040";https://twitter.com/brrunchbabe/status/1086658365562839040
brrunchbabe;2019-01-19 23:15;0;0;"pic.twitter.com/LK7Og6XLJp";;;;"1086658316346875904";https://twitter.com/brrunchbabe/status/1086658316346875904
brrunchbabe;2019-01-19 23:15;0;0;"pic.twitter.com/Q4bTlCoD1u";;;;"1086658293714497536";https://twitter.com/brrunchbabe/status/1086658293714497536
brrunchbabe;2019-01-19 23:14;0;0;"pic.twitter.com/urfomPTi4Z";;;;"1086658267579731968";https://twitter.com/brrunchbabe/status/1086658267579731968
brrunchbabe;2019-01-19 23:14;0;0;"pic.twitter.com/3rrVp02IBF";;;;"1086658201624338434";https://twitter.com/brrunchbabe/status/1086658201624338434
brrunchbabe;2019-01-19 23:14;0;0;"pic.twitter.com/EALNTW5yca";;;;"1086658156875309056";https://twitter.com/brrunchbabe/status/1086658156875309056
brrunchbabe;2019-01-19 23:14;0;0;"pic.twitter.com/xig2Xmtefw";;;;"1086658137006862336";https://twitter.com/brrunchbabe/status/1086658137006862336
brrunchbabe;2019-01-19 23:14;0;0;"pic.twitter.com/wTKPmCLknN";;;;"1086658108045152257";https://twitter.com/brrunchbabe/status/1086658108045152257
brrunchbabe;2019-01-19 14:08;0;0;"";;;;"1086520773823553536";https://twitter.com/brrunchbabe/status/1086520773823553536
brrunchbabe;2019-01-17 20:29;0;0;"U TAYANGGG";;;;"1085891973372817408";https://twitter.com/brrunchbabe/status/1085891973372817408
brrunchbabe;2019-01-12 18:18;0;0;"TIM GERCEP ULULULU LIDER KECAYANQAN";;;;"1084046913593237504";https://twitter.com/brrunchbabe/status/1084046913593237504
brrunchbabe;2019-01-09 17:45;0;0;"YANG SUKA BACA WATTPAD BOLEH LAH BACA INI, RECOMMENDED DEH! #wattpad "My Favorite Human" on #Wattpad https:// my.w.tt/E7AnnyuPkT #wattpadindonesia";;;#wattpad #Wattpad #wattpadindonesia;"1082951554141892609";https://twitter.com/brrunchbabe/status/1082951554141892609
brrunchbabe;2019-01-04 17:03;0;1;"@hansclchwe hi vernon ㅋㅋㅋ pic.twitter.com/uyIhdYWilN";;@hansclchwe;;"1081128924975779840";https://twitter.com/brrunchbabe/status/1081128924975779840
brrunchbabe;2019-01-04 15:15;0;0;"I am using @Dingtone to make FREE calls! #travel #SaudiArabian http:// dingtone.me/ft40";;@Dingtone;#travel #SaudiArabian;"1081101916770205696";https://twitter.com/brrunchbabe/status/1081101916770205696
brrunchbabe;2019-01-03 00:03;4;7;"JISOO SELCA #MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/oIh7BLdLeb";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080509801447096320";https://twitter.com/brrunchbabe/status/1080509801447096320
brrunchbabe;2019-01-03 00:02;1;4;"JISOO SELCA #MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/pplJyqeoL8";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080509561302208512";https://twitter.com/brrunchbabe/status/1080509561302208512
brrunchbabe;2019-01-03 00:01;0;4;"JISOO SELCA #MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/zUm5Xb165n";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080509437721231360";https://twitter.com/brrunchbabe/status/1080509437721231360
brrunchbabe;2019-01-02 23:59;0;5;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/KVE4CSnjrt";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508821091414016";https://twitter.com/brrunchbabe/status/1080508821091414016
brrunchbabe;2019-01-02 23:59;0;4;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/HmA4BQdkR3";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508794340134914";https://twitter.com/brrunchbabe/status/1080508794340134914
brrunchbabe;2019-01-02 23:58;0;3;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/IQHeGxd505";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508533555093512";https://twitter.com/brrunchbabe/status/1080508533555093512
brrunchbabe;2019-01-02 23:57;1;3;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/DIfRhg0XgW";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508506166353920";https://twitter.com/brrunchbabe/status/1080508506166353920
brrunchbabe;2019-01-02 23:57;0;3;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/9GZpHNbKj3";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508479696101376";https://twitter.com/brrunchbabe/status/1080508479696101376
brrunchbabe;2019-01-02 23:57;0;2;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/J5sC7hAYY3";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508455805321221";https://twitter.com/brrunchbabe/status/1080508455805321221
brrunchbabe;2019-01-02 23:57;0;3;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/DrRsiXIxSt";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080508426742972417";https://twitter.com/brrunchbabe/status/1080508426742972417
brrunchbabe;2019-01-02 23:55;0;2;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/25zBwTfpgg";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080507882058088448";https://twitter.com/brrunchbabe/status/1080507882058088448
brrunchbabe;2019-01-02 23:55;0;4;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/x4W03sCeep";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080507805923069952";https://twitter.com/brrunchbabe/status/1080507805923069952
brrunchbabe;2019-01-02 23:54;1;5;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/BDXXCWXqBg";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080507743369216000";https://twitter.com/brrunchbabe/status/1080507743369216000
brrunchbabe;2019-01-02 23:54;0;2;"#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo pic.twitter.com/RPozK90kjH";;;#MissKoreaJisooDay #BloomingJisooDay #HappyBirthdayJisoo;"1080507697722609664";https://twitter.com/brrunchbabe/status/1080507697722609664
