username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
efkahfajar;2019-01-22 14:45;0;10;"YOSH! @Shibuya, Tokyo https://www. instagram.com/p/Bs7c3SLhzzq/ ?utm_source=ig_twitter_share&igshid=14ow2bd8ckczv …";;@Shibuya;;"1087617126767124481";https://twitter.com/efkahfajar/status/1087617126767124481
efkahfajar;2019-01-22 08:34;1;25;"boys will be boys. pic.twitter.com/AhRXW9NXSK";;;;"1087523991147839488";https://twitter.com/efkahfajar/status/1087523991147839488
efkahfajar;2019-01-22 02:59;0;16;"Btw kenapa ya Jepang dingin?";;;;"1087439664867303425";https://twitter.com/efkahfajar/status/1087439664867303425
efkahfajar;2019-01-22 02:59;0;6;"Cuitan pertama di 2019, kiw kiw";;;;"1087439588602200064";https://twitter.com/efkahfajar/status/1087439588602200064
efkahfajar;2019-01-10 13:12;1;4;"PRE ORDER NOW!! MERCH EFKAHFAJAR X @gozealcloth ——————————————————————— WAKTU : PRE ORDER MULAI HARI INI TGL 10 - 29 JANUARI, UNTUK PENGIRIMAN AKHIR FEBRUARI - AWAL MARET https://www. instagram.com/p/BscYvOnhlIC/ ?utm_source=ig_twitter_share&igshid=ldaylbqlbmzu …";;@gozealcloth;;"1083245203950129152";https://twitter.com/efkahfajar/status/1083245203950129152
efkahfajar;2018-12-21 17:36;0;6;"Gimana ya? Tagihan udah dibayar kok malah terisolir @TelkomCare";;@TelkomCare;;"1076063951136350209";https://twitter.com/efkahfajar/status/1076063951136350209
efkahfajar;2018-12-21 17:35;13;21;"Ketika kamu bersedih lalu turun hujan, alam mengerti apa yg kamu rasakan dan sedang berbica dengan perasaanmu, ketika hujan reda, redakanlah juga perasaanmu hingga berhenti bersamaan dengan hujan.";;;;"1076063546801176576";https://twitter.com/efkahfajar/status/1076063546801176576
efkahfajar;2018-12-21 17:10;7;19;"Jika kamu sedang berimajinasi, percayalah kamu sedang bersama dirimu sendiri.";;;;"1076057416867835904";https://twitter.com/efkahfajar/status/1076057416867835904
efkahfajar;2018-12-18 01:21;0;0;"You know what I mean haha";;;;"1074731366061793280";https://twitter.com/efkahfajar/status/1074731366061793280
efkahfajar;2018-12-18 00:56;10;21;"Ini filter twitter/instagram bisa buat nge-filter temen yang bangsat gak si?";;;;"1074724967521038336";https://twitter.com/efkahfajar/status/1074724967521038336
efkahfajar;2018-12-16 14:21;0;4;"Jangan lupa nonton ome tv rewind";;;;"1074202938816385024";https://twitter.com/efkahfajar/status/1074202938816385024
efkahfajar;2018-12-14 06:19;8;22;"Pagi ini akan menjadi pagi yang tidak akan pernah ada di dalam harapan ataupun di kemudian hari.";;;;"1073356868045557761";https://twitter.com/efkahfajar/status/1073356868045557761
efkahfajar;2018-12-14 06:03;2;21;"Text me pls 666!";;;;"1073352736169615361";https://twitter.com/efkahfajar/status/1073352736169615361
efkahfajar;2018-12-07 11:48;0;4;"Ituuuttt";;;;"1070902860697624578";https://twitter.com/efkahfajar/status/1070902860697624578
efkahfajar;2018-12-07 11:47;7;42;"Selamat pagi untuk 2 hati yang tidak mungkin saling memiliki.";;;;"1070902709480382466";https://twitter.com/efkahfajar/status/1070902709480382466
efkahfajar;2018-12-07 01:46;10;40;"Cemburu atau iri adalah sebagian besar dari rasa takut kehilangan, tergantikan atau bahkan ditinggalkan.";;;;"1070751256400998400";https://twitter.com/efkahfajar/status/1070751256400998400
efkahfajar;2018-12-05 14:07;0;1;"Terimakasiw";;;;"1070213147351339008";https://twitter.com/efkahfajar/status/1070213147351339008
efkahfajar;2018-12-05 13:24;0;26;"Gua sangat amat bersyukur sekali hari ini, karena gua ga pernah menyangka selama perjalanan hidup gua di dunia ini akhirnya gua bisa memutuskan tekad gua untuk upgrade ke @Spotify premium. Lwar biazyah!";;@Spotify;;"1070202312382005249";https://twitter.com/efkahfajar/status/1070202312382005249
