username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ekasulistiawati;2019-01-24 05:56;0;1;"https:// hellosehat.com/hidup-sehat/ti ps-sehat/penyakit-degeneratif/ …";;;;"1088208899767848960";https://twitter.com/ekasulistiawati/status/1088208899767848960
ekasulistiawati;2019-01-23 22:05;0;1;"oh....";;;;"1088090383878213632";https://twitter.com/ekasulistiawati/status/1088090383878213632
ekasulistiawati;2019-01-21 20:08;0;0;"sama haha...";;;;"1087336065474519041";https://twitter.com/ekasulistiawati/status/1087336065474519041
ekasulistiawati;2019-01-21 11:35;0;0;"Respon aku dong Min :(";;;;"1087206946577367040";https://twitter.com/ekasulistiawati/status/1087206946577367040
ekasulistiawati;2019-01-21 11:33;0;1;"Satu pintu terbuka :)";;;;"1087206511208615937";https://twitter.com/ekasulistiawati/status/1087206511208615937
ekasulistiawati;2019-01-21 11:24;0;1;":) ty Amel";;;;"1087204156434087936";https://twitter.com/ekasulistiawati/status/1087204156434087936
ekasulistiawati;2019-01-17 06:47;0;1;"";;;;"1085684887682670594";https://twitter.com/ekasulistiawati/status/1085684887682670594
ekasulistiawati;2019-01-15 07:52;0;0;"Pesanan saya mengalami missroute sejak tgl 30 Desember 2018 sampai saat ini saya DM dan email CSJDid & JX tidak ada tanggapan apalagi tindakan.";;;;"1084976673802530816";https://twitter.com/ekasulistiawati/status/1084976673802530816
ekasulistiawati;2019-01-15 07:41;0;0;"sama kok :)";;;;"1084973898402213888";https://twitter.com/ekasulistiawati/status/1084973898402213888
ekasulistiawati;2019-01-14 11:59;0;1;"15 hari ngga direspon DM-ku oleh @csjd_id";;@csjd_id;;"1084676270141534208";https://twitter.com/ekasulistiawati/status/1084676270141534208
ekasulistiawati;2019-01-13 09:46;0;1;"Dari tgl 3 saya DM ngga pernah dibaca @csjd_id";;@csjd_id;;"1084280386153152512";https://twitter.com/ekasulistiawati/status/1084280386153152512
ekasulistiawati;2019-01-12 15:09;0;0;"@csjd_id DM saya tolong ditanggapi.";;@csjd_id;;"1083999293235552256";https://twitter.com/ekasulistiawati/status/1083999293235552256
ekasulistiawati;2019-01-12 12:03;0;1;"Ikhlas...";;;;"1083952551374991361";https://twitter.com/ekasulistiawati/status/1083952551374991361
ekasulistiawati;2019-01-11 12:55;0;1;"Sabar banget aku... lewat 3 minggu belum sampai surat pembaca ah...";;;;"1083603187477532672";https://twitter.com/ekasulistiawati/status/1083603187477532672
