username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
fajyar;2019-01-22 13:46;0;0;"Detail pembangkangan nya sistem yang mana ?";;;;"1087602402889351168";https://twitter.com/fajyar/status/1087602402889351168
fajyar;2019-01-21 14:51;0;0;"Sama saja tak pikir, jokowi2 juga kalau vote untuk permintaan pilpres..masih dalam satu perahu soalnya";;;;"1087256296150032384";https://twitter.com/fajyar/status/1087256296150032384
fajyar;2019-01-21 11:34;0;0;"Ahok vote jokowi dan itu sudah jelas..";;;;"1087206672911613952";https://twitter.com/fajyar/status/1087206672911613952
fajyar;2019-01-21 11:09;0;0;"Politik kan begitu masak masih mengherankan sih?";;;;"1087200491996508160";https://twitter.com/fajyar/status/1087200491996508160
fajyar;2019-01-17 17:06;0;0;"Wehehehehe copas yah bang";;;;"1085840878055305216";https://twitter.com/fajyar/status/1085840878055305216
fajyar;2019-01-15 18:55;0;0;"Matane pas sekolah mantap";;;;"1085143523031052288";https://twitter.com/fajyar/status/1085143523031052288
fajyar;2019-01-14 23:49;0;0;"Bahaya dan menakutkan nya masihh woyy";;;;"1084854985706229760";https://twitter.com/fajyar/status/1084854985706229760
fajyar;2019-01-13 19:18;0;0;"2017 ada kasus apa menurut sumber sesuai gambar ini?";;;;"1084424424034463745";https://twitter.com/fajyar/status/1084424424034463745
fajyar;2019-01-13 18:16;0;0;"Cinta diri sendiri";;;;"1084408928757178369";https://twitter.com/fajyar/status/1084408928757178369
fajyar;2019-01-12 22:54;0;0;"Lalu menikah dan vibrasi gak sama lagi";;;;"1084116375088427009";https://twitter.com/fajyar/status/1084116375088427009
fajyar;2019-01-11 17:54;0;0;"ada londo rebel namanya sneevliet di adili sama pemerintahan kolonial,mas marco,semaoen terinspirasi ..";;;;"1083678543085629440";https://twitter.com/fajyar/status/1083678543085629440
fajyar;2019-01-10 13:17;0;1;"Atau champa?";;;;"1083246334432337920";https://twitter.com/fajyar/status/1083246334432337920
fajyar;2019-01-10 13:16;0;1;"Gujarat atau pedagang cina?";;;;"1083246255755542528";https://twitter.com/fajyar/status/1083246255755542528
fajyar;2019-01-10 13:14;1;2;"Ini adalah salah satu pengaburan sejarah, mbak nita bisa tag sejarahwan untuk di peer riview,dibuktikan biar civitas acedemia bisa nentuin ini penemuanya cukup signifikan nggak?";;;;"1083245755744215040";https://twitter.com/fajyar/status/1083245755744215040
fajyar;2019-01-08 17:28;0;0;"Khusus aparatur sipil negara .. Wajar ajah sih";;;;"1082584832671019009";https://twitter.com/fajyar/status/1082584832671019009
fajyar;2019-01-07 18:28;0;0;"Etik budaya kita kelihatan kalah.konformitas sepele menunjukkan tidak ada yg menjaga..";;;;"1082237521944227840";https://twitter.com/fajyar/status/1082237521944227840
fajyar;2019-01-07 18:21;0;0;"Semangat menjajah";;;;"1082235786685083650";https://twitter.com/fajyar/status/1082235786685083650
fajyar;2019-01-05 15:48;0;0;"Mbak irien ,tak upload di pesbuk yah";;;;"1081472391602089986";https://twitter.com/fajyar/status/1081472391602089986
fajyar;2019-01-03 22:01;0;0;"pic.twitter.com/RFOxqutHeg";;;;"1080841560005201921";https://twitter.com/fajyar/status/1080841560005201921
fajyar;2019-01-01 17:28;0;0;"Jadi panutan lho orang ini....haduhh tapi sadar dan menyesal biasanya belakangan..";;;;"1080048118802964480";https://twitter.com/fajyar/status/1080048118802964480
fajyar;2018-12-30 11:59;0;0;"joke lepas cerdass... Best guy in world";;;;"1079240465705103360";https://twitter.com/fajyar/status/1079240465705103360
fajyar;2018-12-29 00:41;0;1;"Memaksa diri jadi contoh biar merasa gak enak...mungkin gitu kali yakk";;;;"1078707590425661440";https://twitter.com/fajyar/status/1078707590425661440
fajyar;2018-12-26 17:27;0;0;"Lhooo pic.twitter.com/lo4bQpkOuu";;;;"1077873506333782016";https://twitter.com/fajyar/status/1077873506333782016
fajyar;2018-12-25 12:04;0;0;"Ms mana om ?";;;;"1077429732184997888";https://twitter.com/fajyar/status/1077429732184997888
fajyar;2018-12-24 13:01;0;0;"asuuuuhhhwww";;;;"1077081869760385024";https://twitter.com/fajyar/status/1077081869760385024
fajyar;2018-12-24 12:51;0;0;"Terusin nggak!!! pic.twitter.com/DgRtE0q9LO";;;;"1077079218909982726";https://twitter.com/fajyar/status/1077079218909982726
fajyar;2018-12-23 11:34;0;0;"teposs";;;;"1076697433512398849";https://twitter.com/fajyar/status/1076697433512398849
