username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
finaacil;2019-01-22 12:23;0;2;"Kerja yang gausah ngomong sama orang ada ga siiii. Muka unbeliveable kek akutuh ga cocok buat nyapa orang.";;;;"1087581576609685504";https://twitter.com/finaacil/status/1087581576609685504
finaacil;2019-01-21 12:56;0;0;"Yesuh kijoon apa yehsuh woojo ini aku bingung huhuuu";;;;"1087227291585765377";https://twitter.com/finaacil/status/1087227291585765377
finaacil;2019-01-21 11:42;0;0;"Astagfiruloh aku";;;;"1087208728489644034";https://twitter.com/finaacil/status/1087208728489644034
finaacil;2019-01-21 11:41;0;0;"Ncen lanangan asu";;;;"1087208621358800897";https://twitter.com/finaacil/status/1087208621358800897
finaacil;2019-01-19 13:46;0;0;"Aku nek ngomong karo mbah mbah ngomonge kek kie . Ora ngerti kramane selawe";;;;"1086515150515924992";https://twitter.com/finaacil/status/1086515150515924992
finaacil;2019-01-19 13:28;0;0;"Syalan aku ketawa";;;;"1086510658210783238";https://twitter.com/finaacil/status/1086510658210783238
finaacil;2019-01-18 11:56;0;1;"Kijoon yehsuh dong";;;;"1086125035599753216";https://twitter.com/finaacil/status/1086125035599753216
finaacil;2019-01-18 07:43;0;0;"Jaewon kenapa sama bora. Masih belum mupon bora jadi hyena jadi rada ga relaaa";;;;"1086061377058267137";https://twitter.com/finaacil/status/1086061377058267137
finaacil;2019-01-17 07:06;0;0;"Dih";;;;"1085689745814896640";https://twitter.com/finaacil/status/1085689745814896640
finaacil;2019-01-13 04:29;0;0;"Icaddddd";;;;"1084200617961172992";https://twitter.com/finaacil/status/1084200617961172992
finaacil;2019-01-11 06:52;0;0;"Taiii";;;;"1083511955497705472";https://twitter.com/finaacil/status/1083511955497705472
finaacil;2019-01-10 16:45;0;0;"Gabisa nonton dreadout gara gara gapunya bioskop";;;;"1083298836250914816";https://twitter.com/finaacil/status/1083298836250914816
finaacil;2019-01-07 16:30;0;0;"Sky castel";;;;"1082207789810733056";https://twitter.com/finaacil/status/1082207789810733056
finaacil;2019-01-01 18:42;0;0;"Yehsuh.";;;;"1080066796781154305";https://twitter.com/finaacil/status/1080066796781154305
finaacil;2019-01-01 07:42;0;0;"Iyaa";;;;"1079900536269225984";https://twitter.com/finaacil/status/1079900536269225984
finaacil;2018-12-29 12:37;0;0;"Tap tapi aku ga suka hyena ga tau kenapa";;;;"1078887600398561280";https://twitter.com/finaacil/status/1078887600398561280
finaacil;2018-12-24 11:09;0;0;"Lebih suka woo jo yehsuh";;;;"1077053601653043200";https://twitter.com/finaacil/status/1077053601653043200
finaacil;2018-12-24 10:49;0;0;"Kapalku woo jo * yeh suh dong";;;;"1077048537337147393";https://twitter.com/finaacil/status/1077048537337147393
finaacil;2018-12-22 17:00;0;1;"Selamat hari ibu buat aku dimasa depan";;;;"1076417124468289536";https://twitter.com/finaacil/status/1076417124468289536
finaacil;2018-12-18 20:57;0;0;"Bos jangan bikin jantungan dong bos";;;;"1075027265769988096";https://twitter.com/finaacil/status/1075027265769988096
finaacil;2018-12-17 16:05;0;0;"Butuh berapa detik buat paham";;;;"1074591285124558849";https://twitter.com/finaacil/status/1074591285124558849
finaacil;2018-12-16 06:46;0;0;"kenapasii ini";;;;"1074088355770490880";https://twitter.com/finaacil/status/1074088355770490880
finaacil;2018-12-15 21:07;0;1;"Gatau tapi lebi suka woo jo ama yehsuh :(";;;;"1073942557254533120";https://twitter.com/finaacil/status/1073942557254533120
finaacil;2018-12-15 19:28;0;0;"Threadnya gemes bgt dong. Masnya lucu :(";;;;"1073917619307130881";https://twitter.com/finaacil/status/1073917619307130881
finaacil;2018-12-15 18:54;0;0;"How was your day? Bad. Sad.";;;;"1073909178706518016";https://twitter.com/finaacil/status/1073909178706518016
finaacil;2018-12-15 18:42;0;0;"Ya Alloh pengin libur";;;;"1073906244832776192";https://twitter.com/finaacil/status/1073906244832776192
finaacil;2018-12-15 12:12;0;0;"https:// twitter.com/rlthingy/statu s/1073773468578009088 …";;;;"1073807991441219585";https://twitter.com/finaacil/status/1073807991441219585
finaacil;2018-12-15 12:07;0;0;"Sing komen kok akun centangan kabeh https:// twitter.com/Zedd/status/10 73434329219383298 …";;;;"1073806644658630657";https://twitter.com/finaacil/status/1073806644658630657
finaacil;2018-12-12 06:08;0;0;"Punya bos semena mena ga ena. Punya bos terlalu baik ga ena juga. Karepku pie.";;;;"1072629171006906368";https://twitter.com/finaacil/status/1072629171006906368
finaacil;2018-12-12 06:07;0;0;"I hope i can ma";;;;"1072628947379195906";https://twitter.com/finaacil/status/1072628947379195906
finaacil;2018-12-11 18:55;0;0;"Bang belum foto :(";;;;"1072459841422221312";https://twitter.com/finaacil/status/1072459841422221312
finaacil;2018-12-11 18:52;0;0;"Chat time";;;;"1072459188662689794";https://twitter.com/finaacil/status/1072459188662689794
finaacil;2018-12-08 18:58;0;0;"2015, 2016, 2017. Tiga taun aku SMK.";;;;"1071373392048058368";https://twitter.com/finaacil/status/1071373392048058368
finaacil;2018-12-08 14:39;0;0;"Samaaa";;;;"1071308363789590528";https://twitter.com/finaacil/status/1071308363789590528
finaacil;2018-12-08 10:19;0;0;"Ini yang bikin video balon, kursi hijau, sama cuter berkarat kan ya";;;;"1071242910387990528";https://twitter.com/finaacil/status/1071242910387990528
