username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
gmarthagraciela;2019-01-23 15:03;0;27;"i DO what i want, what i wanna post so i DON’T care what u say. :) . feeds ku :’) https://www. instagram.com/p/Bs-DycoBTqt/ ?utm_source=ig_twitter_share&igshid=rj1ov6ol8nc1 …";;;;"1087984205047496704";https://twitter.com/gmarthagraciela/status/1087984205047496704
gmarthagraciela;2019-01-23 11:25;12;40;"lupakan dulu soal pertikaian-pertikaian politik, mari kita berdoa untuk saudara-saudara kita yang disana :) #PrayForSulsel #PrayForGowa #PrayForMakassar";;;#PrayForSulsel #PrayForGowa #PrayForMakassar;"1087929276203188224";https://twitter.com/gmarthagraciela/status/1087929276203188224
gmarthagraciela;2019-01-23 11:23;0;14;"kurang lebih kayak gitu.. https:// twitter.com/rxlmnn/status/ 1087926710153240576 …";;;;"1087928744126353409";https://twitter.com/gmarthagraciela/status/1087928744126353409
gmarthagraciela;2019-01-23 11:22;10;43;"ternyata diwaktu kecil saya pernah merokok ada yang ingat permen rokok ini? kalo makan permen ini waktu sd berasa keren anjir wkwkwk #Gosip90an pic.twitter.com/6dgeWdjVsR";;;#Gosip90an;"1087928568401801217";https://twitter.com/gmarthagraciela/status/1087928568401801217
gmarthagraciela;2019-01-23 11:13;1;34;"baru bangun dan mimpi balik jadi anak sd lagi, wakakaka. jadi flashback deh";;;;"1087926337619271683";https://twitter.com/gmarthagraciela/status/1087926337619271683
gmarthagraciela;2019-01-22 23:49;1;24;"“n0tail” beneran bikin pengen disayangin. awto pindah dr pendukung liquid ke OG tapi di liquid ada “twitzz” begini ya rasanya mengidolakan tapi bingung mau yang mana :((";;;;"1087754038672670720";https://twitter.com/gmarthagraciela/status/1087754038672670720
gmarthagraciela;2019-01-22 20:39;1;19;"infinite . cr : mikhaeltamosee https://www. instagram.com/p/Bs8FXpDBSO4/ ?utm_source=ig_twitter_share&igshid=3bsssao3bmz9 …";;;;"1087706322760593408";https://twitter.com/gmarthagraciela/status/1087706322760593408
gmarthagraciela;2019-01-22 10:13;2;28;"waking up and this is my worst nightmare. i don’t understand it. daze-_-";;;;"1087548743459590144";https://twitter.com/gmarthagraciela/status/1087548743459590144
gmarthagraciela;2019-01-21 21:18;3;36;"sometimes i need a little alone time. it doesn’t mean i upset, mad, shy or anything else. i just need some space.";;;;"1087353870026600448";https://twitter.com/gmarthagraciela/status/1087353870026600448
gmarthagraciela;2019-01-21 18:15;0;13;"cr : @AmozyAudrey https://www. instagram.com/p/Bs5QGBrB3Qn/ ?utm_source=ig_twitter_share&igshid=11eu26pdsanor …";;@AmozyAudrey;;"1087307594182602752";https://twitter.com/gmarthagraciela/status/1087307594182602752
gmarthagraciela;2019-01-20 19:02;1;26;"mungkin, karna mikirnya. udah bukan siapa2 lagi jd takut org nganggepnya “emang lu siapa” “gapenting banget” wkakka https:// twitter.com/Soragneel/stat us/1086938515873517568 …";;;;"1086957109365792769";https://twitter.com/gmarthagraciela/status/1086957109365792769
gmarthagraciela;2019-01-20 17:46;0;14;"baiklah kalau begitu, maapkeun kalo nyampah di timeline ya https:// twitter.com/rizalandreaa/s tatus/1086936608526413824 …";;;;"1086938003988045825";https://twitter.com/gmarthagraciela/status/1086938003988045825
gmarthagraciela;2019-01-20 17:46;2;38;"you can love whoever you want.";;;;"1086937883200520192";https://twitter.com/gmarthagraciela/status/1086937883200520192
gmarthagraciela;2019-01-20 17:42;0;12;"wkwkwkkw aku sering bgt nih kayak gini, ujung2nya cm mantau doang https:// twitter.com/RestiWahida99/ status/1086930693836423168 …";;;;"1086937038056611844";https://twitter.com/gmarthagraciela/status/1086937038056611844
gmarthagraciela;2019-01-20 17:08;4;40;"pengguna twitter biasanya nge-tweet kayak gimana sih? wkwkwk sering bgt uda ketik terus diapus lg, takut ga pas gitu";;;;"1086928408657838080";https://twitter.com/gmarthagraciela/status/1086928408657838080
gmarthagraciela;2019-01-20 11:50;1;35;"sudah 3 mandek dikamar, nyaman banget ye";;;;"1086848454658150400";https://twitter.com/gmarthagraciela/status/1086848454658150400
gmarthagraciela;2019-01-20 11:22;0;23;"giraffe ! . : haluuworld https://www. instagram.com/p/Bs18A9MhGFX/ ?utm_source=ig_twitter_share&igshid=tjbm0lpt5rc4 …";;;;"1086841246822260738";https://twitter.com/gmarthagraciela/status/1086841246822260738
