username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
hamidahrtg;2019-01-22 21:53;0;2;"#FotoProfilBaru pic.twitter.com/8yV22zPa2J";;;#FotoProfilBaru;"1087724896589881346";https://twitter.com/hamidahrtg/status/1087724896589881346
hamidahrtg;2019-01-22 21:43;0;0;"Ngomongin masa depan om wkwk @radenrauf https:// twitter.com/radenrauf/stat us/1087684653157310465 …";;@radenrauf;;"1087722489487081472";https://twitter.com/hamidahrtg/status/1087722489487081472
hamidahrtg;2019-01-22 21:42;0;1;"Thats right pic.twitter.com/ecAGm8Bpvl";;;;"1087722202579890176";https://twitter.com/hamidahrtg/status/1087722202579890176
hamidahrtg;2019-01-22 21:40;0;0;"Cewek mana yg suka liat cwoknya deket cewek lain meskipun temenan, aneh";;;;"1087721623682277378";https://twitter.com/hamidahrtg/status/1087721623682277378
hamidahrtg;2019-01-21 17:22;0;0;"Maaf krna aku egois";;;;"1087294399250219008";https://twitter.com/hamidahrtg/status/1087294399250219008
hamidahrtg;2019-01-21 17:20;0;1;"https:// twitter.com/rlthingy/statu s/1087204504582291457 …";;;;"1087293859426578433";https://twitter.com/hamidahrtg/status/1087293859426578433
hamidahrtg;2019-01-21 17:14;0;1;"hamidahrtg on instagram, thankyou!";;;;"1087292335912759297";https://twitter.com/hamidahrtg/status/1087292335912759297
hamidahrtg;2019-01-18 20:37;0;1;"#FotoProfilBaru pic.twitter.com/TLLE1hMDEf";;;#FotoProfilBaru;"1086256379466113025";https://twitter.com/hamidahrtg/status/1086256379466113025
hamidahrtg;2019-01-17 17:37;0;1;"#FotoProfilBaru pic.twitter.com/7fwdV8UIRR";;;#FotoProfilBaru;"1085848471209357314";https://twitter.com/hamidahrtg/status/1085848471209357314
hamidahrtg;2019-01-17 17:35;0;2;"#FotoProfilBaru pic.twitter.com/HesceAFT0r";;;#FotoProfilBaru;"1085848013480706050";https://twitter.com/hamidahrtg/status/1085848013480706050
hamidahrtg;2019-01-17 17:24;0;1;"Mantuull omm https:// twitter.com/radenrauf/stat us/1085405562941177863 …";;;;"1085845367365627904";https://twitter.com/hamidahrtg/status/1085845367365627904
hamidahrtg;2019-01-17 17:15;0;1;"Alhamdulillah, one step closer pic.twitter.com/kTzl3xMsz8";;;;"1085842945633222660";https://twitter.com/hamidahrtg/status/1085842945633222660
hamidahrtg;2019-01-15 23:31;0;0;"Wkwkwk https:// twitter.com/radenrauf/stat us/1085177027286654977 …";;;;"1085212942641975297";https://twitter.com/hamidahrtg/status/1085212942641975297
hamidahrtg;2019-01-13 23:27;0;0;"Sah sah aja yg pnting halal toh, dan gak merugikan org lain juga, bukan krna matre tpi bisa jadi standar bagi sebagian perempuan yg ingin punya suami kaya https:// twitter.com/falla_adinda/s tatus/1084406458639249408 …";;;;"1084487199171604480";https://twitter.com/hamidahrtg/status/1084487199171604480
hamidahrtg;2019-01-13 17:19;0;0;"#FotoProfilBaru pic.twitter.com/BHWtKXF5jK";;;#FotoProfilBaru;"1084394571046346752";https://twitter.com/hamidahrtg/status/1084394571046346752
hamidahrtg;2019-01-12 14:20;0;2;"#FotoProfilBaru pic.twitter.com/SI9mGu1DtN";;;#FotoProfilBaru;"1083987059080028160";https://twitter.com/hamidahrtg/status/1083987059080028160
