username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kamubgsd;2019-01-23 21:05;0;0;"aia aia auaaa ANEH BENGADH:((((";;;;"1088075239110496256";https://twitter.com/kamubgsd/status/1088075239110496256
kamubgsd;2019-01-23 08:42;0;0;"cetaphil, cosrx, the ordinary, freeman, banyak:( kalo mekap si pengen lip product";;;;"1087888315842326528";https://twitter.com/kamubgsd/status/1087888315842326528
kamubgsd;2019-01-22 08:21;0;0;"waw velrose secret yg mana ti";;;;"1087520630243651585";https://twitter.com/kamubgsd/status/1087520630243651585
kamubgsd;2019-01-22 08:20;0;0;"waw tamanu oil yang mana ya kak? berapa tu kak harganya?";;;;"1087520274612871168";https://twitter.com/kamubgsd/status/1087520274612871168
kamubgsd;2019-01-22 05:40;0;0;"sekul mananih";;;;"1087480140496420865";https://twitter.com/kamubgsd/status/1087480140496420865
kamubgsd;2019-01-21 22:27;0;0;"asgdgahjsjs gorgeous https:// twitter.com/dreamofyou327/ status/1087202528997994496 …";;;;"1087371062134751232";https://twitter.com/kamubgsd/status/1087371062134751232
kamubgsd;2019-01-21 22:24;0;0;"coba puasa skinker dulu sayangku. dan coba periksa aja ke dokter gmn?";;;;"1087370232786694144";https://twitter.com/kamubgsd/status/1087370232786694144
kamubgsd;2019-01-21 21:48;0;0;"omg seriously?:( the ordinary?:( kok bisaaa huaaa belum pernah nyoba padahal:(";;;;"1087361172834156544";https://twitter.com/kamubgsd/status/1087361172834156544
kamubgsd;2019-01-21 21:46;0;0;"tamanu oil sebagus itu kak?";;;;"1087360761377153024";https://twitter.com/kamubgsd/status/1087360761377153024
kamubgsd;2019-01-21 21:46;0;0;"the ordinary apa kak?";;;;"1087360711959797760";https://twitter.com/kamubgsd/status/1087360711959797760
kamubgsd;2019-01-21 21:40;0;0;"sabun apaan si sebel banyak kali sabun hits(:";;;;"1087359327822737408";https://twitter.com/kamubgsd/status/1087359327822737408
kamubgsd;2019-01-21 21:39;0;0;"mulai dari perut ajaa";;;;"1087359123350446081";https://twitter.com/kamubgsd/status/1087359123350446081
kamubgsd;2019-01-21 21:35;0;0;"tutup gimana kak maksudnya?";;;;"1087358076640841728";https://twitter.com/kamubgsd/status/1087358076640841728
kamubgsd;2019-01-21 21:33;0;0;"pengen lemon mint nya:(";;;;"1087357493334859776";https://twitter.com/kamubgsd/status/1087357493334859776
kamubgsd;2019-01-21 21:31;0;0;"dm ih mauuu";;;;"1087357031931994112";https://twitter.com/kamubgsd/status/1087357031931994112
kamubgsd;2019-01-21 21:29;0;0;"salju eww pic.twitter.com/mUej1sheUa";;;;"1087356480133640193";https://twitter.com/kamubgsd/status/1087356480133640193
kamubgsd;2019-01-21 20:59;0;0;"8 tahun ya ga @real__pcy";;@real__pcy;;"1087349080303398912";https://twitter.com/kamubgsd/status/1087349080303398912
kamubgsd;2019-01-21 17:37;0;0;"lagi pengen banget hape buat ayah aku. kemarin hapenya rusak karena kesalahan beliau sendiri sih tapi gatega jadinya:"))) jadi sekarang kalo mau ngehubungin siapa siapa ribet karena gada hape. bukan aku yg butuh tapi ayah aku yang butuh, doakan aja ya setidaknya ada rezekinya:')";;;;"1087298251118718976";https://twitter.com/kamubgsd/status/1087298251118718976
kamubgsd;2019-01-21 08:17;0;0;"bilang ae atuh ke temenmuuu:(";;;;"1087157253923192834";https://twitter.com/kamubgsd/status/1087157253923192834
kamubgsd;2019-01-21 08:17;0;0;"pantea bgt palagi buat gue";;;;"1087157147392126976";https://twitter.com/kamubgsd/status/1087157147392126976
kamubgsd;2019-01-21 08:03;0;0;"aku pake yg sebelah kiri. nyaman bgt. bisa langsung ditetes juga ke mata kata mbaknya";;;;"1087153688181800961";https://twitter.com/kamubgsd/status/1087153688181800961
kamubgsd;2019-01-21 07:16;0;0;"lucu anjir ini maaaah";;;;"1087141846470414336";https://twitter.com/kamubgsd/status/1087141846470414336
kamubgsd;2019-01-21 07:09;0;0;"mau dong buat ayahku, baru kemarin kemarin bgt hapenya rusak ): dom sumedang sini";;;;"1087140114646499328";https://twitter.com/kamubgsd/status/1087140114646499328
kamubgsd;2019-01-21 07:05;0;0;"gue suka anjir wkwkkw cakep lanjutkan";;;;"1087139043026989056";https://twitter.com/kamubgsd/status/1087139043026989056
kamubgsd;2019-01-21 07:03;0;0;"WOI WKWKKW YOU MADE MY DAY";;;;"1087138532882231296";https://twitter.com/kamubgsd/status/1087138532882231296
kamubgsd;2019-01-21 06:55;0;0;"mauuu tag jgn lupaaa";;;;"1087136628659769344";https://twitter.com/kamubgsd/status/1087136628659769344
kamubgsd;2019-01-20 22:17;0;0;"ukuran?";;;;"1087006312989224960";https://twitter.com/kamubgsd/status/1087006312989224960
kamubgsd;2019-01-20 22:04;0;0;"surya tuh dicariin :( @mygumilarsurya";;@mygumilarsurya;;"1087002809961082887";https://twitter.com/kamubgsd/status/1087002809961082887
kamubgsd;2019-01-20 22:02;0;0;"iya ngapain juga nih tag gua:( siapa lu";;;;"1087002462630727680";https://twitter.com/kamubgsd/status/1087002462630727680
kamubgsd;2019-01-20 21:59;0;0;"halooo, semoga semua harapan dan doa doa kamu tercapai ya sayangku, apapun itu, semoga semuanya terdengar dan dikabulkan allah aamiin :)";;;;"1087001763306041344";https://twitter.com/kamubgsd/status/1087001763306041344
kamubgsd;2019-01-20 21:53;0;0;"kakkkkk pls aku mau bgt :( pilih aku ya ka gpp kok bayar ongkir juga isoke, atau mau cod juga gpp kak bisaa";;;;"1087000077065891841";https://twitter.com/kamubgsd/status/1087000077065891841
kamubgsd;2019-01-20 21:52;0;0;"AKUUUUUU BANDUNGGG KAKKK";;;;"1086999914234535936";https://twitter.com/kamubgsd/status/1086999914234535936
kamubgsd;2019-01-20 21:50;0;0;"mauuuuu:((((";;;;"1086999305074819073";https://twitter.com/kamubgsd/status/1086999305074819073
kamubgsd;2019-01-20 21:39;0;0;"wagelaseh";;;;"1086996619776512001";https://twitter.com/kamubgsd/status/1086996619776512001
kamubgsd;2019-01-20 19:25;0;0;"gabisa anjir :(";;;;"1086963041353138176";https://twitter.com/kamubgsd/status/1086963041353138176
kamubgsd;2019-01-20 17:46;0;0;"kepo anjir";;;;"1086937925437206529";https://twitter.com/kamubgsd/status/1086937925437206529
