username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mimiperrr;2019-01-23 19:10;0;0;"pic.twitter.com/4fmtbDftBx";;;;"1088046389584572416";https://twitter.com/mimiperrr/status/1088046389584572416
mimiperrr;2019-01-10 19:08;0;0;"DONE";;;;"1083334871706001408";https://twitter.com/mimiperrr/status/1083334871706001408
mimiperrr;2019-01-10 05:51;0;0;"SEKARANGG:(:(";;;;"1083134115669467136";https://twitter.com/mimiperrr/status/1083134115669467136
mimiperrr;2019-01-07 23:12;0;0;"im in indonesia,my phone fly saat diatas kereta,sedih kalau nak minta beli baru kak bunda:( merepotkan saja akuni:(";;;;"1082309018746466304";https://twitter.com/mimiperrr/status/1082309018746466304
mimiperrr;2019-01-07 23:08;0;0;"berarti aku ini lelaki";;;;"1082307967498645506";https://twitter.com/mimiperrr/status/1082307967498645506
mimiperrr;2018-12-29 20:04;0;0;"Gleen-sekali ini saja :(:(:(";;;;"1079000208464211969";https://twitter.com/mimiperrr/status/1079000208464211969
mimiperrr;2018-12-25 20:09;0;0;"SPONS PAK";;;;"1077551836221952001";https://twitter.com/mimiperrr/status/1077551836221952001
mimiperrr;2018-12-11 21:06;0;0;"Selow brooo";;;;"1072492889148702725";https://twitter.com/mimiperrr/status/1072492889148702725
mimiperrr;2018-12-11 20:39;0;0;"demi apa gilaa";;;;"1072486080845438977";https://twitter.com/mimiperrr/status/1072486080845438977
mimiperrr;2018-12-11 20:38;1;0;"skinnyfabs";;;;"1072485733414391808";https://twitter.com/mimiperrr/status/1072485733414391808
mimiperrr;2018-12-06 21:32;0;0;"Lampung:(";;;;"1070687318573379585";https://twitter.com/mimiperrr/status/1070687318573379585
mimiperrr;2018-12-06 21:31;0;0;"Duh lagi punya nih wkwkkw";;;;"1070687197844500483";https://twitter.com/mimiperrr/status/1070687197844500483
