username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
mxfida;2019-01-22 15:03;3;4;"it’s easy to romanticize things when they’re far away";;;;"1087621676592852992";https://twitter.com/mxfida/status/1087621676592852992
mxfida;2019-01-22 00:51;1;7;"setelah terlepas dari alkohol (karna memang ndak suka) dan nasi (karna ingin mencegah asupan gula berlebih), sekarang waktunya mengurangi konsumsi daging merah dan rokok. bismillah semoga lancar!";;;;"1087407308361977856";https://twitter.com/mxfida/status/1087407308361977856
mxfida;2019-01-21 17:52;3;2;"mimpi akhir-akhir ini seru. jadi pengen tidur terus.";;;;"1087301807523516416";https://twitter.com/mxfida/status/1087301807523516416
mxfida;2019-01-21 17:42;1;0;"MOTIVASIII MOTIVASIIIII SIAPA JUAL MOTIVASIIIIIII";;;;"1087299474290962433";https://twitter.com/mxfida/status/1087299474290962433
mxfida;2019-01-21 14:10;0;0;"HAHAHAHAHAHA ANJIR GUE JUGA SEMPET MIKIR INI";;;;"1087246045338169344";https://twitter.com/mxfida/status/1087246045338169344
mxfida;2019-01-20 19:35;3;2;"butuh ke psikolog sih";;;;"1086965523353526272";https://twitter.com/mxfida/status/1086965523353526272
mxfida;2019-01-19 12:45;7;1;"gak setiap orang yang punya masalah itu butuh denger saran dari temennya. sebagian besar udah tau apa yang harus dilakuin, kok. siapin waktu, telinga, dan pengertiannya aja. kadang mereka cuma butuh didenger. iya, didenger.";;;;"1086499973812805632";https://twitter.com/mxfida/status/1086499973812805632
mxfida;2019-01-19 11:56;4;1;"emang masih jaman ya lagi party malah cari musuh biar bisa bikin rusuh? duh, udah 2019 nih, bro. coba belajar dateng ke party buat nikmatin musik, jangan cuman ngusik. pic.twitter.com/q4YBQ3vG5f";;;;"1086487498748874752";https://twitter.com/mxfida/status/1086487498748874752
mxfida;2019-01-19 00:00;2;3;"susah bodo amat jadi bodoh amat";;;;"1086307255044034560";https://twitter.com/mxfida/status/1086307255044034560
mxfida;2019-01-16 03:56;0;0;"cakep bener dah u";;;;"1085279686567981056";https://twitter.com/mxfida/status/1085279686567981056
mxfida;2019-01-13 11:10;0;0;"belum lengkap sih pengetahuan gue tentang binatang, tapi mungkin gue akan coba mendengar suara hati musang ya..";;;;"1084301544135114752";https://twitter.com/mxfida/status/1084301544135114752
mxfida;2019-01-13 02:31;112;29;"punten pisan tapi aing pusing kalo tiap ketemu manusia harus ngomongin manusia lainnya. kayaknya ngobrol sama harimau seru yah? pa-haum-haum aja gitu..";;;;"1084171149716537344";https://twitter.com/mxfida/status/1084171149716537344
mxfida;2019-01-13 02:25;14;1;"mengerikan.. 2019 baru mulai, dramanya sudah berlebihan.";;;;"1084169624520814592";https://twitter.com/mxfida/status/1084169624520814592
mxfida;2019-01-09 22:38;0;0;"itu ceritaque. *padahal gak ditanya*";;;;"1083025215464992768";https://twitter.com/mxfida/status/1083025215464992768
mxfida;2019-01-09 22:35;1;1;"“iya gue bakal selalu jagain lo dan mastiin lo aman.. selama gak ada cewek gue” DUARRRRRR lipa.";;;;"1083024381503107072";https://twitter.com/mxfida/status/1083024381503107072
mxfida;2019-01-03 13:13;3;0;"dor. pic.twitter.com/5MvgfTxp1T";;;;"1080708606469726209";https://twitter.com/mxfida/status/1080708606469726209
mxfida;2019-01-03 01:29;1;1;"sayang, yang pinternya gak banyak.";;;;"1080531580865527808";https://twitter.com/mxfida/status/1080531580865527808
mxfida;2019-01-03 01:29;7;0;"gue masih yakin & optimis sih kalo yang pinter itu tetep akan lebih luluh sama pola pikir ketimbang fisik.";;;;"1080531419191898112";https://twitter.com/mxfida/status/1080531419191898112
mxfida;2018-12-27 21:14;0;0;"TIDAK LAIN DAN TIDAK BUKAN https:// twitter.com/eizaARDAN/stat us/1078292558466281472 …";;;;"1078292960758788098";https://twitter.com/mxfida/status/1078292960758788098
mxfida;2018-12-27 19:35;7;0;"cepet juga udah mau 2019 lagi. tadinya pengen bilang “2018 gak kerasa” tapi kenyataannya.. KERASA BANGET SIH KAYAKNYA??? ya mayan lah kecut-kecutnya mah.";;;;"1078268184296222724";https://twitter.com/mxfida/status/1078268184296222724
mxfida;2018-12-25 19:13;1;1;"2019 pengen banget bisa sampe ditanyain gue kemana/kemana aja";;;;"1077537795491618816";https://twitter.com/mxfida/status/1077537795491618816
mxfida;2018-12-25 19:06;0;0;"pis lop en gawl";;;;"1077535995359162369";https://twitter.com/mxfida/status/1077535995359162369
mxfida;2018-12-19 01:52;0;0;"kan kasian nanti nav & inul vizta bisa bangkrut :_(";;;;"1075101390400151552";https://twitter.com/mxfida/status/1075101390400151552
mxfida;2018-12-19 01:50;0;0;"salah satu hal yang membuat saya agak tertampar sedikit saat kemarin datang ke Sunday Block Party adalah.. tetiba teringat dan tidak sengaja membandingkan dengan Bandung yang baru bisa ramai kalau sang DJ memainkan lagu yang karaoke-able sahaja.";;;;"1075101130298802176";https://twitter.com/mxfida/status/1075101130298802176
mxfida;2018-12-18 22:35;1;1;"aku laper pengen ngewine";;;;"1075051989594181632";https://twitter.com/mxfida/status/1075051989594181632
mxfida;2018-12-18 19:31;1;0;"nyaris lupa cara tutup telinga. duh, dasar mulut manusia..";;;;"1075005599585161216";https://twitter.com/mxfida/status/1075005599585161216
mxfida;2018-12-14 12:38;0;2;"emang anaknya suka sama tantangan dan melatih adrenalin aja kayaknya. dikasih yang sendiri, merem-merem bae. dikasih yang ada gandengannya, langsung melotot. ya. gimana. dong.";;;;"1073452027227717633";https://twitter.com/mxfida/status/1073452027227717633
mxfida;2018-12-12 02:19;0;0;"22 pula siapa.......";;;;"1072571570743320577";https://twitter.com/mxfida/status/1072571570743320577
mxfida;2018-12-12 02:18;2;2;"ngerasa gak tau lagi pergi kemana, terus lupa jalan baliknya. ini namanya nyasar bukan sih? lanjut maju sambil cari tujuan atau mundur lagi cari jalan pulang—bingung.";;;;"1072571412483895296";https://twitter.com/mxfida/status/1072571412483895296
mxfida;2018-12-12 02:12;0;0;"hmm 32 hmm";;;;"1072569930174918656";https://twitter.com/mxfida/status/1072569930174918656
mxfida;2018-12-11 10:35;0;1;"andaikan semua orang kalo ngechat tuh straight to the point, gak bertele-tele dan basa basi dulu (apalagi balesnya lama), niscaya aing gak bakal bikin tweet ini karna merasa banyak waktunya terbuang oleh para pelaku hit & run.";;;;"1072334082938421254";https://twitter.com/mxfida/status/1072334082938421254
mxfida;2018-12-11 10:32;1;1;"lelah dengan obrolan “muf” “ya?” *ilang* “muf” “ya???” dst zzzzzz wasting time";;;;"1072333154676076545";https://twitter.com/mxfida/status/1072333154676076545
mxfida;2018-12-11 02:21;3;2;"sedang diambang antara keinginan untuk ‘ancur’ yang seancur-ancurnya dan ‘sehat’ yang sesehat-sesehatnya. kumaha atuh..";;;;"1072209822798336000";https://twitter.com/mxfida/status/1072209822798336000
mxfida;2018-12-11 02:19;0;0;"vaini vaici";;;;"1072209164116447232";https://twitter.com/mxfida/status/1072209164116447232
mxfida;2018-12-06 05:06;1;8;"“damaged people are dangerous because they know they can survive”";;;;"1070439286212767744";https://twitter.com/mxfida/status/1070439286212767744
