username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
netmediatama;2019-01-23 22:52;3;20;"WIT udah selesai.. Tapi, jangan sedih, karena program-program baru dari kami siap menemani weekend kamu! https:// twitter.com/JT18Tajo/statu s/1088018382845165568 …";;;;"1088102054449557505";https://twitter.com/netmediatama/status/1088102054449557505
netmediatama;2019-01-23 22:50;1;15;"Haha, oh ya? Jangan dibiasain dong.. Semoga besok2 bisa nonton ya.. https:// twitter.com/kookie_anisa/s tatus/1088045202135146496 …";;;;"1088101550906470401";https://twitter.com/netmediatama/status/1088101550906470401
netmediatama;2019-01-23 22:30;108;217;"Cewek kalo lagi bete, semuanya jadi serba salah! Tapi, kalo kamu berhasil bikin dia senyum, itu baru prestasi.. Hihihi pic.twitter.com/yxfxRwai70";;;;"1088096519289360384";https://twitter.com/netmediatama/status/1088096519289360384
netmediatama;2019-01-23 22:04;6;27;"Ternyata @desta80s menebak Abangnya @vincentrompies ! @TonightShow_NET pic.twitter.com/sA04mdW3u3";;@desta80s @vincentrompies @TonightShow_NET;;"1088090011654713344";https://twitter.com/netmediatama/status/1088090011654713344
netmediatama;2019-01-23 22:00;3;19;"Waktunya merapat, Commenters! Nona-nona cantik @angelicaaMP & @pammybowie siap meramaikan malam kalian sambil bersantai di rumah, nih! Jangan ditonton ya @TheComment_NET , jam 23.00 WIB! pic.twitter.com/vMR4l28psY";;@angelicaaMP @pammybowie @TheComment_NET;;"1088088973509947392";https://twitter.com/netmediatama/status/1088088973509947392
netmediatama;2019-01-23 21:23;5;36;"Kalau berhasil jawab, jangan Lupa Selebrasi ya Tonight Lovers! @TonightShow_NET pic.twitter.com/mkpN0Q8MTk";;@TonightShow_NET;;"1088079834012471298";https://twitter.com/netmediatama/status/1088079834012471298
netmediatama;2019-01-23 21:15;8;23;"Setelah pemain ditukar.. Ternyata @desta80s penyebab masalahnya! @TonightShow_NET pic.twitter.com/OzjqysWOo9";;@desta80s @TonightShow_NET;;"1088077789851336704";https://twitter.com/netmediatama/status/1088077789851336704
netmediatama;2019-01-23 21:15;4;19;"Mereka berhasil jawab juga nih! Waah! @TonightShow_NET pic.twitter.com/UnvGroBSLm";;@TonightShow_NET;;"1088077644506161152";https://twitter.com/netmediatama/status/1088077644506161152
netmediatama;2019-01-23 20:30;7;31;"YUHUU @TonightShow_NET LIVE malam ini bareng duo mama cantik yang bisa bikin Tonight Lovers nostalgia sama lagu-lagu mereka dulu. Yes! @tentangtiwi & @Tikaramlan ! Ada @TheOvertunes juga yg bakal bawain single terbaru mereka. Jam 21.00 WIB merapat di TONIGHT SHOW!!! pic.twitter.com/sGLvODHDIE";;@TonightShow_NET @tentangtiwi @Tikaramlan @TheOvertunes;;"1088066319478444032";https://twitter.com/netmediatama/status/1088066319478444032
netmediatama;2019-01-23 20:26;15;74;"Nih Mas Saifulbed kasih liat barang bawaannya. Eiya, selain jago makeup Mas Saifulbed juga jago olah vokal! Minat berguru sama dia? @Ini_Talkshow pic.twitter.com/HKcW3mKik5";;@Ini_Talkshow;;"1088065448485122048";https://twitter.com/netmediatama/status/1088065448485122048
netmediatama;2019-01-23 20:14;15;41;"Hayooo.. siapa yang mau ikut dimakeupin juga sama Mas Saifulbed? @Ini_Talkshow pic.twitter.com/mCjIdfGaXX";;@Ini_Talkshow;;"1088062494394900481";https://twitter.com/netmediatama/status/1088062494394900481
netmediatama;2019-01-23 20:07;7;37;"Mbak Iin mau main di Drama Musikal. Cocok? @Ini_Talkshow pic.twitter.com/cL1xk3iow0";;@Ini_Talkshow;;"1088060640160182272";https://twitter.com/netmediatama/status/1088060640160182272
netmediatama;2019-01-23 19:21;23;115;"Siapa yang paling jago akting? @Ini_Talkshow pic.twitter.com/gJdUPExeEr";;@Ini_Talkshow;;"1088049006414942208";https://twitter.com/netmediatama/status/1088049006414942208
