username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
nomaddust;2019-01-23 21:28;0;0;"https:// soundcloud.com/rockeritoo/gre en-day-21-guns-1 …";;;;"1088080993238437891";https://twitter.com/nomaddust/status/1088080993238437891
nomaddust;2019-01-23 18:49;0;0;"#pazzainteramala #interyouth #primeveratimcup https://www. pscp.tv/w/bxhMIjFvTmps REJEb0diand8MVlwS2tWblpBVkJ4ak6ZwKWubzOVxdBs3l5NUdvSzHxh_AVWS4AYdclqVwc- …";;;#pazzainteramala #interyouth #primeveratimcup;"1088041064957599751";https://twitter.com/nomaddust/status/1088041064957599751
nomaddust;2019-01-23 17:02;0;0;"iki barisan sang mantan, bolone barisan petruk.. :( pic.twitter.com/xNeelCMEK2";;;;"1088014130718461952";https://twitter.com/nomaddust/status/1088014130718461952
nomaddust;2019-01-22 20:02;0;0;"My week on Twitter : 13 Mentions, 12 Likes, 8 Retweets, 16.5K Retweet Reach, 13 Replies. See yours with https:// sumall.com/performancetwe et?utm_source=twitter&utm_medium=publishing&utm_campaign=performance_tweet&utm_content=text_and_media&utm_term=7768c946a590c6e914db2b55 … pic.twitter.com/6k49ZKJnWM";;;;"1087696895491956736";https://twitter.com/nomaddust/status/1087696895491956736
nomaddust;2019-01-22 09:01;1;0;"Our biggest fans this week: @FreestoneReborn , @mellianshnt , @_shofa_m . Thank you! via https:// sumall.com/thankyou?utm_s ource=twitter&utm_medium=publishing&utm_campaign=thank_you_tweet&utm_content=text_and_media&utm_term=7768c946a590c6e914db2b55 … pic.twitter.com/kQUrNcM19G";;@FreestoneReborn @mellianshnt @_shofa_m;;"1087530579493601285";https://twitter.com/nomaddust/status/1087530579493601285
nomaddust;2019-01-22 01:19;0;0;"yosu jembudt.. :( beso gawe pagi tulung pic.twitter.com/hl9Ym83BNQ";;;;"1087414317882867712";https://twitter.com/nomaddust/status/1087414317882867712
nomaddust;2019-01-21 08:26;1;0;"it will be a tough day. however, it should still faced. c'mon b*tch! i'm ready! —nomaddust";;;;"1087159353327534082";https://twitter.com/nomaddust/status/1087159353327534082
nomaddust;2019-01-21 07:28;0;0;"";;;;"1087144845708165125";https://twitter.com/nomaddust/status/1087144845708165125
nomaddust;2019-01-21 00:26;0;0;"whoooaaaaa..... ty!";;;;"1087038654462099456";https://twitter.com/nomaddust/status/1087038654462099456
nomaddust;2019-01-21 00:14;0;0;"uehmm.. naq goodreads detected! om bagi PDF eng ver, hard-boiled wonderland and the end of the world nya haruki murakami, ada?";;;;"1087035584944558080";https://twitter.com/nomaddust/status/1087035584944558080
nomaddust;2019-01-20 23:47;0;1;"sooner or later we must realize there is no station, no one place to arrive at once and for all. the true joy of life is the trip! — robert j. hastings";;;;"1087028842542186498";https://twitter.com/nomaddust/status/1087028842542186498
nomaddust;2019-01-20 22:58;0;0;"";;;;"1087016590783070209";https://twitter.com/nomaddust/status/1087016590783070209
nomaddust;2019-01-20 20:49;0;0;"slentingan semangit. https:// twitter.com/mellianshnt/st atus/1086952266693632001 …";;;;"1086984071064956929";https://twitter.com/nomaddust/status/1086984071064956929
nomaddust;2019-01-20 20:44;0;1;"ya nyong ajari, men pinter kaya koe mas :(";;;;"1086982828816949248";https://twitter.com/nomaddust/status/1086982828816949248
nomaddust;2019-01-20 20:43;0;0;"@scrapper_142 mbok di follback jahad :(";;@scrapper_142;;"1086982538839478273";https://twitter.com/nomaddust/status/1086982538839478273
nomaddust;2019-01-20 20:37;0;0;"WOY SENDER GW CUMAN PEN TAW LU PAKE FONT APA KASI TAW LAH JANCOK";;;;"1086980993594998785";https://twitter.com/nomaddust/status/1086980993594998785
nomaddust;2019-01-20 20:24;0;1;"大丈夫ですよ! はじめましてお目にかかれて光栄です 私はインドネシアから来ました";;;;"1086977844972941312";https://twitter.com/nomaddust/status/1086977844972941312
nomaddust;2019-01-20 19:58;0;0;"—dear universe, pls fully bless me https:// link.medium.com/si6nv3YdDT";;;;"1086971227426631683";https://twitter.com/nomaddust/status/1086971227426631683
nomaddust;2019-01-20 09:00;3;5;"君は目の前で last smile ただ 戸惑ってるよな 君の style Oh 幼気で遠目な loser 会いたい気持ちが go away @utukusikhibiyno https:// youtu.be/ktuUwU7BX_o";;@utukusikhibiyno;;"1086805656340819970";https://twitter.com/nomaddust/status/1086805656340819970
nomaddust;2019-01-19 16:08;0;0;"auakh mbon bener lupa yak sama gw";;;;"1086550879660957696";https://twitter.com/nomaddust/status/1086550879660957696
nomaddust;2019-01-19 15:47;0;0;"teranglah, udah kelar ngga bisa balik. jalan kaki ini mah soalnya pic.twitter.com/VsrPjkcXTC";;;;"1086545761318260736";https://twitter.com/nomaddust/status/1086545761318260736
nomaddust;2019-01-19 15:45;0;0;"@siambonnn ehhhh ambon sombong amat lau wkwkwkwkw kolot yak auakh udah lupa sma gw";;@siambonnn;;"1086545194168639489";https://twitter.com/nomaddust/status/1086545194168639489
nomaddust;2019-01-19 08:35;0;0;"ini juga ketularan";;;;"1086437081369391104";https://twitter.com/nomaddust/status/1086437081369391104
nomaddust;2019-01-19 08:35;0;0;"ora obah ora mangan; "berbahagialah dia yang makan dari keringatnya sendiri bersuka karena usahanya sendiri dan maju karena pengalamannya sendiri. -nyai ontosoroh" pic.twitter.com/baAi1L8AGb";;;;"1086436974758486016";https://twitter.com/nomaddust/status/1086436974758486016
nomaddust;2019-01-19 07:57;0;2;"apa dayaku mau ikutan #chatkeluarga tapi ga punya orang tua.";;;#chatkeluarga;"1086427343025987585";https://twitter.com/nomaddust/status/1086427343025987585
nomaddust;2019-01-19 07:34;0;0;"https:// twitter.com/Twitter/status /1085915351605424128 …";;;;"1086421610431602689";https://twitter.com/nomaddust/status/1086421610431602689
nomaddust;2019-01-19 07:33;0;0;"mantul.. janlups ngops~";;;;"1086421338091225088";https://twitter.com/nomaddust/status/1086421338091225088
nomaddust;2019-01-19 06:37;0;0;"moodbooster dari 2013 https:// soundcloud.com/oaktheory_id/f irst-rabbit-jkt48-cover …";;;;"1086407287600640000";https://twitter.com/nomaddust/status/1086407287600640000
nomaddust;2019-01-19 01:10;0;0;"https:// soundcloud.com/oaktheory/you- cant-hurry-that-stray-sandal-cover …";;;;"1086325015895633920";https://twitter.com/nomaddust/status/1086325015895633920
nomaddust;2019-01-18 20:49;0;1;"yasudah sana sana ambil sepedanya.. https:// twitter.com/FreestoneRebor n/status/1086258832718802944 …";;;;"1086259229038497793";https://twitter.com/nomaddust/status/1086259229038497793
nomaddust;2019-01-18 20:48;0;1;"seriously, isn't joke. https:// twitter.com/allenerie/stat us/1086249522156785664 …";;;;"1086259064915410948";https://twitter.com/nomaddust/status/1086259064915410948
nomaddust;2019-01-18 20:45;0;0;"ikan paus, ikan teri, ikan.......... https:// twitter.com/FreestoneRebor n/status/1086258000334020608 …";;;;"1086258372830146561";https://twitter.com/nomaddust/status/1086258372830146561
nomaddust;2019-01-18 20:42;1;0;"teeeeetttt... disturbed - liberate! https:// twitter.com/FreestoneRebor n/status/1086257148995133440 …";;;;"1086257631075827712";https://twitter.com/nomaddust/status/1086257631075827712
nomaddust;2019-01-18 20:40;0;0;"pls don't cry, u r wasting your time. 16 lines will make me feel fine, 10 yrs ago i went blind. i been on my own since age 9. gustav! i really miss see u perform on the stage. listen to 16 Lines by ☆LiL PEEP☆ #np on #soundcloud #lilpeep #lilpeep4ever https:// soundcloud.com/lil_peep/16-li nes …";;;#np #soundcloud #lilpeep #lilpeep4ever;"1086256933714051072";https://twitter.com/nomaddust/status/1086256933714051072
nomaddust;2019-01-18 19:19;0;0;":' https:// twitter.com/afcbournemouth /status/1085544201184522242 …";;;;"1086236559727243265";https://twitter.com/nomaddust/status/1086236559727243265
nomaddust;2019-01-18 15:18;0;0;"yes doc, it's been reminded. https:// twitter.com/giasison/statu s/1086157859728093184 …";;;;"1086175965267427330";https://twitter.com/nomaddust/status/1086175965267427330
nomaddust;2019-01-18 14:38;0;0;"alle!!! it was an extraordinary work of art.";;;;"1086165840024621056";https://twitter.com/nomaddust/status/1086165840024621056
nomaddust;2019-01-17 17:05;3;0;"meskipun sakit jangan diratapi tapi nikmati, itu adalah hakikat bersyukur!";;;;"1085840411527077894";https://twitter.com/nomaddust/status/1085840411527077894
nomaddust;2019-01-17 13:55;0;0;"https:// twitter.com/archillect/sta tus/1085788836528046080 …";;;;"1085792780863983617";https://twitter.com/nomaddust/status/1085792780863983617
nomaddust;2019-01-17 13:22;0;0;"bwek";;;;"1085784363655036929";https://twitter.com/nomaddust/status/1085784363655036929
nomaddust;2019-01-17 13:21;0;0;"digivice nya cp neee :' https:// twitter.com/dittameliaa/st atus/1085782159284027392 …";;;;"1085784251314798592";https://twitter.com/nomaddust/status/1085784251314798592
nomaddust;2019-01-16 19:17;0;1;"as reminder. pic.twitter.com/w9Xz1ETB8u";;;;"1085511242624655360";https://twitter.com/nomaddust/status/1085511242624655360
nomaddust;2019-01-16 19:16;1;0;"as rimender. pic.twitter.com/hqbRbP6AwY";;;;"1085511100915830784";https://twitter.com/nomaddust/status/1085511100915830784
nomaddust;2019-01-16 18:54;0;0;"serius emang berat kalo dirasa. tapi mau gimana lagi, kudu diadepinkan? jangan jadi pecundang. -janji hari kemarin udah lupa?";;;;"1085505453671342081";https://twitter.com/nomaddust/status/1085505453671342081
nomaddust;2019-01-16 18:51;0;0;"numpang lewat den.. pic.twitter.com/x4E9QYGQJh";;;;"1085504902086877184";https://twitter.com/nomaddust/status/1085504902086877184
nomaddust;2019-01-16 06:53;0;0;"menduuuong terooos :( bayaran jeh harian ngene ki nek udan tenan ngenes'e";;;;"1085324159536656385";https://twitter.com/nomaddust/status/1085324159536656385
nomaddust;2019-01-16 06:35;0;0;"ngene ki ngenes, tapi tep kudu semangat laa. emut target mu jik owwkeh~";;;;"1085319692498006016";https://twitter.com/nomaddust/status/1085319692498006016
nomaddust;2019-01-16 06:34;0;0;"mbok tulung udan rodo terang o sithik~ mbutgawe ku soale mlaku ra ono kendaraan :'))";;;;"1085319221448302592";https://twitter.com/nomaddust/status/1085319221448302592
nomaddust;2019-01-16 06:27;0;0;"vi, mbok ayuh ML.. id mu opo?";;;;"1085317626925015040";https://twitter.com/nomaddust/status/1085317626925015040
nomaddust;2019-01-15 21:26;0;0;"opo ki mas?";;;;"1085181434887778306";https://twitter.com/nomaddust/status/1085181434887778306
nomaddust;2019-01-15 15:30;0;0;"pic.twitter.com/bHjrxIY7fT";;;;"1085091816074928128";https://twitter.com/nomaddust/status/1085091816074928128
nomaddust;2019-01-15 15:29;0;0;"thomas brodie sama kaya scode idolaqqq https:// twitter.com/JISOODEPOK/sta tus/1085091146571730944 …";;;;"1085091621501194246";https://twitter.com/nomaddust/status/1085091621501194246
nomaddust;2019-01-15 15:27;0;0;"mpris, apa kabar? lama ga tengok FX terakhir waktu event mahagita, lama pisan itu :') https:// twitter.com/frieskaJKT48/s tatus/1085090161430429696 …";;;;"1085091195053780992";https://twitter.com/nomaddust/status/1085091195053780992
nomaddust;2019-01-15 15:25;0;0;"y mangap :(";;;;"1085090630601138176";https://twitter.com/nomaddust/status/1085090630601138176
nomaddust;2019-01-15 15:19;0;0;"@JISOODEPOK hape baru langsung instal peUbeGe.";;@JISOODEPOK;;"1085089027395448833";https://twitter.com/nomaddust/status/1085089027395448833
nomaddust;2019-01-15 15:18;0;0;"nggak suka pedes? w kasi tomat dah pic.twitter.com/MRD3XqHF82";;;;"1085088851842854913";https://twitter.com/nomaddust/status/1085088851842854913
nomaddust;2019-01-15 15:15;0;0;"@mellianshnt pic.twitter.com/lIVAzs4lbh";;@mellianshnt;;"1085088032049360896";https://twitter.com/nomaddust/status/1085088032049360896
nomaddust;2019-01-15 15:12;0;0;":') https:// twitter.com/Mr_DrinksOnMe/ status/1084727625740779520 …";;;;"1085087375846330369";https://twitter.com/nomaddust/status/1085087375846330369
nomaddust;2019-01-15 15:06;0;0;"Rest In Peace, Don. https:// twitter.com/AFCLiverpool/s tatus/1085084668360298497 …";;;;"1085085887010983936";https://twitter.com/nomaddust/status/1085085887010983936
nomaddust;2019-01-15 15:03;0;0;"disaat spt ini memang sih jadi moodbooster pisan US 365nichi no kamihihouki. terlebih lagi miyu yang cover makin ga bisa move on https:// youtu.be/FB4KUMcWHdw";;;;"1085084938087497728";https://twitter.com/nomaddust/status/1085084938087497728
nomaddust;2019-01-14 15:25;0;0;"for et øyeblikk tenkte det igjen og igjen, om drømmen bak overgangen, kommer frodig oppføring av gapet. danset etter avslappende i stillhet, jeg skal plukke opp en avtale, i vær så snill.";;;;"1084728104826728449";https://twitter.com/nomaddust/status/1084728104826728449
nomaddust;2019-01-14 12:37;0;0;"adikmu yang sekarang sudah jau lebih optimis dari hari kemarin. see you soon :)";;;;"1084685843229421568";https://twitter.com/nomaddust/status/1084685843229421568
nomaddust;2019-01-14 12:04;0;0;"bukan bukan.. memang gak salah.. tapi baca itu jadi kangen Ubud..";;;;"1084677713040859139";https://twitter.com/nomaddust/status/1084677713040859139
nomaddust;2019-01-14 12:01;0;0;"ingin rasanya... https:// twitter.com/mdyasukarta/st atus/1084674954954563584 …";;;;"1084676750611644416";https://twitter.com/nomaddust/status/1084676750611644416
nomaddust;2019-01-12 06:59;0;0;"tjiaaaaaaaaaaa ^^ https:// twitter.com/Mentimoen/stat us/1083871228245540864 …";;;;"1083876088827174913";https://twitter.com/nomaddust/status/1083876088827174913
nomaddust;2019-01-11 18:21;0;0;"^ https:// twitter.com/dw_indonesia/s tatus/1083287820855361537 …";;;;"1083685309089341441";https://twitter.com/nomaddust/status/1083685309089341441
nomaddust;2019-01-10 16:58;0;0;"yang lekomen tetep tsel, tapi klo domper lagi kanker belpaling smaltflen ato xl. tapi ya gt kadang suka... :(";;;;"1083302011829800960";https://twitter.com/nomaddust/status/1083302011829800960
