username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pergijauh;2019-01-24 06:26;36;86;"Alangkah eloknya jika link youtube creator juga diikutsertakan";;;;"1088216393932103680";https://twitter.com/pergijauh/status/1088216393932103680
pergijauh;2019-01-24 06:22;2;1;"Hmmmm";;;;"1088215436125061120";https://twitter.com/pergijauh/status/1088215436125061120
pergijauh;2019-01-23 19:12;257;275;"Sungguh kode yang savage sangat pic.twitter.com/lmTJzgHZ4F";;;;"1088046759887007745";https://twitter.com/pergijauh/status/1088046759887007745
pergijauh;2019-01-23 18:53;226;133;"Ini orang siapa sih? Suaranya polusi audio sekali";;;;"1088042096567578625";https://twitter.com/pergijauh/status/1088042096567578625
pergijauh;2019-01-23 18:32;454;897;"#NGOBAM minggu ini pic.twitter.com/hnKNyEWk11";;;#NGOBAM;"1088036785995767809";https://twitter.com/pergijauh/status/1088036785995767809
pergijauh;2019-01-23 10:42;0;0;"Kalo pas tanggal sidang ambil di pengadilan, kalo setelah tanggal sidang ambil di kejaksaan. Gampang gak ribet";;;;"1087918351995858946";https://twitter.com/pergijauh/status/1087918351995858946
pergijauh;2019-01-23 10:04;18;43;"Loket titang";;;;"1087908869173522433";https://twitter.com/pergijauh/status/1087908869173522433
pergijauh;2019-01-23 10:02;77;99;"Lagi nunggu dan ingin sekali punya kekuatan super mengganti huruf L dengan T pic.twitter.com/NUosrFljEW";;;;"1087908286039351296";https://twitter.com/pergijauh/status/1087908286039351296
pergijauh;2019-01-23 09:55;7;11;"Jangan terlalu percaya kata media https:// twitter.com/CiaWongkar/sta tus/1087906332357738497 …";;;;"1087906526654853121";https://twitter.com/pergijauh/status/1087906526654853121
pergijauh;2019-01-23 09:49;18;20;"Lem yang bagus buat mohawk itu merk indrakol, campur air hangat, sasak rambut dan taro lem di rambut sambil di hairdryer https:// twitter.com/Adezaniss/stat us/1087904733686157314 …";;;;"1087905132077957120";https://twitter.com/pergijauh/status/1087905132077957120
pergijauh;2019-01-23 09:47;265;352;"#15yearschallenge pic.twitter.com/6oKw1SEfvr";;;#15yearschallenge;"1087904605013344257";https://twitter.com/pergijauh/status/1087904605013344257
pergijauh;2019-01-23 09:17;672;848;"19 tahun yang lalu, kalo mau manggung naik bis mesti nunduk banget pic.twitter.com/Xtekw9WZui";;;;"1087897181653151744";https://twitter.com/pergijauh/status/1087897181653151744
pergijauh;2019-01-22 23:24;23;63;"Pasti karena akhlak https:// twitter.com/honeycoat_/sta tus/1087743779044376578 …";;;;"1087747849478057985";https://twitter.com/pergijauh/status/1087747849478057985
