username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
ramengvrl;2019-01-23 21:44;0;1;"NO WAY";;;;"1088084976980045825";https://twitter.com/ramengvrl/status/1088084976980045825
ramengvrl;2019-01-23 21:24;117;151;"is it wrong to hate “hanging out”?";;;;"1088080062732107776";https://twitter.com/ramengvrl/status/1088080062732107776
ramengvrl;2019-01-23 15:39;10;40;"its only half past 3 in the afternoon n im already drunk";;;;"1087993310017478664";https://twitter.com/ramengvrl/status/1087993310017478664
ramengvrl;2019-01-23 15:34;0;0;"sah aja";;;;"1087992047137628161";https://twitter.com/ramengvrl/status/1087992047137628161
ramengvrl;2019-01-22 01:21;93;93;"Ppl in my circle are working out on the daily n showing results. I’m starting tomorrow. In school, it’s where u sit. In real life, it’s who u hang out with.";;;;"1087415007829143552";https://twitter.com/ramengvrl/status/1087415007829143552
ramengvrl;2019-01-22 01:16;0;0;"bajingan uga wk";;;;"1087413762783473665";https://twitter.com/ramengvrl/status/1087413762783473665
ramengvrl;2019-01-22 00:03;0;0;"3T";;;;"1087395391740379140";https://twitter.com/ramengvrl/status/1087395391740379140
ramengvrl;2019-01-22 00:03;48;95;"i always keep all my emojis in yellow coz i dont wanna choose between black or white omg im so fuckin woke";;;;"1087395272995438600";https://twitter.com/ramengvrl/status/1087395272995438600
ramengvrl;2019-01-16 22:10;3;22;"THE LITTLE WIBU SIDE IN ME CANT EVEN https:// twitter.com/Kotaku/status/ 1085524283873525762 …";;;;"1085554823057928194";https://twitter.com/ramengvrl/status/1085554823057928194
ramengvrl;2019-01-16 16:18;119;183;"“i’ve been in this industry longer than u” Then why r u still here";;;;"1085466417409880064";https://twitter.com/ramengvrl/status/1085466417409880064
ramengvrl;2019-01-15 05:07;7;22;"Im really out here reading rikku x gippal fan fiction AT THIS HOUR";;;;"1084934992298266624";https://twitter.com/ramengvrl/status/1084934992298266624
ramengvrl;2019-01-13 15:18;58;76;"basically our problem https:// twitter.com/bbcthree/statu s/1083786618937532416 …";;;;"1084364063478435840";https://twitter.com/ramengvrl/status/1084364063478435840
ramengvrl;2019-01-13 11:56;0;0;"apa ni bwa2 gw";;;;"1084313251528073216";https://twitter.com/ramengvrl/status/1084313251528073216
ramengvrl;2019-01-12 17:46;0;1;"Seram";;;;"1084038939973844992";https://twitter.com/ramengvrl/status/1084038939973844992
ramengvrl;2019-01-12 00:14;0;0;"WKKk";;;;"1083774200882446336";https://twitter.com/ramengvrl/status/1083774200882446336
