username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
rexorenscounty;2019-01-23 15:51;0;0;"nga tau jg";;;;"1087996317723512833";https://twitter.com/rexorenscounty/status/1087996317723512833
rexorenscounty;2019-01-23 14:44;0;0;"paha atas";;;;"1087979303768346624";https://twitter.com/rexorenscounty/status/1087979303768346624
rexorenscounty;2019-01-23 14:43;0;0;"#banjarpride ((padahal batak))";;;#banjarpride;"1087979161153687553";https://twitter.com/rexorenscounty/status/1087979161153687553
rexorenscounty;2019-01-23 14:40;0;0;"shit";;;;"1087978341020372992";https://twitter.com/rexorenscounty/status/1087978341020372992
rexorenscounty;2019-01-22 23:15;0;0;"keduanya ada";;;;"1087745634336010240";https://twitter.com/rexorenscounty/status/1087745634336010240
rexorenscounty;2019-01-22 23:15;0;0;"shabat smp sma ku sama so yea smp sma";;;;"1087745579499675648";https://twitter.com/rexorenscounty/status/1087745579499675648
rexorenscounty;2019-01-22 22:45;0;0;"sbnrnya pinter, dikira org2 rajin pdhl males luar biasa. pandai berpura2/merahasiakan sesuatu(?) pandai beradaptasi, + BOROS.";;;;"1087738080465842176";https://twitter.com/rexorenscounty/status/1087738080465842176
rexorenscounty;2019-01-22 22:41;0;0;"batak wkwk";;;;"1087737079147126787";https://twitter.com/rexorenscounty/status/1087737079147126787
rexorenscounty;2019-01-22 22:40;0;0;"b";;;;"1087736792713842688";https://twitter.com/rexorenscounty/status/1087736792713842688
rexorenscounty;2019-01-22 21:49;0;0;"nicholas saputra";;;;"1087724052054192130";https://twitter.com/rexorenscounty/status/1087724052054192130
rexorenscounty;2019-01-22 21:49;0;0;"gigi";;;;"1087723928729108490";https://twitter.com/rexorenscounty/status/1087723928729108490
rexorenscounty;2019-01-22 21:49;0;0;"gewd";;;;"1087723854401888256";https://twitter.com/rexorenscounty/status/1087723854401888256
rexorenscounty;2019-01-22 21:48;0;0;"uwu jen jen pic.twitter.com/8XS0GJTD65";;;;"1087723761204260864";https://twitter.com/rexorenscounty/status/1087723761204260864
rexorenscounty;2019-01-22 21:47;0;0;"aku suka fashion kendall";;;;"1087723526658969601";https://twitter.com/rexorenscounty/status/1087723526658969601
