username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
shaaily01;2019-01-23 23:30;2;1;"Dia siapa sih? Yutuber? Anak ui? Subscribersnya brp? Perasaan yutuber gede aja gapernah secaper ini buat naikin subscribersnya.";;;;"1088111792558039041";https://twitter.com/shaaily01/status/1088111792558039041
shaaily01;2019-01-22 23:29;0;1;"Thxuuuu";;;;"1087749125796286466";https://twitter.com/shaaily01/status/1087749125796286466
shaaily01;2019-01-22 22:44;0;0;"Dm plis";;;;"1087737792858271744";https://twitter.com/shaaily01/status/1087737792858271744
shaaily01;2019-01-22 15:13;0;0;"Olshopnya apa btw nder?";;;;"1087624320585584640";https://twitter.com/shaaily01/status/1087624320585584640
shaaily01;2019-01-22 15:10;0;0;"@ichadsr";;@ichadsr;;"1087623541741150209";https://twitter.com/shaaily01/status/1087623541741150209
shaaily01;2019-01-22 14:31;0;0;"Bisa cod ga sis aku jg di tangerang hehe";;;;"1087613656135680000";https://twitter.com/shaaily01/status/1087613656135680000
shaaily01;2019-01-22 14:27;0;0;"Mau polosannya boleh?";;;;"1087612656570134528";https://twitter.com/shaaily01/status/1087612656570134528
shaaily01;2019-01-20 22:11;0;0;"Kampus gue 4rb dong:))";;;;"1087004602573058048";https://twitter.com/shaaily01/status/1087004602573058048
shaaily01;2019-01-18 13:05;0;0;"2";;;;"1086142443408351233";https://twitter.com/shaaily01/status/1086142443408351233
shaaily01;2019-01-16 10:14;0;0;"Butuh yg oatmilk banget muka lg breakout paraaah:(((";;;;"1085374789173370880";https://twitter.com/shaaily01/status/1085374789173370880
shaaily01;2019-01-13 15:04;0;0;"Baso aci akang di tangerangg";;;;"1084360597448183808";https://twitter.com/shaaily01/status/1084360597448183808
shaaily01;2019-01-10 15:03;0;0;"Tangerang ya ampun cantik banget mauuu";;;;"1083273032594948096";https://twitter.com/shaaily01/status/1083273032594948096
shaaily01;2019-01-10 14:45;0;0;"Dm yuk";;;;"1083268625354481664";https://twitter.com/shaaily01/status/1083268625354481664
shaaily01;2019-01-10 09:13;0;0;"Mauu";;;;"1083184934427082752";https://twitter.com/shaaily01/status/1083184934427082752
shaaily01;2019-01-10 08:33;0;0;"Dm shope pliss";;;;"1083175019063066624";https://twitter.com/shaaily01/status/1083175019063066624
shaaily01;2019-01-08 22:01;0;0;"Done thankU wish me luck";;;;"1082653638839988230";https://twitter.com/shaaily01/status/1082653638839988230
shaaily01;2019-01-01 23:10;0;0;"Tangerang der";;;;"1080134285443588096";https://twitter.com/shaaily01/status/1080134285443588096
shaaily01;2018-12-30 22:22;0;0;"Semoga aku beruntung salam dari Indonesia";;;;"1079397253884796928";https://twitter.com/shaaily01/status/1079397253884796928
shaaily01;2018-12-26 20:34;0;0;"Kita beda sehari(:";;;;"1077920470119329793";https://twitter.com/shaaily01/status/1077920470119329793
shaaily01;2018-12-14 08:43;0;0;"Semoga rezekinya lancar";;;;"1073393112356016129";https://twitter.com/shaaily01/status/1073393112356016129
shaaily01;2018-12-14 08:42;0;0;"Putih bgt beb kukunya:""""";;;;"1073392837813690369";https://twitter.com/shaaily01/status/1073392837813690369
shaaily01;2018-12-10 19:23;0;0;"Mau yang grey, wish me luck ga yang kesekian";;;;"1072104509650821121";https://twitter.com/shaaily01/status/1072104509650821121
shaaily01;2018-12-09 13:59;0;0;"Dom tangerang, mari mutualan";;;;"1071660513417777152";https://twitter.com/shaaily01/status/1071660513417777152
shaaily01;2018-12-09 13:06;2;2;"Happy birthday der semoga dimudahkan sbm dan dapat dikampus impian kamu jangan lupa berdoa untuk kelancaran segala galanya amiin.";;;;"1071647251280224256";https://twitter.com/shaaily01/status/1071647251280224256
shaaily01;2018-12-09 12:05;0;0;"";;;;"1071631832842625025";https://twitter.com/shaaily01/status/1071631832842625025
shaaily01;2018-12-09 12:01;0;1;"Moringa";;;;"1071630777194971136";https://twitter.com/shaaily01/status/1071630777194971136
shaaily01;2018-12-04 18:12;0;0;"Indomie Ramen Ultra Milo Tango Teh kotak";;;;"1069912261030858753";https://twitter.com/shaaily01/status/1069912261030858753
