username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
vngnc;2019-01-23 08:18;5;55;"Blade Runner 6666年 pic.twitter.com/aGfPGv5L6H";;;;"1087882131253030912";https://twitter.com/vngnc/status/1087882131253030912
vngnc;2019-01-23 06:56;10;83;"lookdev and final render in Octane 4.0.1 pic.twitter.com/Cy73QdrB5a";;;;"1087861618988408832";https://twitter.com/vngnc/status/1087861618988408832
vngnc;2019-01-23 06:54;18;123;"quick project for the week. done with the scene composition, onto refining and polishing final look! pic.twitter.com/P2JMENOLMT";;;;"1087861181862170624";https://twitter.com/vngnc/status/1087861181862170624
vngnc;2019-01-23 06:00;20;68;""hahaha grow up dude it's called life." bitch shut the fuck up i'm 22 and my mental state is barely stable and chemically imbalanced at times but probably still making more mula than you do. i'm sorry for putting money into the equation but hey that's life fam.";;;;"1087847504798838784";https://twitter.com/vngnc/status/1087847504798838784
vngnc;2019-01-23 05:57;30;57;"no srsly fuck off i don't need your opinion or "mature reply" on how to be sad. don't tell me how am i supposed to feel i don't even get to control so why the fuck are u making the calls like ur the owner of the house you FUCKING WANKER";;;;"1087846630382923776";https://twitter.com/vngnc/status/1087846630382923776
vngnc;2019-01-23 05:55;118;121;"FUCK OFF";;;;"1087846301297831936";https://twitter.com/vngnc/status/1087846301297831936
vngnc;2019-01-23 05:55;49;119;""grow up dude it's called life yada yada yada yada." tsk. fuck off.";;;;"1087846270440370177";https://twitter.com/vngnc/status/1087846270440370177
vngnc;2019-01-23 05:48;0;29;"pic.twitter.com/nziatBw3bI";;;;"1087844583394795520";https://twitter.com/vngnc/status/1087844583394795520
vngnc;2019-01-22 22:36;2;16;"...this was after a rather and lengthy moment of me agonizing my work and habits.";;;;"1087735710310899712";https://twitter.com/vngnc/status/1087735710310899712
vngnc;2019-01-22 22:35;4;25;"quick project i had this week taught me another way of doing and seeing kitbash as well as multi-pass rendering & compositing";;;;"1087735574868443137";https://twitter.com/vngnc/status/1087735574868443137
vngnc;2019-01-22 18:54;0;0;"iyak salah gua";;;;"1087679862901362689";https://twitter.com/vngnc/status/1087679862901362689
vngnc;2019-01-22 16:08;0;0;"ehiya sala yak hahahah 1800cc deng";;;;"1087638112417640448";https://twitter.com/vngnc/status/1087638112417640448
vngnc;2019-01-22 16:05;1;18;"kijang super g 1.6L toyota 7k engine";;;;"1087637467363045377";https://twitter.com/vngnc/status/1087637467363045377
vngnc;2019-01-22 12:26;1;37;"https:// youtu.be/KbiSxunJatM";;;;"1087582158166753281";https://twitter.com/vngnc/status/1087582158166753281
vngnc;2019-01-22 11:07;2;2;"desperate people do desperate things. sometime life force you to take underpaid jobs just to survive and make it until the end of the month. i know it sucks, but i believe the employer should be able to help and treat them better.";;;;"1087562461538963456";https://twitter.com/vngnc/status/1087562461538963456
