username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yuliakrtika;2019-01-23 19:14;0;0;"Ku juga lagi nanemin pakcoy dan bayam ni kakkkk. Seru abissss!";;;;"1088047313589755910";https://twitter.com/yuliakrtika/status/1088047313589755910
yuliakrtika;2019-01-22 18:03;0;0;"Betuuul:(";;;;"1087667059608055808";https://twitter.com/yuliakrtika/status/1087667059608055808
yuliakrtika;2019-01-22 16:55;0;0;"Ngebakar duit :(";;;;"1087649940430409729";https://twitter.com/yuliakrtika/status/1087649940430409729
yuliakrtika;2019-01-21 14:42;0;0;"Haduhhhh melelehhh cantek bgtttt";;;;"1087254026285010945";https://twitter.com/yuliakrtika/status/1087254026285010945
yuliakrtika;2019-01-21 09:40;0;0;"Mba itu aq, mba :(";;;;"1087178088654430208";https://twitter.com/yuliakrtika/status/1087178088654430208
yuliakrtika;2019-01-21 08:03;0;1;"Udah secantik ini masih aja diselingkuhin. Nggak ngerti lg ak wkwkkwkwkwk";;;;"1087153647279005698";https://twitter.com/yuliakrtika/status/1087153647279005698
yuliakrtika;2019-01-19 08:52;0;0;"Waspada bole si. Tp knp kucing yg disalahin mulu:(";;;;"1086441281646018560";https://twitter.com/yuliakrtika/status/1086441281646018560
yuliakrtika;2019-01-18 19:19;0;0;"Lagian ngelap nya kenapa gt dah rap";;;;"1086236672591679488";https://twitter.com/yuliakrtika/status/1086236672591679488
yuliakrtika;2019-01-18 17:18;0;0;"Wakakka";;;;"1086206173756321792";https://twitter.com/yuliakrtika/status/1086206173756321792
yuliakrtika;2019-01-18 17:17;0;0;"Rakry indy wakakak";;;;"1086205947649830913";https://twitter.com/yuliakrtika/status/1086205947649830913
yuliakrtika;2019-01-18 07:27;0;0;"Om jack makin tua makin flawless";;;;"1086057330993651712";https://twitter.com/yuliakrtika/status/1086057330993651712
yuliakrtika;2019-01-17 13:54;0;0;"Om jack";;;;"1085792378626011136";https://twitter.com/yuliakrtika/status/1085792378626011136
yuliakrtika;2019-01-17 10:38;0;0;"Dedeeee bayi. kamu sehat sehat ya dipeyut mommyppu";;;;"1085743105574264832";https://twitter.com/yuliakrtika/status/1085743105574264832
yuliakrtika;2019-01-17 08:58;0;0;"Ya Allah merasa tersindirrrr akutuh :(";;;;"1085717873559953408";https://twitter.com/yuliakrtika/status/1085717873559953408
yuliakrtika;2019-01-17 08:57;0;0;"Sungguh aesthethic sekali";;;;"1085717651773579265";https://twitter.com/yuliakrtika/status/1085717651773579265
yuliakrtika;2019-01-17 06:26;0;0;"Miwa dah bangun belom ya. Pasti smlm begadang nih hadehhhhh";;;;"1085679663068790784";https://twitter.com/yuliakrtika/status/1085679663068790784
yuliakrtika;2019-01-16 15:56;0;0;"Balita2 tetangga be like; ada dedeknya di peyut ante ni nte? Me: Wahai anak kecil ini peyut ante isinya nasi padang, roti malkist keju, martabak sisa smlm, pempek pempek + tekwan";;;;"1085460885349384193";https://twitter.com/yuliakrtika/status/1085460885349384193
yuliakrtika;2019-01-16 15:49;0;0;"Suhay numero uno ehe";;;;"1085458975875751936";https://twitter.com/yuliakrtika/status/1085458975875751936
yuliakrtika;2019-01-15 20:18;0;0;"Dokter aditya";;;;"1085164293664862208";https://twitter.com/yuliakrtika/status/1085164293664862208
yuliakrtika;2019-01-13 22:05;0;1;"Ini gaji 30 jt tentang apaan sih kok w kudet wkwk";;;;"1084466394161328128";https://twitter.com/yuliakrtika/status/1084466394161328128
yuliakrtika;2019-01-13 22:00;0;0;"Waduhhhh glowing bet kak arfiiiii";;;;"1084465295660441606";https://twitter.com/yuliakrtika/status/1084465295660441606
yuliakrtika;2019-01-13 12:04;0;0;"Ngakakkk.";;;;"1084315236327256064";https://twitter.com/yuliakrtika/status/1084315236327256064
yuliakrtika;2019-01-12 21:29;0;0;"Kesukaanku nihhhhhhhhh";;;;"1084094910188347393";https://twitter.com/yuliakrtika/status/1084094910188347393
yuliakrtika;2019-01-12 14:48;0;0;"Wkwkwk ngakak:(";;;;"1083994185030557696";https://twitter.com/yuliakrtika/status/1083994185030557696
yuliakrtika;2019-01-12 10:41;0;1;"Ini mamak bapak nya kemana heyyyyyy kzl emosiiiii. Aku yg nontoninnya aja bengek apalagi dia yg ngalamin sendiri";;;;"1083931877705015296";https://twitter.com/yuliakrtika/status/1083931877705015296
yuliakrtika;2019-01-11 22:40;0;0;"Teriris hatiku bacanyaaaa";;;;"1083750401617289216";https://twitter.com/yuliakrtika/status/1083750401617289216
