username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
zaraJKT48;2019-01-22 18:13;35;508;"kalo macet enaknya ...";;;;"1087669663549386752";https://twitter.com/zaraJKT48/status/1087669663549386752
zaraJKT48;2019-01-22 17:33;79;470;"pic.twitter.com/vzRpH8hent";;;;"1087659455708196864";https://twitter.com/zaraJKT48/status/1087659455708196864
zaraJKT48;2019-01-22 08:32;47;546;"pagi pagi liat hoshi di mv home adudu";;;;"1087523363625398272";https://twitter.com/zaraJKT48/status/1087523363625398272
zaraJKT48;2019-01-21 17:02;33;478;"aku jago naik atv gais,ngebut terus pepet pepet cekiiiit. keenan mukanya td kaya dilempar lumpur gemes bgt item mana dia putih!!";;;;"1087289249181839360";https://twitter.com/zaraJKT48/status/1087289249181839360
zaraJKT48;2019-01-21 17:00;88;680;"seru bgt hari ini dari mulai naik bis,makan tahu,main sepeda,makan siang,fun games,main air,dan naik atv sambil hujan2an plus lumpur kemana2. ini bukan basah kaya kehujanan lg tp kaya mandi lumpir hahaha. seruuu bgt asiiikkkk lagi abis mandi,nunggu api unggun + gitaran pic.twitter.com/t5UZun7fWu";;;;"1087288927663251456";https://twitter.com/zaraJKT48/status/1087288927663251456
zaraJKT48;2019-01-21 00:59;40;308;"HAHAHA GEMESSS @FilmKelCemara @ginaSnoer @anggiakharisma @yndLaurens https:// twitter.com/AyaJKT48_/stat us/1087042087164379137 …";;@FilmKelCemara @ginaSnoer @anggiakharisma @yndLaurens;;"1087046970131148801";https://twitter.com/zaraJKT48/status/1087046970131148801
zaraJKT48;2019-01-21 00:58;16;205;"makasih loveeeeee";;;;"1087046687162421248";https://twitter.com/zaraJKT48/status/1087046687162421248
zaraJKT48;2019-01-21 00:57;18;268;"Makasih kak viennyyyyy";;;;"1087046588772409344";https://twitter.com/zaraJKT48/status/1087046588772409344
zaraJKT48;2019-01-21 00:02;37;471;"selamaaat malam . sekarang aku br dirumah abis nonton how to train your dragon! aku suka bgt bgt!!! aku nonton dr 1&2. dan mau siap2. jam 5 aku mau pergi ke lembang . selamat bobo ..";;;;"1087032558372585474";https://twitter.com/zaraJKT48/status/1087032558372585474
zaraJKT48;2019-01-20 23:59;23;270;"Iiih makasih kak haruka https:// twitter.com/Haruka_NKGW10/ status/1087006137566736386 …";;;;"1087031771856723969";https://twitter.com/zaraJKT48/status/1087031771856723969
zaraJKT48;2019-01-20 20:59;290;1627;"Thanks for today. Ada foto kemarin. Cantik ga? pic.twitter.com/uea38gieXc";;;;"1086986670673518593";https://twitter.com/zaraJKT48/status/1086986670673518593
zaraJKT48;2019-01-20 00:35;42;412;"WKW masih ae booor bor";;;;"1086678561338011648";https://twitter.com/zaraJKT48/status/1086678561338011648
zaraJKT48;2019-01-20 00:14;22;284;"makaaaasihh sayangkuuuu";;;;"1086673220579790851";https://twitter.com/zaraJKT48/status/1086673220579790851
zaraJKT48;2019-01-20 00:14;75;479;"TUMBEN LO HAHAHA FOR THE FIRST TIME IN FOREVER. THX.";;;;"1086673161607761920";https://twitter.com/zaraJKT48/status/1086673161607761920
zaraJKT48;2019-01-19 23:23;144;729;"Alhamdulillah hari ini @FilmKelCemara menang beberapa kategori.. Terimakasih banyak @PialaMaya atas apresiasinya Terimakasih kalian semua yg selalu dukung akuuu. Love!";;@FilmKelCemara @PialaMaya;;"1086660513658941440";https://twitter.com/zaraJKT48/status/1086660513658941440
zaraJKT48;2019-01-19 23:21;249;1254;"pic.twitter.com/i2tj7pwTvu";;;;"1086659828242468864";https://twitter.com/zaraJKT48/status/1086659828242468864
zaraJKT48;2019-01-19 01:39;30;504;"kalo lagi laper pars tp ngantuk para kalian pilih apa";;;;"1086332171667685376";https://twitter.com/zaraJKT48/status/1086332171667685376
