username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
BebyOshi;2019-01-23 19:15;0;0;"[INFO] Khusus yg ingin msk grup line BebyOshi isi formulir http:// goo.gl/forms/brp1VKs6 bm … dan tunggu konfirmasi dari kami. Terimakasih :D";;;;"1088047682000584706";https://twitter.com/BebyOshi/status/1088047682000584706
BebyOshi;2019-01-23 12:15;0;0;"[INFO] Khusus yg ingin msk grup line BebyOshi isi formulir http:// goo.gl/forms/brp1VKs6 bm … dan tunggu konfirmasi dari kami. Terimakasih :D";;;;"1087941986504585216";https://twitter.com/BebyOshi/status/1087941986504585216
BebyOshi;2019-01-23 08:15;2;1;"Khusus yang ingin berpartisipasi dalam project #TogetherWeCan isi form https:// goo.gl/forms/zltngPN9 BDo2tEs53 … Ditunggu! Terimakasih :D";;;#TogetherWeCan;"1087881587868323840";https://twitter.com/BebyOshi/status/1087881587868323840
BebyOshi;2019-01-22 12:15;2;1;"[INFO] Khusus yg ingin msk grup line BebyOshi isi formulir http:// goo.gl/forms/brp1VKs6 bm … dan tunggu konfirmasi dari kami. Terimakasih :D";;;;"1087579596126511104";https://twitter.com/BebyOshi/status/1087579596126511104
BebyOshi;2019-01-22 08:15;0;0;"Khusus yang ingin berpartisipasi dalam project #TogetherWeCan isi form https:// goo.gl/forms/zltngPN9 BDo2tEs53 … Ditunggu! Terimakasih :D";;;#TogetherWeCan;"1087519201349197824";https://twitter.com/BebyOshi/status/1087519201349197824
BebyOshi;2019-01-21 15:39;6;6;"Yuk di follow buat temen" Cirebon dan sekitarnya https:// twitter.com/Fangirls48Crb_ /status/1082808359483367424 …";;;;"1087268404635922432";https://twitter.com/BebyOshi/status/1087268404635922432
BebyOshi;2019-01-21 12:15;0;0;"[INFO] Khusus yg ingin msk grup line BebyOshi isi formulir http:// goo.gl/forms/brp1VKs6 bm … dan tunggu konfirmasi dari kami. Terimakasih :D";;;;"1087217211175972864";https://twitter.com/BebyOshi/status/1087217211175972864
BebyOshi;2019-01-21 08:15;2;0;"Khusus yang ingin berpartisipasi dalam project #TogetherWeCan isi form https:// goo.gl/forms/zltngPN9 BDo2tEs53 … Ditunggu! Terimakasih :D";;;#TogetherWeCan;"1087156812795658241";https://twitter.com/BebyOshi/status/1087156812795658241
BebyOshi;2019-01-20 14:22;0;1;"Yuk.. jelang penutupan PO uwuwu Sudah memasuki tanggal 20 Januari 2019 nih Yakin gak mau samaan lagi sama oshi ? pic.twitter.com/6Qf5Rt1FxR";;;;"1086886658518044672";https://twitter.com/BebyOshi/status/1086886658518044672
BebyOshi;2019-01-20 12:15;0;1;"[INFO] Khusus yg ingin msk grup line BebyOshi isi formulir http:// goo.gl/forms/brp1VKs6 bm … dan tunggu konfirmasi dari kami. Terimakasih :D";;;;"1086854820978278400";https://twitter.com/BebyOshi/status/1086854820978278400
