username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Femyliafah;2019-01-22 17:42;0;0;"You’re not fat. You’re just on a wrong planet. pic.twitter.com/IkTqVN9LrK";;;;"1087661816480591872";https://twitter.com/Femyliafah/status/1087661816480591872
Femyliafah;2019-01-22 13:36;0;0;"Kali aja dapet kabar. Bole la woro2 digrup sebelah";;;;"1087599780467900416";https://twitter.com/Femyliafah/status/1087599780467900416
Femyliafah;2019-01-22 13:25;0;0;"Hehehe https:// twitter.com/InfoTwitwor/st atus/1087513719716798464 …";;;;"1087597090807500801";https://twitter.com/Femyliafah/status/1087597090807500801
Femyliafah;2019-01-22 13:19;0;0;"Raaaan ajak2 yha kalo ada hehe";;;;"1087595572624650240";https://twitter.com/Femyliafah/status/1087595572624650240
Femyliafah;2019-01-22 07:24;0;0;"Agak hm hehe";;;;"1087506228455063555";https://twitter.com/Femyliafah/status/1087506228455063555
Femyliafah;2019-01-22 06:46;1;0;"Iya jangan kya pilkada DKI ya bang. Pas junjungannya kalah banyak warga DKI yg stress. Kasian pak gubernur punya warga banyak yg stress di awal dia memimpin huhu";;;;"1087496665940934657";https://twitter.com/Femyliafah/status/1087496665940934657
Femyliafah;2019-01-20 19:25;0;1;"Meskipun aku terlihat lebar disini tapi terlalu gemash untuk ga aku upload @raniafg @danilprastika @Pueaprilia @erlinade pic.twitter.com/vYGthTvhbW";;@raniafg @danilprastika @Pueaprilia @erlinade;;"1086962914269876224";https://twitter.com/Femyliafah/status/1086962914269876224
Femyliafah;2019-01-20 19:12;0;0;"Auk ah ran kzl";;;;"1086959588266541056";https://twitter.com/Femyliafah/status/1086959588266541056
Femyliafah;2019-01-20 18:54;1;0;"Yasudah ya emg aku siapa. Ga penting kya pinggiran roti";;;;"1086955076923449346";https://twitter.com/Femyliafah/status/1086955076923449346
Femyliafah;2019-01-19 15:50;0;0;"Siyap bu";;;;"1086546489680134144";https://twitter.com/Femyliafah/status/1086546489680134144
Femyliafah;2019-01-19 15:49;0;0;"Nek lali tak pecat wkwk";;;;"1086546273929285632";https://twitter.com/Femyliafah/status/1086546273929285632
Femyliafah;2019-01-19 12:54;0;0;"Nama: Femylia Profesi: Gofood keluarga #ChatKeluarga pic.twitter.com/d5l9Hyu6hq";;;#ChatKeluarga;"1086502216188420096";https://twitter.com/Femyliafah/status/1086502216188420096
Femyliafah;2019-01-19 12:38;0;0;"Ini loh mbak.. gini loh :( pic.twitter.com/FVisC2jrQu";;;;"1086498079870578688";https://twitter.com/Femyliafah/status/1086498079870578688
Femyliafah;2019-01-19 09:25;0;1;"Kesel banget kenapa deh tiba2 sekeluarga pada nanya, “kamu skrg umur berapa mba? Yaudah cepet nyari kalo udah umur segitu, udah waktunya” ya gausah dibilangin aing dah tau. Emg lau kira persiapan meniqa sama dengan persiapan liburan yg cuma haha hihi aja! Haaah! pic.twitter.com/QVkrEs4ne3";;;;"1086449489584373760";https://twitter.com/Femyliafah/status/1086449489584373760
Femyliafah;2019-01-19 07:47;0;0;": terus samean njauk e piye? . . . . . . . . . . . . . . . : YA NIKAH LAAAAH APALAGI SELAIN ITU BAMBWAAAANKK!";;;;"1086424837407424512";https://twitter.com/Femyliafah/status/1086424837407424512
Femyliafah;2019-01-18 08:23;0;0;"Apa cuma perasaan ku sahaja ya. Yang di omongin @rockygerung sampe di interupsi 3 “orang” pas di acara ILC kemarin sungguh terjadi semua di #DebatPilpres2019 #PrabowoSandiMenangDebat";;@rockygerung;#DebatPilpres2019 #PrabowoSandiMenangDebat;"1086071428288471040";https://twitter.com/Femyliafah/status/1086071428288471040
Femyliafah;2019-01-18 08:18;0;0;"Ini yg bantah sampeyan sendiri atau memang istrinya almarhum mas? Hmmmm... hmmmm.. hmmmmmm *pake nada nisa sabyan pic.twitter.com/ZIaZ3HQtHZ";;;;"1086070205183254528";https://twitter.com/Femyliafah/status/1086070205183254528
Femyliafah;2019-01-18 07:55;0;0;"Yang paling gw tunggu dari seluruh rangkaian acara samalem sampe bikin ga bisa tidur adalah komentar presiden akal sehat @rockygerung #JumatBerkah";;@rockygerung;#JumatBerkah;"1086064572950147072";https://twitter.com/Femyliafah/status/1086064572950147072
Femyliafah;2019-01-18 07:51;1;0;"Suka gemes sendiri sama prabowo, pdahal banyak spot2 kosong untuk balik menyerang. Banyak yg harusnya pak prabowo bisa jembrengin data otentik tentang serangan goal bunuh diri pak jokowi tapi itu nda dilakukan #tssaaaah #DebatPilpres2019 #JumatBerkah";;;#tssaaaah #DebatPilpres2019 #JumatBerkah;"1086063372032868352";https://twitter.com/Femyliafah/status/1086063372032868352
Femyliafah;2019-01-18 07:21;0;0;"Ini juga nih mbak tambahan pic.twitter.com/uKf33KP1xE";;;;"1086055993534930944";https://twitter.com/Femyliafah/status/1086055993534930944
Femyliafah;2019-01-18 07:17;0;0;"Masalah yg korup2 juga pak jkw emm ya gimana yha.. huhu pic.twitter.com/vCOw6v5EBf";;;;"1086055050797998081";https://twitter.com/Femyliafah/status/1086055050797998081
Femyliafah;2019-01-18 07:08;0;1;"Tambahin lagi nih mas biar sah. Hiyahiyahiya pic.twitter.com/PQHwQlJgxJ";;;;"1086052740344668161";https://twitter.com/Femyliafah/status/1086052740344668161
Femyliafah;2019-01-18 07:02;2;7;"Em.. pic.twitter.com/EqqRCIdTvO";;;;"1086051044088397825";https://twitter.com/Femyliafah/status/1086051044088397825
Femyliafah;2019-01-18 06:57;0;2;"Gini loh mas mainnya https:// nasional.kompas.com/read/2018/05/2 9/18143281/jokowi-tegaskan-mantan-napi-koruptor-punya-hak-jadi-caleg …";;;;"1086049856366379008";https://twitter.com/Femyliafah/status/1086049856366379008
Femyliafah;2019-01-17 22:31;0;0;"Gimana kurang gregetnya paslon 1??";;;;"1085922513635274752";https://twitter.com/Femyliafah/status/1085922513635274752
Femyliafah;2019-01-17 21:03;0;1;"Sandi apaan sih dikit2 lapangan kerja WOOOEEE jaka sembung #DebatPilpres2019";;;#DebatPilpres2019;"1085900355110526977";https://twitter.com/Femyliafah/status/1085900355110526977
Femyliafah;2019-01-17 20:53;0;3;"Makanya kasi mereka kesempatan jadi presiden rap biar bisa nunjukin prestasi. Hiyahiyahiya";;;;"1085897884799852551";https://twitter.com/Femyliafah/status/1085897884799852551
Femyliafah;2019-01-17 20:07;0;0;"Pak jokowi yg kuat ya pak semoga ini segera berakhir #DebatPilpres2019";;;#DebatPilpres2019;"1085886309057495041";https://twitter.com/Femyliafah/status/1085886309057495041
Femyliafah;2019-01-17 19:45;0;2;"Kok gw simpati sama pak jokowi dan pak ma’ruf ya. Kasian akutuh, takut mereka ga bisa jawab ntar. Dari lubuk hati yg paling dalam semoga kedua capres bisa menjawab seluruh pernyataan dgn baik. Serius ga pake boong #DebatPilpres2019";;;#DebatPilpres2019;"1085880870802677760";https://twitter.com/Femyliafah/status/1085880870802677760
Femyliafah;2019-01-17 19:32;0;0;"Udah siapin teh anget, edamame, selimut, bantal, kasur, colokan #DebatPilpres2019";;;#DebatPilpres2019;"1085877589586001922";https://twitter.com/Femyliafah/status/1085877589586001922
Femyliafah;2019-01-17 18:19;0;0;"Gaes masi bole ikutan #10YearCallenge ga?? pic.twitter.com/9VkYrdQ0bZ";;;#10YearCallenge;"1085859273756700672";https://twitter.com/Femyliafah/status/1085859273756700672
Femyliafah;2019-01-17 18:15;0;0;"Buat para lelaki itu: pic.twitter.com/N9RxOm1X3r";;;;"1085858092414230529";https://twitter.com/Femyliafah/status/1085858092414230529
Femyliafah;2019-01-17 14:21;0;0;"Mashooookkkk";;;;"1085799377526960129";https://twitter.com/Femyliafah/status/1085799377526960129
Femyliafah;2019-01-17 13:50;0;0;"Siyaaaapp wkwk";;;;"1085791397112832002";https://twitter.com/Femyliafah/status/1085791397112832002
Femyliafah;2019-01-17 13:07;0;0;"Cantik amat sih mba";;;;"1085780750899630080";https://twitter.com/Femyliafah/status/1085780750899630080
Femyliafah;2019-01-17 13:04;0;1;"Hah? Yakin PDIP cuma 1 https:// twitter.com/rockadocta/sta tus/1085677965633937409 …";;;;"1085779799459561473";https://twitter.com/Femyliafah/status/1085779799459561473
Femyliafah;2019-01-17 12:52;0;0;"Langsung meluncur wkwk makasi mas";;;;"1085776852457684994";https://twitter.com/Femyliafah/status/1085776852457684994
Femyliafah;2019-01-17 12:27;0;0;"Dia yg asli dimana ya. Masi senapsaran masa ga ada yg tau sih kya IG sm Twitter gitu wkwk";;;;"1085770580652044290";https://twitter.com/Femyliafah/status/1085770580652044290
Femyliafah;2019-01-17 07:26;0;0;"Ccin ya biar sah @dr_tompi";;@dr_tompi;;"1085694859963379712";https://twitter.com/Femyliafah/status/1085694859963379712
Femyliafah;2019-01-16 22:50;0;1;"Gw seneng banget kalo ni orang berdua update ss chat mereka as always bikin ngakak";;;;"1085565054638936065";https://twitter.com/Femyliafah/status/1085565054638936065
Femyliafah;2019-01-16 20:51;0;0;"Pengen bikin TRHEAD tentang gimana cara aku survive dari kulit aku yg sempet ancur sampe bisa jadi kaya sekarang. Ada yg mau baca ga ya kira2 Maaf fotonya aku sticker karna lagi ga pake kerudung. Itu kondisi kulit aku sekitar 5 bulan yang lalu. Before After pic.twitter.com/rQtNOqxVbZ";;;;"1085534980153892864";https://twitter.com/Femyliafah/status/1085534980153892864
Femyliafah;2019-01-16 20:39;0;0;"Rame yha wkwk pic.twitter.com/CWxMz3zHkz";;;;"1085532107097530368";https://twitter.com/Femyliafah/status/1085532107097530368
Femyliafah;2019-01-16 20:39;0;0;"Napa woy";;;;"1085531909076054022";https://twitter.com/Femyliafah/status/1085531909076054022
