username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
LawsonIndonesia;2019-01-23 19:00;0;0;"Beli 1 Oden Siomay Rolled +Pop Mie Goreng Pedas Geledek / Ayam Pedas Dower 75g CUMA 10k aja loh. Tunggu apa lagi, mampir ke #LawsonStationIndonesia terdekat sekarang #AyoJajandiLawson pic.twitter.com/EPNfOC3PGH";;;#LawsonStationIndonesia #AyoJajandiLawson;"1088043673290342400";https://twitter.com/LawsonIndonesia/status/1088043673290342400
LawsonIndonesia;2019-01-23 16:00;0;0;"Makan es krim jam segini enak nih Lawson-Chan. Beli 2 Glico Frost Bite Pari Vanilla, Strawberry Cup 90ml dan nikmatin potongan Rp 1.500. Nikmatin promonya sampai 31 Januari 2019 #AyoJajandiLawson pic.twitter.com/tS8PJaUle5";;;#AyoJajandiLawson;"1087998373200678912";https://twitter.com/LawsonIndonesia/status/1087998373200678912
LawsonIndonesia;2019-01-23 12:00;0;0;"Beli Original Bento All Variant + OI Ocha Green Tea, Unsweetened Jasmine, Oolong Tea 500ml & Dapatkan #PotonganHarga Rp 2.000. Pas untuk makan siang nih. Jangan lupa ajak teman untuk nikmati promo ini ya Lawson-Chan #LunchdiLawson pic.twitter.com/1rIhRct6Qb";;;#PotonganHarga #LunchdiLawson;"1087937973809668096";https://twitter.com/LawsonIndonesia/status/1087937973809668096
LawsonIndonesia;2019-01-23 11:00;0;0;"Buat kamu yang suka banget sama #OdennyaLawson . Yuk Banget nikmati 3 pilihan paket oden ini. Langsung samperin #Lawson terdekat aja. Promonya bisa kamu nikmatin dengan puas sampai 31 Januari 2019 #AyoJajandiLawson pic.twitter.com/yvqwctX1RU";;;#OdennyaLawson #Lawson #AyoJajandiLawson;"1087922873908379648";https://twitter.com/LawsonIndonesia/status/1087922873908379648
LawsonIndonesia;2019-01-23 10:00;0;0;"Jam segini laper Lawson-Chan? Langsung aja ke #Lawson terdekat dan beli 1 Love Juice Veggie Fruit 300ml, Guava, Pomegranate 250ml + 1 Fitbar Fruit, Nut, Chocolate 24g dan dapetin potongan Rp 3.000. Kamu bisa nikmatin promo ini sampai 31 Januari 2019 #AyoJajandiLawson pic.twitter.com/JxO0528Yx7";;;#Lawson #AyoJajandiLawson;"1087907774925807616";https://twitter.com/LawsonIndonesia/status/1087907774925807616
LawsonIndonesia;2019-01-23 09:00;0;0;"Cobain cemilan baru satu ini yuk Lawson-Chan. Dapetin sekarang juga, dijamin pasti ketagihan deh. Langsung ke #Lawson terdekat sekarang juga #AyoJajandiLawson pic.twitter.com/Ypv8xgvNMK";;;#Lawson #AyoJajandiLawson;"1087892679352971264";https://twitter.com/LawsonIndonesia/status/1087892679352971264
LawsonIndonesia;2019-01-23 08:00;0;0;"#RabuRabuLawson hadir kembali lho Lawson-Chan. Ayo bawa kartu @PontaID dan belanja senilai 35k untuk dapetin potongan Rp 5.000 pembelian Lawson Coffee atau Machi Cafe. Nikmatin sekarang juga yuk #NgopiYukdiLawson pic.twitter.com/Omt5FUxqAr";;@PontaID;#RabuRabuLawson #NgopiYukdiLawson;"1087877574871543808";https://twitter.com/LawsonIndonesia/status/1087877574871543808
LawsonIndonesia;2019-01-22 19:00;0;0;"Lawson-Chan nikmatin promo yang satu ini yuk. Beli 1 Ichitan Leci/Madu Lemon/Mangga 450ml terus dapetin potongan Rp 1.000 tiap beli Jajanan Pasar kesukaanmu. Yuk ke #Lawson sekarang #AyoJajandiLawson pic.twitter.com/CbhVyMcoVe";;;#Lawson #AyoJajandiLawson;"1087681282237190145";https://twitter.com/LawsonIndonesia/status/1087681282237190145
LawsonIndonesia;2019-01-22 17:00;1;0;"Rayakan hari kasih sayang dengan memberikan hadiah spesial untuk yang tersayang yuk Lawson-Chan. Order sekarang di #Lawson terdekat #LovelyValentine pic.twitter.com/LLqkqvYM6s";;;#Lawson #LovelyValentine;"1087651084154355713";https://twitter.com/LawsonIndonesia/status/1087651084154355713
LawsonIndonesia;2019-01-22 16:00;0;0;"Yang lagi kehabisan pulsa, harus banget nikmatin parade promo pulsa dari #Lawson nih. Dapatkan gratisannya dan nikmati terus promonya sampai Januari 2019. Jangan sampai kelewatan promo ini loh Lawson-Chan #IsiPulsadiLawsonAja pic.twitter.com/ZKQOWUmp2U";;;#Lawson #IsiPulsadiLawsonAja;"1087635983808561152";https://twitter.com/LawsonIndonesia/status/1087635983808561152
