username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OZRadioJakarta;2019-01-24 06:53;2;1;"OZzers! #MENDINGMANA nonton bioskop sendiri atau nonton konser sendiri nihhh? Kasih alesannya juga boleh, jgn lupa hashtagnya #OZMORNINGSHOW";;;#MENDINGMANA #OZMORNINGSHOW;"1088223190457839616";https://twitter.com/OZRadioJakarta/status/1088223190457839616
OZRadioJakarta;2019-01-23 09:28;1;0;"Iya makasih yaa, nanti kita adain talkshow with @DustinGeinbee yaa di #OZMORNINGSHOW https:// twitter.com/RaraKeynes/sta tus/1087897205405413376 …";;@DustinGeinbee;#OZMORNINGSHOW;"1087899821183127553";https://twitter.com/OZRadioJakarta/status/1087899821183127553
OZRadioJakarta;2019-01-23 08:51;1;0;"OZzers, lo pernah ngorbanin sesuatu yang lo punya sekarang demi sesuatu yang baru ga? Kalo @rizkydanto sih ngorbanin waktu buat nongkrong malem sama temen-temennya demi siaran pagi. Kalo lo gimana OZzers? Kasih tau kita yaa di #OZMORNINGSHOW";;@rizkydanto;#OZMORNINGSHOW;"1087890455868497920";https://twitter.com/OZRadioJakarta/status/1087890455868497920
OZRadioJakarta;2019-01-23 06:37;1;0;"OZzers #MENDINGMANA ngepost di close friends atau ngepost di second account? Kasih tau alasannya yaa, jangan lupa pake hashtag #OZMORNINGSHOW";;;#MENDINGMANA #OZMORNINGSHOW;"1087856841839636480";https://twitter.com/OZRadioJakarta/status/1087856841839636480
OZRadioJakarta;2019-01-23 06:32;3;1;"Pagi pagi pagiii OZzers! @CattKatel & @rizkydanto siap menghibur pagi ini sampai jam 10 nanti di #OZMORNINGSHOW . Merapat yokk!";;@CattKatel @rizkydanto;#OZMORNINGSHOW;"1087855429491675136";https://twitter.com/OZRadioJakarta/status/1087855429491675136
OZRadioJakarta;2019-01-22 12:36;1;2;"Waktunya buka mata batin lo OZzers! Yum nonton Mata Batin 2 di bioskop pilihan lo pic.twitter.com/j4VaNloq3Y";;;;"1087584855162929153";https://twitter.com/OZRadioJakarta/status/1087584855162929153
OZRadioJakarta;2019-01-22 08:47;1;0;"OZzers! Kapan terakhir lo double date? dan biasanya kalian ngapain nih? Liburan, nongkrong atau nonton konser? kasih tau ya jangan lupa pake hashtagnya #OZMORNINGSHOW";;;#OZMORNINGSHOW;"1087527068445794304";https://twitter.com/OZRadioJakarta/status/1087527068445794304
OZRadioJakarta;2019-01-22 07:41;1;0;"MANTULLLL!!! https:// twitter.com/alifrafif_/sta tus/1087510448566456320 …";;;;"1087510645224816640";https://twitter.com/OZRadioJakarta/status/1087510645224816640
OZRadioJakarta;2019-01-22 07:16;1;0;"hahahaha thankyouuuu https:// twitter.com/sayaputro/stat us/1087503849768665089 …";;;;"1087504231710351361";https://twitter.com/OZRadioJakarta/status/1087504231710351361
OZRadioJakarta;2019-01-22 07:12;1;0;"OZzers! #MENDINGMANA Langganan Spotify apa Netflix? Kasih tau alesannya yaa";;;#MENDINGMANA;"1087503222107852800";https://twitter.com/OZRadioJakarta/status/1087503222107852800
