username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
OmDennis;2019-01-22 12:01;0;0;"Pengen rasanya....";;;;"1087576072885923840";https://twitter.com/OmDennis/status/1087576072885923840
OmDennis;2019-01-22 11:47;6;5;"Cek jadwal #Supermoon tahun ini. Awas kelewatan, ntar baper! https:// twitter.com/infoBMKG/statu s/1087308953472516097 …";;;#Supermoon;"1087572353591128065";https://twitter.com/OmDennis/status/1087572353591128065
OmDennis;2019-01-22 11:19;17;40;"Kalo jadi series bakal keren nih! https:// twitter.com/BBCIndonesia/s tatus/1086820254918029312 …";;;;"1087565466430631936";https://twitter.com/OmDennis/status/1087565466430631936
OmDennis;2019-01-21 18:30;19;12;"#ColdplayPeduliPemilu https:// twitter.com/dirwanst/statu s/1087226746120765441 …";;;#ColdplayPeduliPemilu;"1087311477441286145";https://twitter.com/OmDennis/status/1087311477441286145
OmDennis;2019-01-21 12:45;2;11;"Miss me already, PSSI ? pic.twitter.com/CeQ8rmLpHa";;;;"1087224527963152384";https://twitter.com/OmDennis/status/1087224527963152384
OmDennis;2019-01-21 09:41;47;56;"Kejadian di komik ini hanya ilustrasi fiktif. Tapi cukup untuk memotret sebagian pola pikir orang di negeri ini. https:// twitter.com/IDkartunesia/s tatus/1087173118706081792 …";;;;"1087178455551098880";https://twitter.com/OmDennis/status/1087178455551098880
OmDennis;2019-01-19 22:28;2;2;"Sekarang i jadi tau... https:// twitter.com/senjatanuklir/ status/1086530152161468416 …";;;;"1086646479656079361";https://twitter.com/OmDennis/status/1086646479656079361
OmDennis;2019-01-19 22:24;0;0;"Maksudnya yg hewan. Tapi yg ini sepertinya juga menarik";;;;"1086645605814792192";https://twitter.com/OmDennis/status/1086645605814792192
OmDennis;2019-01-19 22:03;3;10;"AKU BARU TAHU DI INDONESIA ADA RED PANDA! https:// twitter.com/Bisniscom/stat us/1086639809798430723 …";;;;"1086640307217694727";https://twitter.com/OmDennis/status/1086640307217694727
OmDennis;2019-01-19 22:01;1;7;"Selamat ya! @NyneComics https:// twitter.com/the_magdalene/ status/1086146123792756736 …";;@NyneComics;;"1086639796812800000";https://twitter.com/OmDennis/status/1086639796812800000
OmDennis;2019-01-19 21:58;39;26;"Sudah ke sekian kali saya melihat manuver politik yang tidak sesuai harapan. Namun, apakah itu akan membuat saya untuk golput? Jelas tidak. Kurang lebih alasannya terwakili di tweet ini: https:// twitter.com/thedufresne/st atus/1086554734670934017 …";;;;"1086639087816036353";https://twitter.com/OmDennis/status/1086639087816036353
OmDennis;2019-01-19 15:47;18;34;"Setuju! https:// twitter.com/DiajengLrst/st atus/1086495290603917314 …";;;;"1086545792976842753";https://twitter.com/OmDennis/status/1086545792976842753
OmDennis;2019-01-18 17:10;6;5;"Emang bener nih @NetflixID sudah bisa ditonton lewat koneksi Indihome @TelkomCare ? Kalau bener iya, gue ganti keyakinan, nih!";;@NetflixID @TelkomCare;;"1086204223421706240";https://twitter.com/OmDennis/status/1086204223421706240
OmDennis;2019-01-18 13:58;1;3;"Semiga sudah sikat gigi https:// twitter.com/dissakamajaya/ status/1086042479302926336 …";;;;"1086155976938385408";https://twitter.com/OmDennis/status/1086155976938385408
OmDennis;2019-01-17 23:51;7;8;"Hmmm...bot dan admin akun fake-nya kerja keras sampai semalam ini juga, rupanya";;;;"1085942653789687809";https://twitter.com/OmDennis/status/1085942653789687809
OmDennis;2019-01-17 09:51;266;138;"Mental miskin-sok-kaya-masuk-surga inilah yang bikin negara susah majunya.";;;;"1085731372134588416";https://twitter.com/OmDennis/status/1085731372134588416
OmDennis;2019-01-17 09:45;4;1;"Diskusi singkat dan mencerahkan: https:// twitter.com/KFCINDONESIA/s tatus/1085132472591933440 …";;;;"1085729694400409600";https://twitter.com/OmDennis/status/1085729694400409600
OmDennis;2019-01-17 07:06;26;21;"Mestinya gini... https:// twitter.com/tiyokpras/stat us/1085393658067763200 …";;;;"1085689701661474816";https://twitter.com/OmDennis/status/1085689701661474816
OmDennis;2019-01-15 17:54;75;42;"Turut berduka atas wafatnya @gebiramadhan . Terimakasih atas segala tawa darimu. We will miss you. pic.twitter.com/DK0xTkhuvK";;@gebiramadhan;;"1085128058225385472";https://twitter.com/OmDennis/status/1085128058225385472
OmDennis;2019-01-14 22:59;0;0;"yoi buuu";;;;"1084842382665732102";https://twitter.com/OmDennis/status/1084842382665732102
OmDennis;2019-01-14 18:14;6;6;"Ngelihat ini aku ikut hepi! gerakannya super! https:// twitter.com/ryuhasan/statu s/1084736934839083009 …";;;;"1084770778720002048";https://twitter.com/OmDennis/status/1084770778720002048
OmDennis;2019-01-14 18:12;6;17;"Video klip lagu "Luruh" Ini ajaib sekali: Masuk ke kuping sebagai suara, Keluar dari mata sebagai air. @isyanasarasvati #rarasekar Nonton di sini: https:// youtu.be/5iZNTmBBfTs";;@isyanasarasvati;#rarasekar;"1084770140699283456";https://twitter.com/OmDennis/status/1084770140699283456
OmDennis;2019-01-13 07:57;18;20;"Bagi saya, beliau adalah seorang pegiat konten positif yang sangat murah senyum dan gemar membagi pengetahuan gratis. Kepergianmu kali ini terlalu mendadak, om @nukman Semoga amal baikmu bisa menjadi inspirasi kita semua #RIPNukman";;@nukman;#RIPNukman;"1084253042520641536";https://twitter.com/OmDennis/status/1084253042520641536
OmDennis;2019-01-12 14:13;5;8;"Misteri yg Akhirnya terungkap https:// twitter.com/si_enthon9/sta tus/1083668322804060160 …";;;;"1083985219282063360";https://twitter.com/OmDennis/status/1083985219282063360
OmDennis;2019-01-12 13:35;9;16;"Nah gini kek dari dulu! Hahahahaha https:// twitter.com/9genka/status/ 1083360152898625541 …";;;;"1083975857348079616";https://twitter.com/OmDennis/status/1083975857348079616
OmDennis;2019-01-10 22:35;0;0;"Ngeteh sambil DnD adalah ide bagus! https:// twitter.com/bilyakbar/stat us/1083370096641200132 …";;;;"1083386841598910464";https://twitter.com/OmDennis/status/1083386841598910464
OmDennis;2019-01-10 22:34;0;0;"Bisa lgsg rame sama anak Kpop dan Kdrama . Bagus juga sih pic.twitter.com/Sr97YlOPJ7";;;;"1083386626867265537";https://twitter.com/OmDennis/status/1083386626867265537
OmDennis;2019-01-10 21:36;0;0;"scene dnd masih niche sih. Gue populerin dulu sama temen2 yak";;;;"1083372038985637893";https://twitter.com/OmDennis/status/1083372038985637893
OmDennis;2019-01-10 21:36;0;0;"main pak ayo maiiin";;;;"1083371945993789440";https://twitter.com/OmDennis/status/1083371945993789440
OmDennis;2019-01-10 21:36;0;0;"manualnya aja sih yg versi indonesia. Kartunya tetep english";;;;"1083371894684827649";https://twitter.com/OmDennis/status/1083371894684827649
OmDennis;2019-01-10 20:58;0;0;"Yang kecil rata rata 25rb an lah";;;;"1083362409685835777";https://twitter.com/OmDennis/status/1083362409685835777
OmDennis;2019-01-10 20:55;0;0;"Udah punya yg packaging versi bahasa Indonesia?";;;;"1083361816942587904";https://twitter.com/OmDennis/status/1083361816942587904
OmDennis;2019-01-10 20:55;0;0;"Justru itu yg dicari";;;;"1083361682598944773";https://twitter.com/OmDennis/status/1083361682598944773
OmDennis;2019-01-10 20:54;0;0;"Bahasan tiap hari itu mah";;;;"1083361530589077504";https://twitter.com/OmDennis/status/1083361530589077504
OmDennis;2019-01-10 20:54;0;0;"AtAmerica belum oernah bahas DnD ya?";;;;"1083361460934213632";https://twitter.com/OmDennis/status/1083361460934213632
OmDennis;2019-01-10 20:54;0;0;"Ayolah ke kantorgue waktu itu";;;;"1083361378159624192";https://twitter.com/OmDennis/status/1083361378159624192
OmDennis;2019-01-10 20:54;0;0;"Kok nanggung!?";;;;"1083361329988001793";https://twitter.com/OmDennis/status/1083361329988001793
OmDennis;2019-01-10 20:53;0;0;"Hahaha iya main juga di Steam";;;;"1083361155693699074";https://twitter.com/OmDennis/status/1083361155693699074
OmDennis;2019-01-10 18:28;2;14;"Ngomongin board game dan Dungeons and Dragons: Ngapain diomongin?! Ayok main!! pic.twitter.com/fc6AZJG9aE";;;;"1083324580955971584";https://twitter.com/OmDennis/status/1083324580955971584
OmDennis;2019-01-10 18:25;0;0;"iya, buat yg dedek-dedek SD";;;;"1083324047784460289";https://twitter.com/OmDennis/status/1083324047784460289
OmDennis;2019-01-10 18:25;0;1;"Tiap hari! https:// twitter.com/AudreyChristab e/status/1083323015692091392 …";;;;"1083323852711591936";https://twitter.com/OmDennis/status/1083323852711591936
