username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
S_SiscaJKT48;2019-01-23 21:41;146;915;"Beautiful, isn't it? pic.twitter.com/smm7MX3j7l";;;;"1088084186982866944";https://twitter.com/S_SiscaJKT48/status/1088084186982866944
S_SiscaJKT48;2019-01-23 21:23;24;267;"Mau kuliah dan memperbanyak teman amin https:// twitter.com/R_AninJKT48/st atus/1088077667184762882 …";;;;"1088079790312108032";https://twitter.com/S_SiscaJKT48/status/1088079790312108032
S_SiscaJKT48;2019-01-23 21:22;18;240;"Let it go~~~";;;;"1088079606093996037";https://twitter.com/S_SiscaJKT48/status/1088079606093996037
S_SiscaJKT48;2019-01-23 15:49;41;382;"YAAMPUN gila sih!!! Liat berita yang ada guguk Husky meninggal dan berdarah2 dan ditaro di karung dog food?????!!!!!!! YaTuhaaaaaaannnnn stress liatnya";;;;"1087995601638342666";https://twitter.com/S_SiscaJKT48/status/1087995601638342666
S_SiscaJKT48;2019-01-23 13:19;30;274;"God bless you";;;;"1087958024180981762";https://twitter.com/S_SiscaJKT48/status/1087958024180981762
S_SiscaJKT48;2019-01-23 13:12;17;217;"Omg lol";;;;"1087956125406892033";https://twitter.com/S_SiscaJKT48/status/1087956125406892033
S_SiscaJKT48;2019-01-23 09:54;25;321;"Bsk tgl 24 januari...";;;;"1087906268348526592";https://twitter.com/S_SiscaJKT48/status/1087906268348526592
S_SiscaJKT48;2019-01-23 00:55;16;311;"Belomboboooooo";;;;"1087770704647319552";https://twitter.com/S_SiscaJKT48/status/1087770704647319552
S_SiscaJKT48;2019-01-22 14:05;0;22;"Pose sip! :(";;;;"1087607091542470658";https://twitter.com/S_SiscaJKT48/status/1087607091542470658
S_SiscaJKT48;2019-01-22 14:04;22;281;"Hari ini aku mau anggun ah teaternya";;;;"1087606828354027520";https://twitter.com/S_SiscaJKT48/status/1087606828354027520
S_SiscaJKT48;2019-01-22 13:38;44;323;"Posesif pic.twitter.com/XCVdStAWoD";;;;"1087600318781612032";https://twitter.com/S_SiscaJKT48/status/1087600318781612032
S_SiscaJKT48;2019-01-22 13:25;25;216;"Nyanyiin aku ini plis..... https:// youtu.be/1t6uA9Hvu40";;;;"1087597205320429568";https://twitter.com/S_SiscaJKT48/status/1087597205320429568
S_SiscaJKT48;2019-01-22 10:35;25;282;"Akakakakakakakak selamat hari baru semuanyaaaa bangun2 nonton lovesick HAHA so cute why so gemay Nanti ketemu di teater ya! Have a nice day~~♡";;;;"1087554317614120960";https://twitter.com/S_SiscaJKT48/status/1087554317614120960
