username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
apiipp;2019-01-23 14:37;0;2;"wiiih makasih banyak loh, bagusss!!!";;;;"1087977613480652801";https://twitter.com/apiipp/status/1087977613480652801
apiipp;2019-01-23 14:37;0;3;"jangan rindu, berat";;;;"1087977576914739202";https://twitter.com/apiipp/status/1087977576914739202
apiipp;2019-01-23 08:52;2;130;"Mencoba black and white pic.twitter.com/qUfnWHoXYw";;;;"1087890703961579520";https://twitter.com/apiipp/status/1087890703961579520
apiipp;2019-01-22 21:01;0;1;"AKWKWKWK ANJER DI DELETE";;;;"1087711799753900032";https://twitter.com/apiipp/status/1087711799753900032
apiipp;2019-01-22 18:43;0;3;"Emang udahan?";;;;"1087677100272738304";https://twitter.com/apiipp/status/1087677100272738304
apiipp;2019-01-22 12:45;0;1;"Duh ada selebtwit :(";;;;"1087587113321750528";https://twitter.com/apiipp/status/1087587113321750528
apiipp;2019-01-22 12:33;0;1;"WKWKWKKWKWKWKWKKWK";;;;"1087584117732958209";https://twitter.com/apiipp/status/1087584117732958209
apiipp;2019-01-22 07:29;0;2;"Besoknya kamis tuh.";;;;"1087507557634064384";https://twitter.com/apiipp/status/1087507557634064384
apiipp;2019-01-22 07:28;2;74;"Hari ini hari selasa , cuma mau ngasih tau ajah.";;;;"1087507380818989057";https://twitter.com/apiipp/status/1087507380818989057
apiipp;2019-01-22 07:28;1;8;"Lg di era emosi lebih penting dr logika, krena dulu pernah pake logika tapi nyatanya di telantarkan begitu saja. *eh maap curhat*";;;;"1087507287839629312";https://twitter.com/apiipp/status/1087507287839629312
apiipp;2019-01-22 07:26;6;33;"SYID https:// twitter.com/MbaJenNih/stat us/1086611908793327616 …";;;;"1087506698493804544";https://twitter.com/apiipp/status/1087506698493804544
apiipp;2019-01-22 07:25;0;1;"Jadi pen eek gua njir . Gelay.";;;;"1087506525457809408";https://twitter.com/apiipp/status/1087506525457809408
