username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
flowsroses;2019-01-23 23:16;0;0;"Xl tapi bikin missqueen jg nder:(";;;;"1088108272433868800";https://twitter.com/flowsroses/status/1088108272433868800
flowsroses;2019-01-23 15:46;0;0;"Mirip khocenk q:(";;;;"1087994911327244289";https://twitter.com/flowsroses/status/1087994911327244289
flowsroses;2019-01-23 11:55;0;0;"Ada. Nama w tata dia manggilnya malah tati. korelasinya dimana, hm..";;;;"1087936887094943747";https://twitter.com/flowsroses/status/1087936887094943747
flowsroses;2019-01-23 06:38;0;0;"Ga sih 500k udah dapet w aja yg missqueen:(";;;;"1087857013856493568";https://twitter.com/flowsroses/status/1087857013856493568
flowsroses;2019-01-23 00:48;0;0;"Ga kooo lucu bgt malah, dia kebanyakan tidur, temenku ke mall, makan di restoran suka bawa sugarglidernya di masukin kantong baju pengen melihara ini cuma belinya mehong:(";;;;"1087768991802699776";https://twitter.com/flowsroses/status/1087768991802699776
flowsroses;2019-01-23 00:41;0;0;"Jangan2 kebalik, yang ngekost hewan yang peliharaan manusya:(";;;;"1087767341977427969";https://twitter.com/flowsroses/status/1087767341977427969
flowsroses;2019-01-23 00:38;0;0;"Tidur woi besok kulyah jam 7";;;;"1087766390050672640";https://twitter.com/flowsroses/status/1087766390050672640
flowsroses;2019-01-23 00:36;0;0;"Guru musik. Sekarang malah nyasar ke veterinary medicine.";;;;"1087766031345434625";https://twitter.com/flowsroses/status/1087766031345434625
flowsroses;2019-01-23 00:33;0;0;"Aku belum bisa pelihara hewan dikos:( tapi temenku banyak yang pelihara ular, gecko, sugarglider, Landak susu, bahkan tarantula pun ada. :))))";;;;"1087765232330723328";https://twitter.com/flowsroses/status/1087765232330723328
flowsroses;2019-01-23 00:26;0;0;"SELAMAT MIMIIINNNQQQ";;;;"1087763508312170496";https://twitter.com/flowsroses/status/1087763508312170496
flowsroses;2019-01-23 00:22;0;0;"Aku dulu punya ini astaga warnanya pink https:// twitter.com/tanya2rl/statu s/1087760620680765440 …";;;;"1087762555001421824";https://twitter.com/flowsroses/status/1087762555001421824
flowsroses;2019-01-23 00:17;0;0;"Kalo buat tempat pup pake litter box+pasir. Pasir dijual di petshop kok. Atau pake pasir biasa juga bisa, tapi kalo pake pasir petshop ada wanginya dan bisa menggumpal sendiri. Kalo kandang aku gapake, kucing aku aku lepasin dirumah, tidurnya dikasur";;;;"1087761095475879936";https://twitter.com/flowsroses/status/1087761095475879936
flowsroses;2019-01-23 00:14;0;0;"Bau poop kucing enak/gaenaknya tergantung makanan. Kalo kamu ngasih kucingmu makanan low quality/ikan pasar jelas bau banget. Tapi kalo kasih makanan yang beneran makanan kucing (dryfood, jangan kebanyaan wetfood) ga ada baunya samsek itu poop kucing.";;;;"1087760405252890624";https://twitter.com/flowsroses/status/1087760405252890624
flowsroses;2019-01-23 00:08;0;0;"Ekonomi aja, 40k nya lagi tabung.";;;;"1087758949711933441";https://twitter.com/flowsroses/status/1087758949711933441
flowsroses;2019-01-23 00:06;0;0;"Ak lagi tidur terus mimpi difollowback japanfess :))";;;;"1087758335636434945";https://twitter.com/flowsroses/status/1087758335636434945
flowsroses;2019-01-23 00:03;0;0;"Asin+bermicin+pedes!!! Udah bego tambah bego dah gue.";;;;"1087757731405025281";https://twitter.com/flowsroses/status/1087757731405025281
flowsroses;2019-01-23 00:02;1;1;"Sekolah: belajar kl mau ujian doang Kuliah: tiap hari mau ga mau belajar, apalan sudah menjadi kewajiban. Gak unik, sih. Ok bye.";;;;"1087757385425252354";https://twitter.com/flowsroses/status/1087757385425252354
flowsroses;2019-01-23 00:00;0;2;"Hayu hayu tanya2 langsung dm yaa sobat tweet q pic.twitter.com/jIX6mVPbFH";;;;"1087756796410777600";https://twitter.com/flowsroses/status/1087756796410777600
