username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
kompascom;2019-01-24 06:43;6;11;"Rencana pembebasan Abu Bakar Ba'asyir terganjal oleh penolakannya memenuhi sejumlah persyaratan administrasi. Ini catatan perkara dan polemik pembebasannya. http:// dlvr.it/QxLdn3";;;;"1088220719719211008";https://twitter.com/kompascom/status/1088220719719211008
kompascom;2019-01-24 06:36;8;21;"Saat ini, produksi buah naga memang terus meningkat. Ada lima kecamatan di Banyuwangi yang sedang panen raya secara bersamaan. http:// dlvr.it/QxLcpL";;;;"1088218850720530432";https://twitter.com/kompascom/status/1088218850720530432
kompascom;2019-01-24 06:34;11;49;"BTP memiliki banyak aktivitas selama ditahan hampir dua tahun di balik jeruji besi. http:// dlvr.it/QxLcSg";;;;"1088218354832179200";https://twitter.com/kompascom/status/1088218354832179200
kompascom;2019-01-24 06:28;4;9;"Keberadaan Mbah Sadikun menjadi perbincangan warga setelah beberapa hari terakhir pemilik akun Sulis Ibue April Putry memposting keadaan rumahnya. http:// dlvr.it/QxLbgm";;;;"1088216837219700736";https://twitter.com/kompascom/status/1088216837219700736
kompascom;2019-01-24 06:28;2;6;"Bupati Garut Rudy Gunawan mengaku memaklumi kesibukan para anggota DPRD Garut yang tidak hadir dalam rapat paripurna ini. http:// dlvr.it/QxLbgB";;;;"1088216835890139137";https://twitter.com/kompascom/status/1088216835890139137
kompascom;2019-01-24 06:20;4;7;"Hingga saat ini jumlah personel yang dikerahkan masih seperti pos pengamanan rutin yang berjumlah 9 personel untuk mengurai kemacetan. http:// dlvr.it/QxLZg5";;;;"1088214819826618368";https://twitter.com/kompascom/status/1088214819826618368
kompascom;2019-01-24 06:17;2;7;"Kecenderungan tersebut ditunjukkan dari diundangnya empat menteri dan sejumlah pengusaha Tanah Air ke Pertemuan Tahunan WEF 2019. http:// dlvr.it/QxLZKq";;;;"1088214187040362496";https://twitter.com/kompascom/status/1088214187040362496
kompascom;2019-01-24 06:13;6;2;"Dengan status cagar alam saja, menurut aktivis, saat ini kerusakan sudah terlihat. Misal pemotor trail yang membuka jalur di sana. http:// dlvr.it/QxLYlJ";;;;"1088213179870588929";https://twitter.com/kompascom/status/1088213179870588929
kompascom;2019-01-24 06:11;0;3;"Laga semifinal Piala Liga, Chelsea vs Tottenham Hotspur, akan disiarkan langsung oleh TVRI pada Jumat (25/1/2019) pukul 02.45 WIB. http:// dlvr.it/QxLYVr";;;;"1088212684271546368";https://twitter.com/kompascom/status/1088212684271546368
kompascom;2019-01-24 06:11;0;3;"AC Milan resmi menggaet Krzysztof Piatek untuk menggantikan posisi yang ditinggalkan oleh Gonzalo Higuain ke Chelsea. http:// dlvr.it/QxLYTw";;;;"1088212681876631552";https://twitter.com/kompascom/status/1088212681876631552
kompascom;2019-01-24 06:11;3;5;"Kecenderungan tersebut ditunjukkan dari diundangnya empat menteri dan sejumlah pengusaha Tanah Air ke Pertemuan Tahunan WEF 2019. http:// dlvr.it/QxLYTB";;;;"1088212679108440064";https://twitter.com/kompascom/status/1088212679108440064
kompascom;2019-01-24 06:11;1;5;"Kepala ekonom Bank Permata, Josua Pardede melihat penguatan rupiah secara tipis yang terjadi hari ini, berpotensi masih terus akan berlanjut hari ini http:// dlvr.it/QxLYRb";;;;"1088212676411514883";https://twitter.com/kompascom/status/1088212676411514883
kompascom;2019-01-24 06:11;10;18;"Kampanye itu hanya bertujuan mengajak konsumen untuk membereskan meja mereka setelah makan sehingga dapat menjaga kenyamanan bagi sesama konsumen. http:// dlvr.it/QxLYMV";;;;"1088212556777312256";https://twitter.com/kompascom/status/1088212556777312256
kompascom;2019-01-24 05:56;3;4;"Memasuki malam hari nanti, seluruh wilayah DKI Jakarta diperkirakan berawan. http:// dlvr.it/QxLWBJ";;;;"1088208893904211968";https://twitter.com/kompascom/status/1088208893904211968
