username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
pergijauh;2019-01-24 06:26;36;85;"Alangkah eloknya jika link youtube creator juga diikutsertakan";;;;"1088216393932103680";https://twitter.com/pergijauh/status/1088216393932103680
pergijauh;2019-01-24 06:22;2;1;"Hmmmm";;;;"1088215436125061120";https://twitter.com/pergijauh/status/1088215436125061120
pergijauh;2019-01-23 19:12;257;274;"Sungguh kode yang savage sangat pic.twitter.com/lmTJzgHZ4F";;;;"1088046759887007745";https://twitter.com/pergijauh/status/1088046759887007745
pergijauh;2019-01-23 18:53;226;134;"Ini orang siapa sih? Suaranya polusi audio sekali";;;;"1088042096567578625";https://twitter.com/pergijauh/status/1088042096567578625
pergijauh;2019-01-23 18:32;454;896;"#NGOBAM minggu ini pic.twitter.com/hnKNyEWk11";;;#NGOBAM;"1088036785995767809";https://twitter.com/pergijauh/status/1088036785995767809
pergijauh;2019-01-23 10:42;0;0;"Kalo pas tanggal sidang ambil di pengadilan, kalo setelah tanggal sidang ambil di kejaksaan. Gampang gak ribet";;;;"1087918351995858946";https://twitter.com/pergijauh/status/1087918351995858946
pergijauh;2019-01-23 10:04;18;43;"Loket titang";;;;"1087908869173522433";https://twitter.com/pergijauh/status/1087908869173522433
pergijauh;2019-01-23 10:02;77;99;"Lagi nunggu dan ingin sekali punya kekuatan super mengganti huruf L dengan T pic.twitter.com/NUosrFljEW";;;;"1087908286039351296";https://twitter.com/pergijauh/status/1087908286039351296
pergijauh;2019-01-23 09:55;7;11;"Jangan terlalu percaya kata media https:// twitter.com/CiaWongkar/sta tus/1087906332357738497 …";;;;"1087906526654853121";https://twitter.com/pergijauh/status/1087906526654853121
pergijauh;2019-01-23 09:49;18;20;"Lem yang bagus buat mohawk itu merk indrakol, campur air hangat, sasak rambut dan taro lem di rambut sambil di hairdryer https:// twitter.com/Adezaniss/stat us/1087904733686157314 …";;;;"1087905132077957120";https://twitter.com/pergijauh/status/1087905132077957120
pergijauh;2019-01-23 09:47;265;352;"#15yearschallenge pic.twitter.com/6oKw1SEfvr";;;#15yearschallenge;"1087904605013344257";https://twitter.com/pergijauh/status/1087904605013344257
pergijauh;2019-01-23 09:17;672;848;"19 tahun yang lalu, kalo mau manggung naik bis mesti nunduk banget pic.twitter.com/Xtekw9WZui";;;;"1087897181653151744";https://twitter.com/pergijauh/status/1087897181653151744
pergijauh;2019-01-22 23:24;23;64;"Pasti karena akhlak https:// twitter.com/honeycoat_/sta tus/1087743779044376578 …";;;;"1087747849478057985";https://twitter.com/pergijauh/status/1087747849478057985
pergijauh;2019-01-22 19:51;22;63;"Bokulnye di Baturaja ama Kampung Ambon";;;;"1087694312706457600";https://twitter.com/pergijauh/status/1087694312706457600
pergijauh;2019-01-22 19:36;630;444;"Temenku golput malah ditangkep ckckc, golongan putaw";;;;"1087690395159474179";https://twitter.com/pergijauh/status/1087690395159474179
pergijauh;2019-01-22 14:52;0;3;"Dua duanyaaa";;;;"1087618930175168512";https://twitter.com/pergijauh/status/1087618930175168512
pergijauh;2019-01-22 13:32;42;193;"Broto say hi pic.twitter.com/cKPle59dKz";;;;"1087598871147044865";https://twitter.com/pergijauh/status/1087598871147044865
pergijauh;2019-01-22 09:26;0;2;"";;;;"1087536856265158656";https://twitter.com/pergijauh/status/1087536856265158656
pergijauh;2019-01-22 09:02;0;2;"Trus ada tato naga dan macan";;;;"1087531021040414720";https://twitter.com/pergijauh/status/1087531021040414720
pergijauh;2019-01-22 08:42;0;0;"Kwai Chang Caine";;;;"1087525822380949505";https://twitter.com/pergijauh/status/1087525822380949505
pergijauh;2019-01-22 08:28;492;379;"Orang ini sungguh humble, melanglang buana tapi di bionya gak tertulis traveler pic.twitter.com/H2a1GkXtPs";;;;"1087522341876191233";https://twitter.com/pergijauh/status/1087522341876191233
