username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
shellywoyla;2019-01-23 19:35;0;0;""rezeki bisa dicari lagi"";;;;"1088052476190674945";https://twitter.com/shellywoyla/status/1088052476190674945
shellywoyla;2019-01-21 23:49;0;0;"- If You & Loser - Bigbang - home is far away, Lost, - epik high - Tomboy - Hyukoh - untitled - G Dragon";;;;"1087391644654043141";https://twitter.com/shellywoyla/status/1087391644654043141
shellywoyla;2019-01-20 02:18;0;0;"ini bagus, documenter with unexpected twist and tragic ending. go watch. https:// twitter.com/nonfics/status /1086677216375771137 …";;;;"1086704439828738048";https://twitter.com/shellywoyla/status/1086704439828738048
shellywoyla;2019-01-19 21:29;0;1;"Alhamdulillah.. Everybody say thank you seungri #TheGreatSeungriInManila https:// twitter.com/fate4no_one/st atus/1086620298697273345 …";;;#TheGreatSeungriInManila;"1086631638346260480";https://twitter.com/shellywoyla/status/1086631638346260480
shellywoyla;2019-01-16 07:03;0;0;"buset mata merah bgt.. terakhir tidur senin siang lol pic.twitter.com/5BVqO2Rfdg";;;;"1085326648503758848";https://twitter.com/shellywoyla/status/1085326648503758848
shellywoyla;2019-01-13 21:04;0;0;"Met ulang taun, Bay.. kapan tiup lilin sambil ngopi?";;;;"1084451005826134020";https://twitter.com/shellywoyla/status/1084451005826134020
shellywoyla;2019-01-12 15:41;0;0;"urang teh meni geus bijak ti baheula pisan geningan";;;;"1084007415828295681";https://twitter.com/shellywoyla/status/1084007415828295681
shellywoyla;2019-01-09 19:13;0;0;"eh udah ga indie lagi ding... lupa";;;;"1082973616830967808";https://twitter.com/shellywoyla/status/1082973616830967808
shellywoyla;2019-01-09 19:12;0;0;"ada HYUKOH juga, min.. band indie korea";;;;"1082973402862837762";https://twitter.com/shellywoyla/status/1082973402862837762
shellywoyla;2019-01-06 17:01;0;0;"K-Pop expert I got 8 out of 10! How do you measure up? https://www. buzzfeed.com/luisdelvalle/n ame-the-kpop-band?utm_source=dynamic&utm_campaign=bfsharetwitter&utm_term=.ioa3QrOXr&bfsource=bfocompareoff&quiz_result=11099682_27869614#11099682&rid=27869614 …";;;#11099682;"1081853168051314688";https://twitter.com/shellywoyla/status/1081853168051314688
shellywoyla;2018-12-29 21:59;0;1;"with fat? meat only? pic.twitter.com/NkNeMQZrQg";;;;"1079029061945413633";https://twitter.com/shellywoyla/status/1079029061945413633
shellywoyla;2018-12-29 21:57;0;1;"Beeeuuuhh... pic.twitter.com/AXzLuy9AVC";;;;"1079028529075871744";https://twitter.com/shellywoyla/status/1079028529075871744
shellywoyla;2018-12-29 21:46;0;0;"The best maranggi for dinner ini Maranggi Sari Asih di Pacet, siapa tau lagi lewat kapan2.. #WisataCianjur pic.twitter.com/INxk8rRfOE";;;#WisataCianjur;"1079025956503736321";https://twitter.com/shellywoyla/status/1079025956503736321
shellywoyla;2018-12-29 19:10;0;0;"nah gini ni bikin #memetwit seremnya puoolll.. https:// twitter.com/BriiStory/stat us/1078299468783484928 …";;;#memetwit;"1078986562854019074";https://twitter.com/shellywoyla/status/1078986562854019074
shellywoyla;2018-12-29 14:19;1;0;"Ini versi lengkapnya.. ada adeknya lagi ngintip juga.. karena msh kecil2 blm boleh ikutan bantuin bikin roti..so adorbs.. mural cantik di TKC Cianjur (sayangnya ga ada yang tau nama pembuat muralnya ) #WisataCianjur #TanKengCu pic.twitter.com/bObhKvZszK";;;#WisataCianjur #TanKengCu;"1078913496765497346";https://twitter.com/shellywoyla/status/1078913496765497346
shellywoyla;2018-12-29 14:15;0;0;"Anak gadis lagi liatin bapaknya bikin roti.. how cute is this pic.twitter.com/9mn8yzDz8r";;;;"1078912315934666752";https://twitter.com/shellywoyla/status/1078912315934666752
shellywoyla;2018-12-29 12:34;0;0;"lagi mo baca nasib cuy.. doakan #2019GantiNasib pic.twitter.com/APgbu51juG";;;#2019GantiNasib;"1078887053750718464";https://twitter.com/shellywoyla/status/1078887053750718464
shellywoyla;2018-12-29 12:31;0;0;"kirain lagi naracaaaapppp";;;;"1078886255297945600";https://twitter.com/shellywoyla/status/1078886255297945600
shellywoyla;2018-12-29 10:23;0;0;"akhir taun balik kampung aja, sarapan dulu yang santai.. #BuburCianjur pic.twitter.com/QwCL2voYM1";;;#BuburCianjur;"1078853890517291010";https://twitter.com/shellywoyla/status/1078853890517291010
shellywoyla;2018-12-22 00:02;0;1;"My Queen Cersei Lannister.. https://www. magiquiz.com/quiz/which-gam e-of-thrones-character-are-you/?utm_source=quiz&utm_medium=twitter&fb-share-results=1 … via @Magiquiz";;@Magiquiz;;"1076160942738595840";https://twitter.com/shellywoyla/status/1076160942738595840
shellywoyla;2018-12-15 17:13;0;0;"ke korea udah bisa pp tuh";;;;"1073883658367299584";https://twitter.com/shellywoyla/status/1073883658367299584
shellywoyla;2018-12-10 22:26;0;0;"Bu, yang ini ga usah ditenggelamkan.. cukup dihukum suruh mandiin anak2 ikan aja https:// twitter.com/ophaque/status /1072127829284810752 …";;;;"1072150654666235904";https://twitter.com/shellywoyla/status/1072150654666235904
shellywoyla;2018-12-05 16:15;0;0;"mahalan beli tiket konser https:// twitter.com/dmartinnn_/sta tus/1070244643642589185 …";;;;"1070245251745337345";https://twitter.com/shellywoyla/status/1070245251745337345
shellywoyla;2018-12-04 21:17;0;0;"so tired. all the time. let me just sleep.";;;;"1069958885463613441";https://twitter.com/shellywoyla/status/1069958885463613441
