username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
verrenchristyy;2019-01-22 22:24;0;0;"iyaweh pelan wkwk";;;;"1087732859585089536";https://twitter.com/verrenchristyy/status/1087732859585089536
verrenchristyy;2019-01-22 20:04;0;1;"Sometimes it's best to take a long road way home, drive slowly, and think about everything. Even better when the skies are getting dark and the rain starts pouring. Plus, mellow music playing on repeat.";;;;"1087697512171892736";https://twitter.com/verrenchristyy/status/1087697512171892736
verrenchristyy;2019-01-19 18:48;0;1;"Today’s coffee babyyyy pic.twitter.com/4rCBeT4PLc";;;;"1086591253691564033";https://twitter.com/verrenchristyy/status/1086591253691564033
verrenchristyy;2019-01-15 22:01;0;0;"HOLYYYYYYYYYY https:// twitter.com/SonyPictures/s tatus/1085172249168998401 …";;;;"1085190177914421250";https://twitter.com/verrenchristyy/status/1085190177914421250
verrenchristyy;2019-01-12 04:05;0;1;"HAHA MAKASIH WOTAAAAA AMINNNN https:// twitter.com/fmanukbua/stat us/1083778411456163840 …";;;;"1083832385685221376";https://twitter.com/verrenchristyy/status/1083832385685221376
verrenchristyy;2019-01-10 20:37;1;1;"I NEED THIS pic.twitter.com/cdo7FfS4CG";;;;"1083357048622919681";https://twitter.com/verrenchristyy/status/1083357048622919681
verrenchristyy;2019-01-08 22:33;1;0;"Ngakakkk";;;;"1082661612903956480";https://twitter.com/verrenchristyy/status/1082661612903956480
verrenchristyy;2019-01-08 22:31;0;0;"Pretty much the same";;;;"1082660968461725696";https://twitter.com/verrenchristyy/status/1082660968461725696
verrenchristyy;2019-01-08 22:28;0;0;"AMPUNNNN MITSUHAAAA pic.twitter.com/2uPihXehd0";;;;"1082660217131814915";https://twitter.com/verrenchristyy/status/1082660217131814915
verrenchristyy;2019-01-08 22:22;0;0;"HAHAHA AMPOENNN";;;;"1082658831795130371";https://twitter.com/verrenchristyy/status/1082658831795130371
verrenchristyy;2019-01-08 22:20;0;0;"Coba kalo kebuka beuhhhh blinded semua org silo";;;;"1082658283754790915";https://twitter.com/verrenchristyy/status/1082658283754790915
verrenchristyy;2019-01-08 22:11;0;1;"Masi menangan jidat lu pel";;;;"1082655928804093953";https://twitter.com/verrenchristyy/status/1082655928804093953
verrenchristyy;2019-01-03 10:35;0;0;"ITOMORI";;;;"1080668949891567616";https://twitter.com/verrenchristyy/status/1080668949891567616
verrenchristyy;2019-01-02 20:15;0;0;"HAHAHAHA NGAKAK GUA";;;;"1080452465303085056";https://twitter.com/verrenchristyy/status/1080452465303085056
verrenchristyy;2019-01-01 23:43;0;1;"Bener kok tapi gaterlalu gede aja ngakaknya";;;;"1080142585354608640";https://twitter.com/verrenchristyy/status/1080142585354608640
verrenchristyy;2019-01-01 23:43;0;0;"@annamerrl it’s definitely u";;@annamerrl;;"1080142462427877376";https://twitter.com/verrenchristyy/status/1080142462427877376
verrenchristyy;2019-01-01 16:37;0;0;"Ngakak wkwkkwwkkw https:// twitter.com/fmanukbua/stat us/1079951131743121408 …";;;;"1080035368215339009";https://twitter.com/verrenchristyy/status/1080035368215339009
verrenchristyy;2019-01-01 00:36;0;3;"Happy new year @siriplele @fmanukbua @dionisiusdon @annamerrl @ellenbellion @nathasyaziel";;@siriplele @fmanukbua @dionisiusdon @annamerrl @ellenbellion @nathasyaziel;;"1079793443696570368";https://twitter.com/verrenchristyy/status/1079793443696570368
