username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
yaelahberjanda;2019-01-12 21:01;0;0;"anjasmara https:// twitter.com/askmenfess/sta tus/1083995811489361920 …";;;;"1084087928899260416";https://twitter.com/yaelahberjanda/status/1084087928899260416
yaelahberjanda;2019-01-12 21:00;0;1;"NGAKAK :(( https:// twitter.com/MISSARAP/statu s/1083958144898818048 …";;;;"1084087846980308992";https://twitter.com/yaelahberjanda/status/1084087846980308992
yaelahberjanda;2019-01-12 09:19;0;0;"HAHAHAH KASIHAN AMAT MBA";;;;"1083911287459860480";https://twitter.com/yaelahberjanda/status/1083911287459860480
yaelahberjanda;2019-01-11 17:59;0;0;"KEREN!!! https:// twitter.com/smaradinda/sta tus/1083311552508248065 …";;;;"1083679813401862145";https://twitter.com/yaelahberjanda/status/1083679813401862145
yaelahberjanda;2019-01-11 17:52;0;1;"GABUT ANJIR :(( https:// twitter.com/jefrinichol/st atus/1054886984848556032 …";;;;"1083678110837428224";https://twitter.com/yaelahberjanda/status/1083678110837428224
yaelahberjanda;2019-01-11 17:51;0;0;"cute anjir https:// twitter.com/jefrinichol/st atus/418413993938526208 …";;;;"1083677667897962497";https://twitter.com/yaelahberjanda/status/1083677667897962497
yaelahberjanda;2019-01-11 17:50;0;0;"NGAKAK ASUW https:// twitter.com/jefrinichol/st atus/361150326583197696 …";;;;"1083677615020335104";https://twitter.com/yaelahberjanda/status/1083677615020335104
yaelahberjanda;2019-01-11 13:12;0;0;"ASHIAPPP https:// twitter.com/OrangGayo/stat us/1080559458374148097 …";;;;"1083607573423579136";https://twitter.com/yaelahberjanda/status/1083607573423579136
yaelahberjanda;2019-01-11 13:12;0;0;"GUE BANGETTT https:// twitter.com/iamariffff/sta tus/1080688841747361792 …";;;;"1083607513512108033";https://twitter.com/yaelahberjanda/status/1083607513512108033
yaelahberjanda;2019-01-11 13:11;0;0;"hahah apa yg mau di liat ye kan wkwkwk https:// twitter.com/sinagayakob/st atus/1081232745794158594 …";;;;"1083607392212811778";https://twitter.com/yaelahberjanda/status/1083607392212811778
yaelahberjanda;2019-01-11 13:10;0;0;"ada-ada saja netijen twitter di negara berkembang https:// twitter.com/AurelyaS_/stat us/1081919594376261633 …";;;;"1083607097667870726";https://twitter.com/yaelahberjanda/status/1083607097667870726
yaelahberjanda;2019-01-11 13:10;0;0;"HUMORRR ANJINGG https:// twitter.com/FikriAndresa/s tatus/1079941992681893890 …";;;;"1083607005749604353";https://twitter.com/yaelahberjanda/status/1083607005749604353
yaelahberjanda;2019-01-11 13:08;0;1;"liat dong";;;;"1083606522549088256";https://twitter.com/yaelahberjanda/status/1083606522549088256
yaelahberjanda;2019-01-11 10:18;0;0;"yuu";;;;"1083563721161531393";https://twitter.com/yaelahberjanda/status/1083563721161531393
yaelahberjanda;2019-01-11 10:13;0;0;"baik kaka";;;;"1083562493786517504";https://twitter.com/yaelahberjanda/status/1083562493786517504
yaelahberjanda;2019-01-11 10:13;0;0;"alayyyyy";;;;"1083562456226484224";https://twitter.com/yaelahberjanda/status/1083562456226484224
yaelahberjanda;2019-01-11 06:18;1;4;"apa bener kalo kita tidur pake softlens, kualitas mimpi kita jadi HD? #RECEHKANTWITTER #RecehkanTwitterJilid2";;;#RECEHKANTWITTER #RecehkanTwitterJilid2;"1083503492025597952";https://twitter.com/yaelahberjanda/status/1083503492025597952
yaelahberjanda;2019-01-11 06:14;0;0;"anjayy bisa aja";;;;"1083502327393218560";https://twitter.com/yaelahberjanda/status/1083502327393218560
yaelahberjanda;2019-01-11 06:12;0;0;"anjay";;;;"1083501824055816192";https://twitter.com/yaelahberjanda/status/1083501824055816192
yaelahberjanda;2019-01-11 06:06;1;2;"apa bener, bapa-bapa kalo bersin bisa ngebangunin dajjal? :'( #RECEHKANTWITTER #RecehkanTwitterJilid2";;;#RECEHKANTWITTER #RecehkanTwitterJilid2;"1083500317814079488";https://twitter.com/yaelahberjanda/status/1083500317814079488
yaelahberjanda;2019-01-10 22:52;7;20;"BERIKUT INI ADALAH SODARA TAYO!! #RECEHKANTWITTER #RecehkanTwitterJilid2 pic.twitter.com/7b0jBwk7HH";;;#RECEHKANTWITTER #RecehkanTwitterJilid2;"1083391036490018818";https://twitter.com/yaelahberjanda/status/1083391036490018818
yaelahberjanda;2019-01-10 22:49;1;6;"apakah polisi tidur, pernah mimpi basah? #RECEHKANTWITTER #RecehkanTwitterJilid2";;;#RECEHKANTWITTER #RecehkanTwitterJilid2;"1083390415456296961";https://twitter.com/yaelahberjanda/status/1083390415456296961
yaelahberjanda;2019-01-10 22:45;1;2;"sumpah dah kasihan banget :'(( pic.twitter.com/KAcmj7YX7n";;;;"1083389470827630593";https://twitter.com/yaelahberjanda/status/1083389470827630593
yaelahberjanda;2019-01-10 22:35;1;1;"BLINK KERAD pic.twitter.com/uXf9MBtDRR";;;;"1083386796195536896";https://twitter.com/yaelahberjanda/status/1083386796195536896
